,name,github_id,pypi_id,conda_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,cran_id,go_id,pypi,gem_id,hex_id,bitbucket_id
0,ipython,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-01-01 22:40:08.000000,2020-12-04 19:49:22.000000,4127.0,1434.0,5131.0,14581.0,24814.0,2020-10-30 18:15:35.000000,7.19.0,316653.0,10753297.0,99.0,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",234288.0,170366.0,792.0,39,https://pypi.org/project/ipython,BSD-3-Clause,2020-10-30 18:15:35.000000,63922.0,10662483.0,https://anaconda.org/conda-forge/ipython,2020-11-11 11:02:56.202000,4973698.0,True,others,1,,,,,,,,,,,,,,,,,
1,Jupyter,jupyter/notebook,jupyter,conda-forge/jupyter,https://github.com/jupyter/notebook,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-01-01 15:39:47.000000,2020-12-30 18:31:35.000000,3252.0,1994.0,2161.0,8672.0,11972.0,2020-12-23 22:57:05.000000,6.1.6,232.0,6839349.0,18.0,Jupyter Interactive Notebook.,107474.0,86996.0,536.0,39,https://pypi.org/project/jupyter,BSD-3-Clause,2015-08-12 00:42:58.000000,20478.0,6608712.0,https://anaconda.org/conda-forge/jupyter,2019-03-26 08:57:37.135000,1153186.0,True,notebook-environments,1,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2020-12-26 17:18:08.361108,768.0,14256041.0,,,,,,,,,,,,
2,JupyterLab,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2020-12-28 18:38:20.000000,2020-12-24 00:37:20.000000,1850.0,1713.0,3609.0,10589.0,22569.0,2020-12-24 00:42:05.000000,3.0.0,,550250.0,320.0,JupyterLab computational environment.,33990.0,31602.0,381.0,37,https://pypi.org/project/jupyterlab,BSD-3-Clause,2020-12-24 00:42:05.000000,2388.0,494666.0,https://anaconda.org/conda-forge/jupyterlab,2020-12-24 01:14:40.842000,3057161.0,True,notebook-environments,1,,,,,,,,,,,,,,,,,
3,ipywidgets,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2020-12-27 03:19:43.034000,2020-09-29 13:37:35.000000,708.0,542.0,1059.0,2068.0,6687.0,2020-12-26 07:25:53.000000,7.6.2,,8056334.0,118.0,Interactive Widgets for the Jupyter Notebook.,97372.0,82378.0,166.0,36,https://pypi.org/project/ipywidgets,BSD-3-Clause,2020-12-27 00:41:53.000000,14932.0,7867119.0,https://anaconda.org/conda-forge/ipywidgets,2020-12-27 03:19:43.034000,2544535.0,True,widgets,1,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2020-12-24 17:55:12.997000,62.0,144575.0,,,,,,,
4,nbconvert,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2020-12-30 05:02:15.000000,2020-12-19 19:50:04.000000,407.0,327.0,505.0,1052.0,3674.0,2020-10-02 22:38:52.000000,6.0.7,,8820614.0,35.0,Jupyter Notebook Conversion.,101243.0,85859.0,208.0,35,https://pypi.org/project/nbconvert,BSD-3-Clause,2020-10-02 22:38:52.000000,15384.0,8766786.0,https://anaconda.org/conda-forge/nbconvert,2020-11-15 01:15:45.173000,3068225.0,True,notebook-sharing,1,,,,,,,,,,,,,,,,,
5,IPython Kernel,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2020-12-16 16:15:31.000000,2020-12-15 16:18:25.000000,246.0,165.0,128.0,361.0,2056.0,2020-12-12 01:43:03.000000,5.4.2,,7975204.0,41.0,IPython Kernel for Jupyter.,112382.0,94794.0,121.0,34,https://pypi.org/project/ipykernel,BSD-3-Clause,2020-12-11 22:22:41.000000,17588.0,7973588.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,100207.0,True,kernels,1,,,,,,,,,,,0.0,,,,,,
6,JupyterHub,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2020-12-28 07:55:17.000000,2020-12-23 09:24:50.000000,1500.0,386.0,1517.0,6282.0,4484.0,2020-12-11 11:09:47.000000,1.3.0,,102577.0,42.0,Multi-user server for Jupyter notebooks.,1649.0,1139.0,233.0,32,https://pypi.org/project/jupyterhub,BSD-3-Clause,2020-12-11 11:09:47.000000,510.0,73239.0,https://anaconda.org/conda-forge/jupyterhub,2020-12-11 12:21:27.289000,309229.0,True,notebook-environments,2,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2020-12-23 09:44:47.500622,271.0,1881560.0,,,,,,,,,,,,
7,Jupyter Client,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2020-12-22 18:33:56.000000,2020-12-22 18:33:55.000000,195.0,121.0,134.0,201.0,1835.0,2020-08-25 20:46:44.000000,6.1.7,,8367569.0,31.0,Jupyter protocol client APIs.,3594.0,,100.0,31,https://pypi.org/project/jupyter-client,BSD-3-Clause,2020-08-25 20:46:44.000000,3594.0,8367569.0,,,,True,notebook-tools,1,,,,,,,,,,,,,,,,,
8,bqplot,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2020-12-18 14:59:43.000000,2020-12-18 07:40:15.000000,404.0,186.0,313.0,2972.0,3200.0,2020-11-05 14:39:24.000000,0.12.19,,151776.0,87.0,Plotting library for IPython/Jupyter notebooks.,1271.0,1149.0,51.0,30,https://pypi.org/project/bqplot,Apache-2.0,2020-11-05 14:39:24.000000,112.0,14092.0,https://anaconda.org/conda-forge/bqplot,2020-10-12 22:00:13.153000,445678.0,True,widgets,1,,,,,,bqplot,https://www.npmjs.com/package/bqplot,2020-10-12 19:58:11.526000,10.0,129726.0,,,,,,,
9,pandas-profiling,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2020-12-28 16:33:59.000000,2020-12-27 20:07:34.000000,966.0,52.0,352.0,6513.0,726.0,2020-09-03 10:11:24.000000,2.9.0,,233567.0,24.0,Create HTML profiling reports from pandas DataFrame objects.,2919.0,2759.0,62.0,29,https://pypi.org/project/pandas-profiling,MIT,2020-09-03 10:11:24.000000,160.0,231792.0,https://anaconda.org/conda-forge/pandas-profiling,2020-09-03 13:03:52.072000,94098.0,True,widgets,1,,,,,,,,,,,,,,,,,
