,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-02-04 09:25:33.000000,2021-02-02 18:09:35.000000,4134.0,1462.0,5156.0,14646.0,24856.0,2021-02-01 19:27:31.000000,7.20.0,316855.0,7573280.0,100.0,240625.0,176703.0,795.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-02-01 19:27:31.000000,63922.0,7478413.0,https://anaconda.org/conda-forge/ipython,2021-02-03 13:09:29.981000,5298126.0,1.0,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-02-02 22:54:37.000000,2021-02-02 22:54:37.000000,3287.0,2001.0,2186.0,8772.0,12011.0,2021-01-13 23:58:54.000000,6.2.0,242.0,6128248.0,69.0,107034.0,90948.0,541.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-01-13 16:31:49.000000,16086.0,5887787.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1210085.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-01-28 17:17:36.926824,785.0,15103403.0,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-02-04 13:15:30.000000,2021-02-04 09:41:27.000000,1900.0,1796.0,3690.0,10766.0,22756.0,2021-02-02 18:54:16.000000,3.0.7,,474175.0,328.0,36063.0,33675.0,386.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-02-02 18:54:16.000000,2388.0,416791.0,https://anaconda.org/conda-forge/jupyterlab,2021-02-02 20:22:25.976000,3213512.0,1.0,,,,,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,36,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-02-04 09:50:46.000000,2021-02-04 09:50:45.000000,723.0,559.0,1070.0,2117.0,6695.0,2020-12-27 00:41:53.000000,7.6.3,,5734899.0,119.0,101087.0,86093.0,168.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-01-07 00:25:28.000000,14932.0,5511942.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,2685020.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2020-12-24 17:55:12.997000,62.0,176664.0,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,35,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-02-03 20:15:11.000000,2021-02-03 20:15:10.000000,407.0,333.0,508.0,1065.0,3682.0,2020-10-02 22:38:52.000000,6.0.7,,6283107.0,35.0,105110.0,89726.0,212.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2020-10-02 22:38:52.000000,15384.0,6226752.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3268626.0,1.0,,,,,,,,,,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-02-01 18:31:28.000000,2021-01-11 17:11:34.000000,251.0,166.0,129.0,368.0,2067.0,2021-01-21 22:34:12.000000,5.4.3,,5688018.0,41.0,116758.0,99170.0,122.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2020-12-11 22:22:41.000000,17588.0,5686196.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,114840.0,1.0,,,,,,,,,,,0.0,,,,,,,
7,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-02-04 07:08:35.000000,2021-02-01 18:46:19.000000,3621.0,605.0,5753.0,14611.0,,2020-10-21 02:39:03.000000,2.2.3,,764375.0,83.0,36202.0,30330.0,546.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-01-19 00:27:21.000000,5872.0,684267.0,https://anaconda.org/conda-forge/bokeh,2021-01-13 10:22:16.472000,3684978.0,1.0,,,,,,,,,,,,,,,,,,
8,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,33,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-01-21 20:52:23.925000,2021-01-21 17:52:13.000000,148.0,88.0,181.0,245.0,1747.0,2020-11-24 17:28:10.000000,5.0.2,,4558016.0,31.0,81540.0,69178.0,107.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-01-21 17:49:48.000000,12362.0,4529374.0,https://anaconda.org/conda-forge/qtconsole,2021-01-21 20:52:23.925000,1632621.0,1.0,,,,,,,,,,,,,,,,,,
9,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,32,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-02-04 13:57:54.837902,2021-02-04 13:41:39.000000,1512.0,393.0,1530.0,6347.0,4536.0,2020-12-11 11:09:47.000000,1.3.0,,82240.0,42.0,1686.0,1176.0,237.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2020-12-11 11:09:47.000000,510.0,52333.0,https://anaconda.org/conda-forge/jupyterhub,2021-01-22 17:58:42.029000,323035.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-02-04 13:57:54.837902,276.0,1939206.0,,,,,,,,,,,,,
10,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,31,True,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2021-02-03 01:12:47.000000,2021-01-12 18:24:50.000000,199.0,124.0,141.0,208.0,1854.0,2021-01-09 09:14:50.000000,6.1.11,,6149250.0,35.0,3594.0,,100.0,https://pypi.org/project/jupyter-client,BSD-3-Clause,2021-01-09 09:14:50.000000,3594.0,6149250.0,,,,1.0,,,,,,,,,,,,,,,,,,
11,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,31,True,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000000,2021-01-22 18:27:10.000000,2021-01-22 18:27:09.000000,108.0,31.0,61.0,133.0,746.0,2021-01-15 00:14:00.000000,5.1.2,,6423835.0,20.0,110512.0,94472.0,55.0,https://pypi.org/project/nbformat,BSD-3-Clause,2021-01-15 00:14:00.000000,16040.0,6351437.0,https://anaconda.org/conda-forge/nbformat,2021-01-18 21:38:26.122000,4199124.0,1.0,,,,,,,,,,,,,,,,,,
12,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,30,True,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2021-02-03 15:19:31.000000,2021-01-21 17:18:45.000000,405.0,185.0,323.0,3002.0,3216.0,2021-01-14 14:22:16.000000,0.12.21,,160531.0,89.0,1323.0,1201.0,51.0,https://pypi.org/project/bqplot,Apache-2.0,2021-01-14 14:19:33.000000,112.0,12344.0,https://anaconda.org/conda-forge/bqplot,2021-01-14 14:38:26.569000,475280.0,1.0,,,,,,bqplot,https://www.npmjs.com/package/bqplot,2021-01-14 14:17:47.627000,10.0,139849.0,,,,,,,,
13,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/pandas-profiling/pandas-profiling,,widgets,29,True,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-02-04 03:03:53.000000,2021-02-04 03:03:51.000000,987.0,66.0,357.0,6699.0,736.0,2020-09-03 10:11:24.000000,2.9.0,,133014.0,25.0,3141.0,2981.0,65.0,https://pypi.org/project/pandas-profiling,MIT,2020-09-03 10:11:24.000000,160.0,131152.0,https://anaconda.org/conda-forge/pandas-profiling,2021-01-09 04:39:21.551000,100563.0,1.0,,,,,,,,,,,,,,,,,,
14,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,29,True,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-02-04 11:49:44.000000,2021-02-04 08:54:25.000000,269.0,53.0,352.0,4258.0,2140.0,2021-02-04 08:58:33.000000,1.10.0,,51689.0,96.0,1306.0,1198.0,57.0,https://pypi.org/project/jupytext,MIT,2021-02-04 08:58:33.000000,108.0,30517.0,https://anaconda.org/conda-forge/jupytext,2021-01-06 22:44:10.058000,134813.0,1.0,,,,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,2021-01-05 22:00:16.648000,,16179.0,,,,,,,,
