,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id,updated_github_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-02-09 16:16:17.000000,2021-02-04 18:15:58.000000,4134.0,1462.0,5159.0,14656.0,24858.0,2021-02-01 19:27:31.000000,7.20.0,316874.0,7494224.0,100.0,241803.0,177881.0,795.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-02-01 19:27:31.000000,63922.0,7397901.0,https://anaconda.org/conda-forge/ipython,2021-02-05 01:51:36.894000,5382584.0,1.0,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-02-09 23:01:43.000000,2021-02-08 16:36:14.000000,3294.0,2005.0,2189.0,8798.0,12017.0,2021-01-13 23:58:54.000000,6.2.0,245.0,5954197.0,69.0,107819.0,91733.0,543.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-01-13 16:31:49.000000,16086.0,5710580.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1224473.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-02-08 07:02:55.939502,790.0,15303702.0,,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-02-11 13:43:15.000000,2021-02-11 12:02:04.000000,1900.0,1796.0,3701.0,10786.0,22825.0,2021-02-02 18:54:16.000000,3.0.7,,520674.0,328.0,36455.0,34067.0,389.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-02-02 18:54:16.000000,2388.0,462542.0,https://anaconda.org/conda-forge/jupyterlab,2021-02-02 20:22:25.976000,3255396.0,1.0,,,,,,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,36,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-02-11 13:39:18.000000,2021-02-11 13:39:18.000000,726.0,554.0,1085.0,2127.0,6834.0,2021-02-07 22:09:48.000000,7.6.3,,5544486.0,122.0,101825.0,86831.0,169.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-02-10 23:51:41.000000,14932.0,5317540.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,2718304.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2020-12-24 17:55:12.997000,62.0,180079.0,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,35,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-02-03 20:15:11.000000,2021-02-03 20:15:10.000000,407.0,335.0,508.0,1065.0,3682.0,2020-10-02 22:38:52.000000,6.0.7,,6072154.0,35.0,105888.0,90504.0,212.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2020-10-02 22:38:52.000000,15384.0,6014969.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3316731.0,1.0,,,,,,,,,,,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-02-11 09:40:14.000000,2021-02-09 18:08:17.000000,251.0,166.0,129.0,372.0,2069.0,2021-01-21 22:34:12.000000,5.4.3,,5542024.0,41.0,117617.0,100029.0,123.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2020-12-11 22:22:41.000000,17588.0,5540154.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,117832.0,1.0,,,,,,,,,,,0.0,,,,,,,,
7,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-02-11 04:50:25.000000,2021-02-10 20:29:53.000000,3631.0,614.0,5755.0,14657.0,,2020-10-21 02:39:03.000000,2.2.3,,760368.0,85.0,36377.0,30505.0,546.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-02-10 20:32:38.000000,5872.0,679190.0,https://anaconda.org/conda-forge/bokeh,2021-01-13 10:22:16.472000,3734201.0,1.0,,,,,,,,,,,,,,,,,,,
8,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,33,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-01-21 20:52:23.925000,2021-01-21 17:52:13.000000,148.0,88.0,182.0,247.0,1747.0,2020-11-24 17:28:10.000000,5.0.1,,4409317.0,31.0,82006.0,69644.0,107.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-01-21 17:49:48.000000,12362.0,4380406.0,https://anaconda.org/conda-forge/qtconsole,2021-01-21 20:52:23.925000,1647941.0,1.0,,,,,,,,,,,,,,,,,,,
9,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,32,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-02-10 18:18:41.000000,2021-02-04 13:41:39.000000,1512.0,393.0,1533.0,6360.0,4536.0,2020-12-11 11:09:47.000000,1.3.0,,84089.0,42.0,1693.0,1183.0,237.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2020-12-11 11:09:47.000000,510.0,53894.0,https://anaconda.org/conda-forge/jupyterhub,2021-01-22 17:58:42.029000,327781.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-02-04 13:57:54.837902,276.0,1955657.0,,,,,,,,,,,,,,
