,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,go_id,cran_id,gem_id,pypi,updated_github_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-02-21 01:46:32.000000,2021-02-19 21:51:03.000000,4134.0,1472.0,5162.0,14680.0,24871.0,2021-02-01 19:27:31.000000,7.20.0,316918.0,7625215.0,100.0,244190.0,180268.0,796.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-02-01 19:27:31.000000,63922.0,7526458.0,https://anaconda.org/conda-forge/ipython,2021-02-05 01:51:36.894000,5523695.0,1.0,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-02-25 06:18:36.597867,2021-02-08 16:36:14.000000,3294.0,2005.0,2196.0,8832.0,12017.0,2021-01-13 23:58:54.000000,6.2.0,245.0,5789562.0,69.0,109389.0,93303.0,543.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-01-13 16:31:49.000000,16086.0,5539026.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1248786.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-02-25 06:18:36.597867,794.0,15753326.0,,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-02-25 13:16:40.000000,2021-02-24 23:05:13.000000,1900.0,1796.0,3724.0,10820.0,22934.0,2021-02-22 22:25:38.000000,3.0.9,,583195.0,334.0,37295.0,34907.0,391.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-02-18 17:14:59.000000,2388.0,523699.0,https://anaconda.org/conda-forge/jupyterlab,2021-02-23 00:57:35.943000,3331824.0,1.0,,,,,,,,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,35,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-02-18 22:48:59.000000,2021-02-03 20:15:10.000000,407.0,340.0,510.0,1074.0,3682.0,2020-10-02 22:38:52.000000,6.0.7,,5909756.0,35.0,107407.0,92023.0,212.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2020-10-02 22:38:52.000000,15384.0,5851101.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3401990.0,1.0,,,,,,,,,,,,,,,,,,,
5,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-02-24 07:23:59.000000,2021-02-24 07:23:59.000000,730.0,546.0,1102.0,2139.0,6907.0,2021-02-07 22:09:48.000000,7.6.3,,5426428.0,123.0,16214.0,1220.0,172.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-02-22 20:59:46.000000,14932.0,5200376.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,2780047.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-02-10 22:10:11.354000,62.0,178121.0,-2.0,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-02-24 11:25:56.000000,2021-02-24 10:29:21.000000,256.0,173.0,131.0,373.0,2091.0,2021-02-20 20:31:56.000000,5.5.0,,5401428.0,43.0,119294.0,101706.0,126.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2021-02-19 17:48:41.000000,17588.0,5399477.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,122935.0,1.0,,,,,,,,,,,,0.0,,,,,,,
7,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-02-25 09:38:46.000000,2021-02-24 21:00:07.000000,3645.0,624.0,5774.0,14710.0,,2020-10-21 02:39:03.000000,2.2.3,,684598.0,90.0,36693.0,30821.0,548.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-02-24 19:44:29.000000,5872.0,601497.0,https://anaconda.org/conda-forge/bokeh,2021-01-13 10:22:16.472000,3822665.0,1.0,,,,,,,,,,,,,,,,,,,
8,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,33,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-01-21 20:52:23.925000,2021-01-21 17:52:13.000000,148.0,88.0,182.0,250.0,1747.0,2021-01-21 17:49:48.000000,5.0.2,,4276449.0,31.0,82918.0,70556.0,107.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-01-21 17:49:48.000000,12362.0,4247091.0,https://anaconda.org/conda-forge/qtconsole,2021-01-21 20:52:23.925000,1673415.0,1.0,,,,,,,,,,,,,,,,,,,
9,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,32,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-02-25 12:39:56.079000,2021-02-17 13:11:40.000000,1536.0,166.0,1766.0,6385.0,4544.0,2020-12-11 11:09:47.000000,1.3.0,,85035.0,42.0,1706.0,1196.0,237.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2020-12-11 11:09:47.000000,510.0,54155.0,https://anaconda.org/conda-forge/jupyterhub,2021-02-25 12:39:56.079000,335014.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-02-17 13:30:24.758983,277.0,2000280.0,,,,,,,,,,,,,,
