,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,go_id,cran_id,gem_id,pypi,updated_github_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-03-09 14:07:51.000000,2021-03-05 17:49:26.000000,4141.0,1483.0,5169.0,14702.0,24885.0,2021-02-26 22:13:06.000000,7.21.0,317025.0,9007292.0,101.0,246817.0,182895.0,796.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-02-26 22:13:06.000000,63922.0,8907418.0,https://anaconda.org/conda-forge/ipython,2021-02-27 03:03:10.289000,5687099.0,1.0,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-03-04 21:08:09.767211,2021-03-03 17:36:49.000000,3322.0,2005.0,2206.0,8870.0,12023.0,2021-01-13 23:58:54.000000,6.2.0,250.0,7225136.0,69.0,111054.0,94968.0,545.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-01-13 16:31:49.000000,16086.0,6969929.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1276392.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-03-04 21:08:09.767211,800.0,16307044.0,,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-03-11 08:38:03.000000,2021-03-10 18:59:31.000000,1900.0,1796.0,3816.0,10873.0,22979.0,2021-03-09 11:02:27.000000,3.0.10,,505241.0,336.0,38175.0,35787.0,392.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-03-09 11:02:27.000000,2388.0,445249.0,https://anaconda.org/conda-forge/jupyterlab,2021-03-09 13:52:00.469000,3419551.0,1.0,,,,,,,,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,35,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-03-09 05:45:15.000000,2021-02-28 20:46:41.000000,407.0,339.0,514.0,1082.0,3687.0,2020-10-02 22:38:52.000000,6.0.7,,7376793.0,35.0,109030.0,93646.0,212.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2020-10-02 22:38:52.000000,15384.0,7317515.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3497456.0,1.0,,,,,,,,,,,,,,,,,,,
5,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-03-10 23:06:04.000000,2021-03-10 12:33:52.000000,730.0,546.0,1103.0,2160.0,6917.0,2021-02-07 22:09:48.000000,7.6.3,,6886554.0,123.0,16290.0,1296.0,172.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-02-22 20:59:46.000000,14932.0,6667254.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,2848188.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-02-10 22:10:11.354000,62.0,171026.0,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-03-09 20:42:31.000000,2021-03-09 20:42:31.000000,256.0,173.0,132.0,383.0,2111.0,2021-02-20 20:31:56.000000,5.5.0,,6827802.0,44.0,121161.0,103573.0,126.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2021-03-09 12:02:27.000000,17588.0,6825785.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,129137.0,1.0,,,,,,,,,,,0.0,,,,,,,,
7,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-03-11 13:42:29.000000,2021-03-10 00:57:20.000000,3669.0,655.0,5802.0,14820.0,,2021-02-24 19:44:29.000000,2.3.0,,621393.0,90.0,37026.0,31154.0,550.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-02-24 19:44:29.000000,5872.0,537644.0,https://anaconda.org/conda-forge/bokeh,2021-03-01 11:07:11.701000,3936242.0,1.0,,,,,,,,,,,,,,,,,,,
8,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,33,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-01-21 20:52:23.925000,2021-01-21 17:52:13.000000,148.0,88.0,184.0,252.0,1747.0,2021-01-21 17:49:48.000000,5.0.2,,5713666.0,31.0,83874.0,71512.0,107.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-01-21 17:49:48.000000,12362.0,5684322.0,https://anaconda.org/conda-forge/qtconsole,2021-01-21 20:52:23.925000,1701979.0,1.0,,,,,,,,,,,,,,,,,,,
9,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,32,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-03-11 10:34:31.000000,2021-03-09 13:04:16.000000,1536.0,166.0,1770.0,6402.0,4563.0,2020-12-11 11:09:47.000000,1.3.0,,81754.0,42.0,1724.0,1214.0,237.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2020-12-11 11:09:47.000000,510.0,50738.0,https://anaconda.org/conda-forge/jupyterhub,2021-02-25 12:39:56.079000,343962.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-03-09 13:20:54.376436,279.0,2031993.0,,,,,,,,,,,,,,
10,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,31,True,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2021-03-11 11:34:09.000000,2021-03-10 18:30:06.000000,199.0,124.0,143.0,210.0,1892.0,2021-01-09 09:14:50.000000,6.1.11,,7219139.0,35.0,3594.0,,100.0,https://pypi.org/project/jupyter-client,BSD-3-Clause,2021-01-09 09:14:50.000000,3594.0,7219139.0,,,,1.0,,,,,,,,,,,,,,,,,,,
