,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,new_addition,go_id,cran_id,pypi,gem_id,updated_github_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-03-30 18:45:10.000000,2021-03-30 18:44:37.000000,4143.0,1481.0,5178.0,14736.0,24920.0,2021-03-27 00:51:13.000000,7.22.0,317078.0,7947912.0,102.0,250860.0,186938.0,800.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-03-27 00:51:13.000000,63922.0,7845724.0,https://anaconda.org/conda-forge/ipython,2021-03-27 10:14:48.494000,5924561.0,1.0,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-03-31 14:22:48.000000,2021-03-31 14:22:48.000000,3350.0,2008.0,2213.0,8945.0,12039.0,2021-03-22 10:26:26.000000,6.3.0,250.0,6782443.0,69.0,113507.0,97421.0,549.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-01-13 16:31:49.000000,16086.0,6520410.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1316182.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-03-27 07:00:47.695936,812.0,17008038.0,,,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,36,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-04-01 08:07:40.000000,2021-04-01 00:39:11.000000,1900.0,1796.0,3861.0,10938.0,23083.0,2021-03-19 20:27:55.000000,3.0.12,,405996.0,341.0,39507.0,37119.0,400.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-03-19 20:27:55.000000,2388.0,344538.0,https://anaconda.org/conda-forge/jupyterlab,2021-03-26 12:23:18.560000,3564571.0,1.0,,,,,,-1.0,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-04-01 07:51:03.000000,2021-04-01 07:51:01.000000,734.0,555.0,1113.0,2190.0,6971.0,2021-02-07 22:09:48.000000,7.6.3,,6512896.0,123.0,16388.0,1394.0,173.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-02-22 20:59:46.000000,14932.0,6293528.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,2948389.0,1.0,,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-02-10 22:10:11.354000,62.0,170229.0,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,34,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-03-22 18:05:18.000000,2021-02-28 20:46:41.000000,412.0,341.0,516.0,1087.0,3687.0,2020-10-02 22:38:52.000000,6.0.7,,6841973.0,35.0,111418.0,96034.0,212.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2020-10-02 22:38:52.000000,15384.0,6781398.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3634524.0,1.0,,,,,,-1.0,,,,,,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-04-01 11:26:52.000000,2021-04-01 11:26:43.000000,260.0,175.0,136.0,390.0,2147.0,2021-03-30 20:47:39.000000,5.5.3,,6383438.0,49.0,123945.0,106357.0,126.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2021-04-01 11:26:28.000000,17588.0,6381279.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,140358.0,1.0,,,,,,,,,,,,0.0,,,,,,,,
7,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,34,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-04-01 07:58:01.000000,2021-03-16 16:49:52.000000,156.0,90.0,184.0,253.0,1752.0,2021-01-21 17:49:48.000000,5.0.2,,5472570.0,32.0,85307.0,72945.0,107.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-03-16 16:48:26.000000,12362.0,5442959.0,https://anaconda.org/conda-forge/qtconsole,2021-03-17 01:59:30.155000,1747091.0,1.0,,,,,,,,,,,,,,,,,,,,
8,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-04-01 10:06:46.000000,2021-03-31 03:43:42.000000,3679.0,665.0,5832.0,14915.0,,2021-02-24 19:44:29.000000,2.3.0,,525909.0,91.0,37584.0,31712.0,552.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-03-30 04:26:50.000000,5872.0,440556.0,https://anaconda.org/conda-forge/bokeh,2021-03-01 11:07:11.701000,4096987.0,1.0,,,,,,,,,,,,,,,,,,,,
9,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,32,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-03-31 12:04:40.358315,2021-03-31 11:47:07.000000,1542.0,170.0,1777.0,6439.0,4573.0,2020-12-11 11:09:47.000000,1.3.0,,68101.0,42.0,1753.0,1243.0,238.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2020-12-11 11:09:47.000000,510.0,37031.0,https://anaconda.org/conda-forge/jupyterhub,2021-02-25 12:39:56.079000,356477.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-03-31 12:04:40.358315,284.0,2052451.0,,,,,,,,,,,,,,,
