,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,new_addition,go_id,updated_github_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-05-06 02:03:34.754000,2021-05-05 14:57:03.000000,4161.0,1479.0,5214.0,14787.0,25032.0,2021-05-05 15:49:03.000000,7.23.1,317233.0,19840337.0,104.0,258135.0,194213.0,808.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-05-05 15:49:03.000000,63922.0,19733490.0,https://anaconda.org/conda-forge/ipython,2021-05-06 02:03:34.754000,6309631.0,1.0,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-05-06 06:10:29.878442,2021-04-25 15:29:06.000000,3384.0,2015.0,2222.0,9050.0,12046.0,2021-03-22 10:26:26.000000,6.3.0,252.0,11350650.0,72.0,118143.0,102057.0,552.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-05-05 12:00:18.000000,16086.0,11075494.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1364956.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-05-06 06:10:29.878442,827.0,18169932.0,,,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-05-06 14:07:42.000000,2021-05-06 11:58:31.000000,1938.0,1782.0,3905.0,11049.0,23202.0,2021-04-12 13:51:33.000000,3.0.14,,997675.0,344.0,41915.0,39527.0,412.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-04-12 13:47:01.000000,2388.0,933964.0,https://anaconda.org/conda-forge/jupyterlab,2021-04-12 15:33:38.504000,3758967.0,1.0,,,,,,,,,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,35,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-05-06 07:58:16.000000,2021-05-06 07:58:16.000000,418.0,352.0,520.0,1115.0,3692.0,2020-10-02 22:38:52.000000,6.0.7,,11710330.0,35.0,115976.0,100592.0,215.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2020-10-02 22:38:52.000000,15384.0,11647501.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3832588.0,1.0,,,,,,,,,,,,,,,,,,,,
5,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-05-06 12:38:46.000000,2021-04-01 07:51:01.000000,742.0,558.0,1114.0,2217.0,6971.0,2021-02-07 22:09:48.000000,7.6.3,,10533915.0,123.0,16569.0,1575.0,173.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-02-22 20:59:46.000000,14932.0,10330390.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3085978.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-02-22 20:43:49.394000,62.0,152936.0,,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-05-06 09:25:40.000000,2021-05-06 08:35:54.000000,263.0,176.0,144.0,393.0,2196.0,2021-05-05 22:43:44.000000,5.5.4,,10808863.0,54.0,129134.0,111546.0,126.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2021-05-06 08:35:06.000000,17588.0,10806487.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,156835.0,1.0,,,,,,,,,,,0.0,,,,,,,,,
7,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,34,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-05-02 20:14:23.482000,2021-05-02 17:57:23.000000,157.0,95.0,185.0,258.0,1764.0,2021-03-16 16:48:26.000000,5.0.3,,7079768.0,33.0,87945.0,75583.0,108.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-05-02 17:55:58.000000,12362.0,7049702.0,https://anaconda.org/conda-forge/qtconsole,2021-05-02 20:14:23.482000,1803960.0,1.0,,,,,,,,,,,,,,,,,,,,
8,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-05-05 20:10:04.000000,2021-05-05 09:10:40.000000,3709.0,675.0,5877.0,15066.0,,2021-04-07 18:07:39.000000,2.3.1,,1523371.0,95.0,39495.0,33623.0,558.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-05-04 21:06:58.000000,5872.0,1434624.0,https://anaconda.org/conda-forge/bokeh,2021-04-08 12:17:48.640000,4348621.0,1.0,,,,,,,,,,,,,,,,,,,,
9,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,32,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-05-05 19:08:24.324037,2021-05-05 18:58:53.000000,1543.0,169.0,1792.0,6484.0,4676.0,2020-12-11 11:09:47.000000,1.3.0,,140596.0,42.0,1831.0,1321.0,242.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2020-12-11 11:09:47.000000,510.0,109167.0,https://anaconda.org/conda-forge/jupyterhub,2021-04-19 16:59:01.193000,376152.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-05-05 19:08:24.324037,285.0,2088313.0,,,,,,,,,,,,,,,
