,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-08-12 10:17:53.000000,2021-08-11 22:12:48.000000,4193.0,1514.0,5254.0,14909.0,25140.0,2021-08-01 14:19:45.000000,7.26.0,317531.0,19930779.0,108.0,277964.0,214042.0,821.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-08-01 14:19:45.000000,63922.0,19812035.0,https://anaconda.org/conda-forge/ipython,2021-08-02 14:26:16.046000,7387999.0,1.0,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-08-11 11:07:09.000000,2021-08-11 10:54:28.000000,3472.0,2027.0,2270.0,9279.0,12075.0,2021-08-11 10:57:24.000000,6.4.3,543.0,12528624.0,80.0,130452.0,114366.0,557.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-08-11 10:57:17.000000,16086.0,12212409.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1502992.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-08-09 23:01:12.749532,854.0,21954855.0,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-08-12 13:04:37.000000,2021-08-11 15:14:43.000000,2041.0,1913.0,4099.0,11279.0,23559.0,2021-08-12 11:45:15.000000,3.1.6,630.0,1094658.0,372.0,48615.0,46227.0,437.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-08-12 11:44:11.000000,2388.0,1025660.0,https://anaconda.org/conda-forge/jupyterlab,2021-08-12 12:42:14.432000,4277228.0,1.0,,,,,,,,,,,,,,,,,,
4,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-08-12 11:47:32.000000,2021-08-12 11:47:20.000000,272.0,188.0,158.0,413.0,2310.0,2021-08-12 11:48:16.000000,6.1.0,,15729180.0,64.0,143563.0,125975.0,134.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2021-08-12 11:47:32.000000,17588.0,15726411.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,191117.0,1.0,,,,,,0.0,,,,,,,,,,,,
5,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,34,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-08-06 07:07:14.000000,2021-08-04 17:21:29.000000,165.0,94.0,190.0,268.0,1781.0,2021-05-02 17:55:58.000000,5.1.0,,6752408.0,34.0,94527.0,82165.0,110.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-06-29 17:22:52.000000,12362.0,6721255.0,https://anaconda.org/conda-forge/qtconsole,2021-06-30 03:34:49.078000,1962680.0,1.0,,,,,,,,,,,,,,,,,,
6,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-08-12 05:12:25.000000,2021-08-11 20:28:37.000000,3751.0,701.0,5972.0,15376.0,,2021-07-07 18:02:49.000000,2.3.3,,1713237.0,100.0,43363.0,37491.0,564.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-07-26 03:58:59.000000,5872.0,1615404.0,https://anaconda.org/conda-forge/bokeh,2021-07-08 16:05:38.712000,5087356.0,1.0,,,,,,,,,,,,,,,,,,
7,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-08-10 22:01:47.000000,2021-08-10 17:25:57.000000,762.0,566.0,1132.0,2292.0,7156.0,2021-02-07 22:09:48.000000,7.6.3,,11558953.0,124.0,17127.0,2133.0,181.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-06-29 04:48:36.000000,14932.0,11395746.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3485525.0,1.0,,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-06-29 04:35:16.509000,62.0,108746.0,,,,,,,
8,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-08-11 22:14:13.000000,2021-07-19 15:55:00.000000,439.0,386.0,529.0,1159.0,,2021-06-22 23:42:31.000000,6.1.0,,13124159.0,37.0,128042.0,112658.0,224.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2021-06-22 23:42:31.000000,15384.0,13054917.0,https://anaconda.org/conda-forge/nbconvert,2021-06-23 20:03:15.806000,4431522.0,1.0,,,,,,,,,,,,,,,,,,
9,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/pandas-profiling/pandas-profiling,,widgets,32,True,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-08-09 17:46:27.000000,2021-06-27 20:16:39.000000,1126.0,80.0,401.0,7758.0,852.0,2021-05-11 22:24:40.000000,3.0.0,,565361.0,30.0,5061.0,4901.0,79.0,https://pypi.org/project/pandas-profiling,MIT,2021-05-11 22:24:40.000000,160.0,562807.0,https://anaconda.org/conda-forge/pandas-profiling,2021-05-12 01:17:17.354000,153266.0,1.0,,,,,,,,,,,,,,,,,,
