,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-09-08 11:40:00.000000,2021-09-08 01:02:05.000000,4198.0,1522.0,5268.0,14963.0,25206.0,2021-08-27 22:41:09.000000,7.27.0,317620.0,21078405.0,109.0,283176.0,219254.0,825.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-08-27 22:41:09.000000,63922.0,20956797.0,https://anaconda.org/conda-forge/ipython,2021-08-29 16:41:22.710000,7691729.0,1.0,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-09-09 08:48:42.000000,2021-09-03 20:13:31.000000,3472.0,2027.0,2289.0,9369.0,12084.0,2021-09-03 20:26:56.000000,6.4.4,629.0,13927165.0,80.0,133515.0,117429.0,559.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-08-11 10:57:17.000000,16086.0,13603856.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1544914.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-09-07 01:35:29.054782,861.0,22769748.0,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-09-09 11:55:36.000000,2021-09-09 10:06:39.000000,2085.0,1949.0,4155.0,11363.0,23684.0,2021-09-08 15:23:01.000000,3.1.11,2801.0,1181787.0,382.0,50127.0,47739.0,442.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-09-08 16:53:18.000000,2388.0,1111639.0,https://anaconda.org/conda-forge/jupyterlab,2021-09-08 16:59:02.186000,4416179.0,1.0,,,,,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,35,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-09-08 16:24:56.000000,2021-09-07 17:45:45.000000,770.0,568.0,1139.0,2302.0,7209.0,2021-08-31 23:58:18.000000,7.6.4,,12836069.0,126.0,17268.0,2274.0,182.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-08-31 23:58:18.000000,14932.0,12661783.0,https://anaconda.org/conda-forge/ipywidgets,2021-09-01 04:29:37.768000,3605818.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-08-31 22:27:03.502000,62.0,118812.0,1.0,,,,,,,
5,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-09-09 09:10:12.000000,2021-09-09 09:04:01.000000,273.0,191.0,163.0,422.0,2373.0,2021-09-09 09:10:17.000000,6.4.0,24.0,17198079.0,68.0,147207.0,129619.0,136.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2021-09-09 09:10:12.000000,17588.0,17195202.0,https://anaconda.org/anaconda/ipykernel,2021-08-28 08:24:26.780000,200995.0,1.0,,,,,,,,,,,,0.0,,,,,,
6,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,34,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-08-06 07:07:14.000000,2021-08-04 17:21:29.000000,165.0,94.0,190.0,272.0,1781.0,2021-05-02 17:55:58.000000,5.1.0,,8309855.0,34.0,96131.0,83769.0,110.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-06-29 17:22:52.000000,12362.0,8278480.0,https://anaconda.org/conda-forge/qtconsole,2021-06-30 03:34:49.078000,2008063.0,1.0,,,,,,,,,,,,,,,,,,
7,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-09-09 12:29:30.000000,2021-09-08 21:55:59.000000,3776.0,678.0,6006.0,15481.0,,2021-07-07 18:02:49.000000,2.3.3,,1801925.0,105.0,44292.0,38420.0,567.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-09-08 21:59:57.000000,5872.0,1702131.0,https://anaconda.org/conda-forge/bokeh,2021-08-20 00:39:31.537000,5289134.0,1.0,,,,,,,,,,,,,,,,,,
8,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-09-09 06:48:21.000000,2021-09-07 15:11:27.000000,439.0,386.0,536.0,1180.0,,2021-06-22 23:42:31.000000,6.1.0,,14565987.0,37.0,131028.0,115644.0,228.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2021-06-22 23:42:31.000000,15384.0,14494953.0,https://anaconda.org/conda-forge/nbconvert,2021-09-08 18:35:52.506000,4617218.0,1.0,,,,,,,,,,,,,,,,,,
9,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,31,True,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2021-08-31 08:47:08.000000,2021-08-31 08:47:08.000000,213.0,129.0,158.0,242.0,2060.0,2021-08-30 11:22:11.000000,7.0.2,25.0,14000927.0,45.0,3594.0,,105.0,https://pypi.org/project/jupyter-client,BSD-3-Clause,2021-08-30 11:22:07.000000,3594.0,14000902.0,,,,1.0,,,,,,,,,,,,,,,,,,
