,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-10-07 05:51:26.000000,2021-10-06 22:13:21.000000,4230.0,1530.0,5280.0,15009.0,25244.0,2021-09-25 00:38:58.000000,7.28.0,317736.0,22917257.0,110.0,288476.0,224554.0,831.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-09-25 00:38:58.000000,63922.0,22791592.0,https://anaconda.org/conda-forge/ipython,2021-09-27 19:49:36.449000,8079929.0,1.0,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-10-06 16:29:53.000000,2021-09-27 16:12:53.000000,3552.0,2047.0,2293.0,9435.0,12090.0,2021-09-15 15:05:19.000000,6.4.4,1272.0,15670863.0,81.0,136632.0,120546.0,561.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-09-15 15:05:19.000000,16086.0,15336495.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1588785.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-10-04 06:41:35.017067,869.0,23905041.0,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-10-07 14:03:45.000000,2021-10-07 12:19:24.000000,2114.0,1958.0,4209.0,11478.0,23763.0,2021-10-05 21:34:23.000000,3.1.17,6052.0,1269730.0,395.0,51662.0,49274.0,449.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-10-06 11:55:14.000000,2388.0,1197567.0,https://anaconda.org/conda-forge/jupyterlab,2021-10-06 01:04:37.385000,4611568.0,1.0,,,,,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,35,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-09-30 06:55:09.000000,2021-09-28 17:11:09.000000,778.0,576.0,1145.0,2323.0,7226.0,2021-09-13 23:41:15.000000,7.6.5,,14652210.0,127.0,17377.0,2383.0,183.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-09-13 23:41:15.000000,14932.0,14468713.0,https://anaconda.org/conda-forge/ipywidgets,2021-09-14 03:37:57.823000,3759450.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-08-31 22:27:03.502000,62.0,126536.0,,,,,,,,
5,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-10-07 13:57:54.000000,2021-10-07 13:57:54.000000,279.0,197.0,167.0,427.0,2380.0,2021-10-06 14:59:34.000000,5.5.6,51.0,19357617.0,70.0,150948.0,133360.0,136.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2021-09-10 13:10:56.000000,17588.0,19354653.0,https://anaconda.org/anaconda/ipykernel,2021-10-07 07:56:32.806000,209759.0,1.0,,,,,,,,,,,0.0,,,,,,,
6,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-10-07 04:31:12.000000,2021-10-07 04:21:22.000000,3795.0,692.0,6052.0,15587.0,,2021-09-15 14:27:02.000000,2.4.0,,1834475.0,110.0,45356.0,39484.0,573.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-10-06 23:16:28.000000,5872.0,1731628.0,https://anaconda.org/conda-forge/bokeh,2021-09-22 22:32:37.483000,5553790.0,1.0,,,,,,,,,,,,,,,,,,
7,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/pandas-profiling/pandas-profiling,,widgets,33,True,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-10-05 18:11:46.000000,2021-10-05 17:52:17.000000,1173.0,82.0,423.0,8053.0,894.0,2021-09-27 23:12:22.000000,3.1.0,,8448127.0,31.0,5533.0,5373.0,81.0,https://pypi.org/project/pandas-profiling,MIT,2021-09-27 23:12:22.000000,160.0,8445415.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,168162.0,1.0,,,,,,,,,,,,,,,,,,
8,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-10-07 13:51:17.000000,2021-10-06 05:43:57.000000,451.0,393.0,545.0,1192.0,,2021-09-25 00:03:12.000000,6.2.0,,16300043.0,42.0,134013.0,118629.0,231.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2021-09-25 00:03:12.000000,15384.0,16226397.0,https://anaconda.org/conda-forge/nbconvert,2021-09-25 02:58:13.009000,4860697.0,1.0,,,,,,,,,,,,,,,,,,
9,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-09-28 17:27:12.000000,2021-08-04 17:21:29.000000,165.0,94.0,193.0,278.0,1781.0,2021-06-29 17:22:52.000000,5.1.1,,31641.0,34.0,97749.0,85387.0,110.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-06-29 17:22:52.000000,12362.0,,https://anaconda.org/conda-forge/qtconsole,2021-06-30 03:34:49.078000,2056706.0,1.0,,,,,,,,,,,,,,,,,,
