,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,40,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-11-25 00:52:25.000000,2021-11-25 00:52:13.000000,4261.0,1544.0,5300.0,15073.0,25512.0,2021-10-30 00:56:24.000000,7.29.0,317970.0,24838090.0,111.0,299118.0,235196.0,844.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-10-30 00:56:24.000000,63922.0,24703264.0,https://anaconda.org/conda-forge/ipython,2021-11-13 01:08:09.086000,8818270.0,1.0,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-11-23 18:41:43.000000,2021-11-18 21:50:27.000000,3598.0,2047.0,2311.0,9558.0,12116.0,2021-11-16 23:13:34.000000,6.4.6,2872.0,14907576.0,83.0,143082.0,126996.0,567.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-11-16 23:13:24.000000,16086.0,14560303.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899000,1670377.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-11-16 20:12:38.899579,879.0,25155661.0,,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,38,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-11-25 13:25:21.000000,2021-11-25 09:10:36.000000,2154.0,1976.0,4303.0,11613.0,23871.0,2021-11-17 17:09:13.000000,3.2.4,15229.0,6676981.0,405.0,54723.0,52335.0,458.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-11-17 17:00:31.000000,2388.0,6600804.0,https://anaconda.org/conda-forge/jupyterlab,2021-11-17 17:27:51.317000,4934199.0,1.0,,,,,,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,35,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-11-24 15:13:41.000000,2021-11-23 18:43:26.000000,779.0,579.0,1155.0,2363.0,7261.0,2021-09-13 23:41:15.000000,7.6.5,,13858142.0,128.0,17676.0,2682.0,185.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-11-16 18:38:01.000000,14932.0,13639055.0,https://anaconda.org/conda-forge/ipywidgets,2021-11-04 09:21:18.685000,4102287.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-11-16 18:28:27.963000,62.0,157859.0,,,,,,,,,
5,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/pandas-profiling/pandas-profiling,,widgets,34,True,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-11-23 21:12:35.000000,2021-11-22 17:52:45.000000,1194.0,93.0,432.0,8261.0,922.0,2021-09-27 23:12:22.000000,3.1.0,,4401209.0,31.0,6022.0,5862.0,82.0,https://pypi.org/project/pandas-profiling,MIT,2021-09-27 23:12:22.000000,160.0,4398380.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,178239.0,1.0,,,,,,,,,,,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-11-23 19:55:09.000000,2021-11-23 19:55:09.000000,285.0,202.0,174.0,433.0,2417.0,2021-11-18 22:43:16.000000,6.5.1,101.0,22384302.0,73.0,158742.0,141154.0,144.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2021-11-18 22:43:10.000000,17588.0,22381137.0,https://anaconda.org/anaconda/ipykernel,2021-10-07 07:56:32.806000,226778.0,1.0,,,,,,,,,,,0.0,,,,,,,,
7,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,34,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-11-23 22:18:09.316000,2021-11-23 16:57:45.000000,169.0,100.0,194.0,284.0,1811.0,2021-11-08 17:20:37.000000,5.2.0,,8848734.0,36.0,100881.0,88519.0,111.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-11-23 16:30:41.000000,12362.0,8816189.0,https://anaconda.org/conda-forge/qtconsole,2021-11-23 22:18:09.316000,2147975.0,1.0,,,,,,,,,,,,,,,,,,,
8,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-11-25 10:29:41.000000,2021-11-25 10:29:38.000000,3826.0,705.0,6080.0,15744.0,,2021-11-22 17:49:14.000000,2.4.2,,2136360.0,115.0,47059.0,41187.0,581.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-11-22 17:49:14.000000,5872.0,2025701.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205000,6086251.0,1.0,,,,,,,,,,,,,,,,,,,
9,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-11-23 21:34:49.000000,2021-11-23 21:17:54.000000,459.0,400.0,555.0,1217.0,,2021-11-12 10:34:27.000000,6.3.0,,15482495.0,44.0,140387.0,125003.0,234.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2021-11-12 10:34:27.000000,15384.0,15403876.0,https://anaconda.org/conda-forge/nbconvert,2021-11-14 13:52:58.823000,5267505.0,1.0,,,,,,,,,,,,,,,,,,,
