,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,updated_github_id,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2022-01-13 10:52:12.000000,2022-01-12 13:25:09.000000,25750.0,489.0,4283.0,779.0,6572.0,1538.0,5328.0,15141.0,2022-01-12 13:36:35.000000,8.0.0,318215.0,17523671.0,140.0,279404.0,244888.0,853.0,https://pypi.org/project/ipython,BSD-3-Clause,2022-01-12 13:36:35.000000,34516.0,17386243.0,https://anaconda.org/conda-forge/ipython,2022-01-12 15:18:14.977000,9265186.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,
2,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,44,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2022-01-13 13:18:20.000000,2022-01-12 21:20:37.000000,23989.0,212.0,2207.0,326.0,5518.0,2055.0,4373.0,11716.0,2022-01-12 13:49:22.000000,3.1.19,22785.0,1209616.0,414.0,56451.0,54675.0,463.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2022-01-13 09:33:47.000000,1776.0,1134098.0,https://anaconda.org/conda-forge/jupyterlab,2022-01-12 15:20:28.533000,5033897.0,1.0,,,,,,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,44,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2022-01-13 06:49:03.000000,2022-01-12 16:37:34.000000,12128.0,28.0,3649.0,315.0,1915.0,2063.0,2321.0,9635.0,2022-01-12 16:39:03.000000,6.4.7,4028.0,12852538.0,85.0,141553.0,132926.0,572.0,https://pypi.org/project/notebook,BSD-3-Clause,2022-01-12 16:38:55.000000,8627.0,12504223.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899000,1728538.0,1.0,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-01-12 16:01:51.638731,893.0,25874722.0,,,,,,,,,,,,,,,,
4,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2022-01-13 10:45:01.000000,2022-01-12 21:43:16.000000,19465.0,133.0,3859.0,460.0,5071.0,705.0,6115.0,15892.0,2021-11-22 17:49:14.000000,2.4.2,,2000313.0,117.0,46660.0,43191.0,593.0,https://pypi.org/project/bokeh,BSD-3-Clause,2022-01-06 19:58:15.000000,3469.0,1889375.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205000,6323490.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,
5,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2022-01-13 11:28:34.000000,2022-01-12 14:59:24.000000,7310.0,74.0,787.0,71.0,1638.0,581.0,1161.0,2394.0,2021-09-13 23:41:15.000000,7.6.5,,11898267.0,130.0,11608.0,3007.0,187.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-12-23 19:48:50.000000,8524.0,11741258.0,https://anaconda.org/conda-forge/ipywidgets,2021-12-23 21:54:46.131000,4248160.0,1.0,,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-12-23 19:33:57.295000,77.0,95442.0,,,,,,,,,,,
6,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2022-01-12 10:17:17.000000,2022-01-03 20:33:30.000000,3772.0,19.0,469.0,47.0,751.0,407.0,560.0,1242.0,2022-01-03 20:34:13.000000,6.4.0,,13529139.0,46.0,139039.0,130802.0,237.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2022-01-03 20:33:34.000000,8237.0,13449736.0,https://anaconda.org/conda-forge/nbconvert,2022-01-05 03:34:09.827000,5478874.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2022-01-13 11:55:28.000000,2022-01-12 13:02:09.000000,5451.0,178.0,1652.0,273.0,1666.0,194.0,1876.0,6822.0,2022-01-10 12:55:40.000000,2.0.2,,197833.0,57.0,1958.0,1597.0,262.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2022-01-10 12:55:40.000000,361.0,163668.0,https://anaconda.org/conda-forge/jupyterhub,2022-01-10 14:07:13.551000,486255.0,2.0,9.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-01-12 13:13:49.749258,301.0,2458429.0,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2022-01-12 09:41:54.000000,2022-01-11 07:58:27.000000,2483.0,98.0,290.0,34.0,465.0,205.0,182.0,446.0,2022-01-04 19:43:39.000000,6.6.1,132.0,12695961.0,77.0,157747.0,148262.0,148.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2022-01-03 21:11:08.000000,9457.0,12692746.0,https://anaconda.org/anaconda/ipykernel,2021-10-07 07:56:32.806000,236740.0,1.0,,,,,,,,,,,,28.0,,,,,,,,,,
9,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2022-01-08 18:46:46.000000,2022-01-08 18:46:46.000000,1818.0,33.0,172.0,22.0,224.0,103.0,195.0,291.0,2021-12-13 17:55:59.000000,5.2.2,,7770155.0,38.0,97668.0,91358.0,112.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-12-13 17:55:59.000000,6310.0,7737640.0,https://anaconda.org/conda-forge/qtconsole,2021-12-30 15:08:07.413000,2211074.0,1.0,,,,,,,,,,,,,,,,,,,,,,
