,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-02-01 20:02:41.000000,2022-02-01 20:02:15,25822.0,432.0,4302.0,778.0,6596.0,1546.0,5353.0,15208.0,2022-01-19 13:27:45.000,8.0.1,318314.0,22001015.0,143.0,283800.0,249265.0,867.0,https://pypi.org/project/ipython,BSD-3-Clause,2022-01-19 13:27:45.000,34535.0,21861509.0,https://anaconda.org/conda-forge/ipython,2022-01-20 01:10:17.723,9547048.0,1.0,,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,44,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000,2022-02-03 00:32:03.866674,2022-01-25 19:27:14,12132.0,25.0,3667.0,316.0,1920.0,2066.0,2325.0,9684.0,2022-01-25 19:28:28.000,6.4.8,4567.0,14323729.0,86.0,144141.0,135509.0,573.0,https://pypi.org/project/notebook,BSD-3-Clause,2022-01-25 19:28:19.000,8632.0,13975779.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,1761209.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-02-03 00:32:03.866674,898.0,26158418.0,,,,,,,,,,,,,,,,
3,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,42,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-02-01 22:28:06.000000,2022-02-01 22:28:03,19485.0,131.0,3866.0,461.0,5085.0,703.0,6130.0,15938.0,2021-11-22 17:49:14.000,2.4.2,,125246.0,118.0,47877.0,44390.0,596.0,https://pypi.org/project/bokeh,BSD-3-Clause,2022-01-27 18:33:32.000,3483.0,,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6447475.0,1.0,,,,,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-01-27 18:33:23.497,4.0,14083.0,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-02-03 06:36:17.000000,2022-02-01 18:21:16,7336.0,89.0,787.0,71.0,1649.0,581.0,1165.0,2413.0,2021-09-13 23:41:15.000,7.6.5,,13069313.0,130.0,11730.0,3129.0,188.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-12-23 19:48:50.000,8524.0,12901815.0,https://anaconda.org/conda-forge/ipywidgets,2021-12-23 21:54:46.131,4325466.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-12-23 19:33:57.295,77.0,105706.0,,,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000,2022-02-03 10:46:49.000000,2022-01-28 12:42:38,3779.0,24.0,476.0,47.0,756.0,408.0,566.0,1257.0,2022-01-26 21:52:17.000,6.4.1,,15003553.0,47.0,141542.0,133298.0,237.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2022-01-26 21:52:17.000,8244.0,14923627.0,https://anaconda.org/conda-forge/nbconvert,2022-01-26 23:13:31.149,5594874.0,1.0,,,,,,,,,,,,,,,,,,,,,
6,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000,2022-02-02 13:07:04.000000,2022-01-31 22:57:45,5491.0,171.0,1659.0,273.0,1677.0,195.0,1882.0,6858.0,2022-01-25 13:37:10.000,2.1.1,,265870.0,59.0,1979.0,1616.0,266.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2022-01-25 13:37:10.000,363.0,231790.0,https://anaconda.org/conda-forge/jupyterhub,2022-01-25 15:31:44.838,491204.0,1.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-01-31 23:35:37.656348,303.0,2480539.0,,,,,,,,,,,,,,,,
7,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-02-03 08:36:49.000000,2022-01-08 18:46:46,1818.0,33.0,172.0,22.0,225.0,103.0,195.0,297.0,2021-12-13 17:55:59.000,5.2.2,,8566443.0,38.0,98915.0,92605.0,112.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-12-13 17:55:59.000,6310.0,8533897.0,https://anaconda.org/conda-forge/qtconsole,2021-12-30 15:08:07.413,2245731.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/pandas-profiling/pandas-profiling,,widgets,36,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000,2022-01-31 15:53:26.000000,2022-01-26 14:54:26,936.0,21.0,1197.0,147.0,376.0,101.0,437.0,8459.0,2021-09-27 23:12:22.000,3.1.0,,899164.0,31.0,6698.0,6554.0,85.0,https://pypi.org/project/pandas-profiling,MIT,2021-09-27 23:12:22.000,144.0,896357.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966,185308.0,1.0,,,,,,,,,,,,,,,,,,,,,
9,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,36,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-02-03 13:52:46.000000,2022-02-03 13:39:54,1850.0,159.0,226.0,40.0,1539.0,524.0,1137.0,1612.0,2021-12-09 16:47:15.000,0.12.6,,460461.0,163.0,2754.0,2664.0,86.0,https://pypi.org/project/panel,BSD-3-Clause,2022-02-01 14:45:17.000,90.0,388201.0,https://anaconda.org/conda-forge/panel,2021-12-09 19:00:04.193,364001.0,1.0,,,,,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2022-02-01 14:47:52.483,,63160.0,1.0,,,,,,,,,,
