,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,trending,updated_github_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-02-16 21:07:25.000000,2022-02-10 10:20:25,25843.0,363.0,4302.0,779.0,6609.0,1546.0,5356.0,15234.0,2022-01-19 13:27:45.000,8.0.1,318371.0,16552337.0,143.0,287349.0,252814.0,868.0,https://pypi.org/project/ipython,BSD-3-Clause,2022-01-19 13:27:45.000,34535.0,16409410.0,https://anaconda.org/conda-forge/ipython,2022-02-16 17:09:39.734,9786435.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,44,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-02-17 11:04:13.000000,2022-02-17 10:01:38,19489.0,105.0,3866.0,462.0,5092.0,703.0,6135.0,15963.0,2021-11-22 17:49:14.000,2.4.2,,3513144.0,118.0,48788.0,45301.0,598.0,https://pypi.org/project/bokeh,BSD-3-Clause,2022-01-27 18:33:32.000,3483.0,3389026.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6533464.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-01-27 18:33:23.497,4.0,11473.0,,,,,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,44,True,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000,2022-02-17 12:52:57.000000,2022-02-17 11:05:31,24108.0,249.0,2229.0,322.0,5647.0,2081.0,4424.0,11802.0,2022-02-04 09:10:07.000,3.2.9,30120.0,1844875.0,419.0,58700.0,56664.0,466.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2022-02-10 10:22:59.000,1795.0,1589771.0,https://anaconda.org/conda-forge/jupyterlab,2022-02-10 15:32:03.942,5115723.0,1.0,@jupyterlab/ui-components,https://www.npmjs.com/package/@jupyterlab/ui-components,2022-01-12 11:11:08.366,241.0,179371.0,,,,,,,,,,,,,,,,,
4,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,44,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000,2022-02-16 20:09:48.000000,2022-01-25 19:27:14,12132.0,16.0,3667.0,316.0,1922.0,2066.0,2343.0,9715.0,2022-01-25 19:28:28.000,6.4.8,4931.0,9645458.0,86.0,146203.0,137571.0,573.0,https://pypi.org/project/notebook,BSD-3-Clause,2022-01-25 19:28:19.000,8632.0,9293952.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,1786090.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-02-15 18:18:32.429975,898.0,26416125.0,,,,,,,,,,,,
5,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-02-15 09:20:40.000000,2022-02-09 00:41:40,7350.0,87.0,796.0,71.0,1659.0,588.0,1170.0,2425.0,2021-09-13 23:41:15.000,7.6.5,,8297615.0,131.0,11885.0,3239.0,191.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2022-02-11 14:25:25.000,8569.0,8127662.0,https://anaconda.org/conda-forge/ipywidgets,2021-12-23 21:54:46.131,4384395.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-12-23 19:33:57.295,77.0,107319.0,,,,,,,,,,,,,,,,,
6,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000,2022-02-11 15:26:58.565000,2022-02-09 23:03:55,3784.0,24.0,478.0,47.0,760.0,408.0,568.0,1265.0,2022-02-09 23:03:28.000,6.4.2,,10322868.0,48.0,143574.0,135319.0,237.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2022-02-09 23:03:28.000,8255.0,10241582.0,https://anaconda.org/conda-forge/nbconvert,2022-02-11 15:26:58.565,5690029.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000,2022-02-17 08:35:45.000000,2022-02-15 10:24:09,5514.0,182.0,1659.0,271.0,1683.0,195.0,1886.0,6865.0,2022-01-25 13:37:10.000,2.1.1,,300957.0,59.0,1994.0,1631.0,268.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2022-01-25 13:37:10.000,363.0,266651.0,https://anaconda.org/conda-forge/jupyterhub,2022-01-25 15:31:44.838,495143.0,2.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-02-15 10:39:11.258494,304.0,2496088.0,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000,2022-02-17 12:37:00.000000,2022-02-15 15:54:09,2528.0,113.0,296.0,34.0,480.0,210.0,188.0,454.0,2022-02-16 02:50:51.000,6.9.1,258.0,9892736.0,81.0,163357.0,153835.0,148.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2022-02-15 15:55:16.000,9492.0,9889437.0,https://anaconda.org/anaconda/ipykernel,2022-01-20 12:21:12.773,245398.0,1.0,,,,,,,,,,,30.0,,,,,,,,,,,
9,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-02-13 19:21:03.000000,2022-02-13 19:21:03,1825.0,19.0,172.0,22.0,226.0,103.0,196.0,298.0,2021-12-13 17:55:59.000,5.2.2,,3719245.0,38.0,100023.0,93713.0,113.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-12-13 17:55:59.000,6310.0,3686317.0,https://anaconda.org/conda-forge/qtconsole,2021-12-30 15:08:07.413,2272091.0,1.0,,,,,,,,,,,,,,,,,,,,,,
