,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-03-03 10:55:32.000000,2022-03-03 10:50:07,25897.0,312.0,4328.0,780.0,6629.0,1552.0,5376.0,15263.0,2022-02-25 15:16:38.000,8.1.0,318435.0,16293445.0,146.0,290971.0,256297.0,877.0,https://pypi.org/project/ipython,BSD-3-Clause,2022-03-03 10:55:32.000,34674.0,16149269.0,https://anaconda.org/conda-forge/ipython,2022-02-26 15:55:39.205,10017046.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,44,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-03-03 10:24:51.000000,2022-03-03 10:24:48,19499.0,95.0,3866.0,460.0,5101.0,703.0,6150.0,16008.0,2021-11-22 17:49:14.000,2.4.2,,4198227.0,118.0,49888.0,46401.0,599.0,https://pypi.org/project/bokeh,BSD-3-Clause,2022-01-27 18:33:32.000,3483.0,4075898.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6624932.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-01-27 18:33:23.497,4.0,10043.0,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,44,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000,2022-03-02 23:09:25.908093,2022-02-28 22:04:36,12133.0,17.0,3667.0,317.0,1927.0,2066.0,2346.0,9752.0,2022-01-25 19:28:28.000,6.4.8,5344.0,9479528.0,86.0,148316.0,139684.0,574.0,https://pypi.org/project/notebook,BSD-3-Clause,2022-01-25 19:28:19.000,8632.0,9128996.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,1810390.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-03-02 23:09:25.908093,903.0,26663681.0,,,,,,,,,,,,
4,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000,2022-03-01 20:46:34.000000,2022-03-01 17:40:33,5524.0,148.0,1659.0,272.0,1692.0,195.0,1890.0,6884.0,2022-01-25 13:37:10.000,2.1.1,,486297.0,59.0,2006.0,1643.0,269.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2022-01-25 13:37:10.000,363.0,452173.0,https://anaconda.org/conda-forge/jupyterhub,2022-01-25 15:31:44.838,499472.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-03-01 17:57:24.197999,306.0,2510017.0,,,,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000,2022-02-23 13:56:45.000000,2022-02-09 23:03:55,3784.0,22.0,478.0,46.0,761.0,408.0,568.0,1268.0,2022-02-09 23:03:28.000,6.4.2,,10279713.0,48.0,145566.0,137311.0,237.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2022-02-09 23:03:28.000,8255.0,10198266.0,https://anaconda.org/conda-forge/nbconvert,2022-02-11 15:26:58.565,5782752.0,1.0,,,,,,,,,,,,,,,,,,,,,,
6,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-03-03 14:16:12.000000,2022-03-03 09:31:53,7381.0,108.0,796.0,71.0,1674.0,588.0,1178.0,2438.0,2021-09-13 23:41:15.000,7.6.5,,8189792.0,131.0,11991.0,3345.0,193.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2022-02-11 14:25:25.000,8569.0,8022662.0,https://anaconda.org/conda-forge/ipywidgets,2021-12-23 21:54:46.131,4441852.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-12-23 19:33:57.295,77.0,104569.0,,,,,,,,,,,,,,,,,
7,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000,2022-03-03 11:20:29.000000,2022-02-28 14:43:54,2545.0,105.0,296.0,33.0,487.0,210.0,190.0,457.0,2022-02-16 02:50:51.000,6.9.1,295.0,10078436.0,81.0,165774.0,156252.0,148.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2022-02-15 15:55:16.000,9492.0,10075127.0,https://anaconda.org/anaconda/ipykernel,2022-01-20 12:21:12.773,249325.0,1.0,,,,,,,,,,,30.0,,,,,,,,,,,
8,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-02-25 17:39:36.000000,2022-02-25 17:39:36,1829.0,18.0,172.0,23.0,227.0,103.0,198.0,300.0,2021-12-13 17:55:59.000,5.2.2,,3300966.0,38.0,101127.0,94817.0,113.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-12-13 17:55:59.000,6310.0,3268153.0,https://anaconda.org/conda-forge/qtconsole,2021-12-30 15:08:07.413,2296944.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/pandas-profiling,,widgets,36,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,2016-01-09 23:47:55.000,2022-03-01 16:07:03.000000,2022-03-01 16:07:01,939.0,15.0,1221.0,150.0,385.0,109.0,439.0,8568.0,2021-09-27 23:12:22.000,3.1.0,,918820.0,31.0,6982.0,6838.0,86.0,https://pypi.org/project/pandas-profiling,MIT,2021-09-27 23:12:22.000,144.0,916010.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966,188278.0,1.0,,,,,,,,,,,,ydataai/pandas-profiling,,,,,,,,,,
