,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-03-30 09:53:43.000000,2022-03-27 17:33:27,25929.0,199.0,4333.0,778.0,6651.0,1513.0,5448.0,15301.0,2022-03-27 10:10:33.000,8.2.0,318564.0,17952037.0,147.0,299605.0,264861.0,880.0,https://pypi.org/project/ipython,BSD-3-Clause,2022-03-27 10:10:33.000,34744.0,17801194.0,https://anaconda.org/conda-forge/ipython,2022-03-27 20:57:10.655,10490382.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,44,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-03-31 11:28:58.000000,2022-03-31 06:06:11,19524.0,77.0,3881.0,462.0,5124.0,708.0,6182.0,16124.0,2021-11-22 17:49:14.000,2.4.2,,5130464.0,119.0,52589.0,49087.0,600.0,https://pypi.org/project/bokeh,BSD-3-Clause,2022-03-03 18:34:50.000,3498.0,5005642.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6807467.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-03-03 18:34:44.216,4.0,9442.0,,,,,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,43,True,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000,2022-03-31 14:06:38.000000,2022-03-31 13:08:54,24222.0,272.0,2275.0,320.0,5780.0,2116.0,4501.0,11932.0,2022-03-14 14:54:16.000,3.3.2,48491.0,2462888.0,425.0,7732.0,5666.0,473.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2022-03-18 08:50:14.000,1825.0,2217511.0,https://anaconda.org/conda-forge/jupyterlab,2022-03-14 17:39:05.766,5232349.0,1.0,@jupyterlab/ui-components,https://www.npmjs.com/package/@jupyterlab/ui-components,2022-03-18 08:53:35.617,241.0,168752.0,-1.0,,,,,,,,,,,,,,,,
4,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000,2022-03-28 06:35:24.727548,2022-03-21 15:34:08,12854.0,181.0,3712.0,314.0,1950.0,2047.0,2354.0,9833.0,2022-03-15 15:56:07.000,6.4.10,6084.0,9976839.0,90.0,8656.0,8.0,605.0,https://pypi.org/project/notebook,BSD-3-Clause,2022-03-21 15:37:14.000,8648.0,9623899.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,1865339.0,1.0,,,,,,-1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-03-28 06:35:24.727548,912.0,26788948.0,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,40,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000,2022-03-31 10:35:46.000000,2022-03-30 06:26:08,5621.0,201.0,1684.0,272.0,1720.0,198.0,1900.0,6918.0,2022-03-14 11:37:12.000,2.2.2,,708059.0,62.0,2042.0,1676.0,273.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2022-03-14 11:37:12.000,366.0,673512.0,https://anaconda.org/conda-forge/jupyterhub,2022-03-14 14:16:26.459,508982.0,2.0,,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-03-29 22:03:02.880308,307.0,2536728.0,,,,,,,,,,,
6,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-03-16 18:48:16.392000,2022-03-11 23:17:39,7392.0,83.0,808.0,70.0,1679.0,591.0,1188.0,2455.0,2022-03-16 07:31:49.000,7.7.0,,8337454.0,134.0,12248.0,3565.0,193.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2022-03-16 07:31:49.000,8606.0,8154648.0,https://anaconda.org/conda-forge/ipywidgets,2022-03-16 18:48:16.392,4582018.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-03-11 23:07:24.231,77.0,118271.0,,,,,,,,,,,,,,,,,
7,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000,2022-03-29 11:04:52.212000,2022-03-28 09:45:02,3797.0,27.0,485.0,45.0,773.0,414.0,572.0,1291.0,2022-03-28 09:46:09.000,6.4.5,,10586716.0,51.0,150333.0,142062.0,240.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2022-03-28 09:46:09.000,8271.0,10502087.0,https://anaconda.org/conda-forge/nbconvert,2022-03-29 11:04:52.212,6008676.0,1.0,,,,,,,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,39,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000,2022-03-31 13:34:47.000000,2022-03-31 10:28:34,2599.0,143.0,301.0,32.0,504.0,220.0,191.0,464.0,2022-03-31 10:30:10.000,6.11.0,332.0,10894093.0,83.0,171612.0,162058.0,152.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2022-03-31 10:30:02.000,9524.0,10890661.0,https://anaconda.org/anaconda/ipykernel,2022-03-12 09:13:36.250,258374.0,1.0,,,,,,,,,,,,30.0,,,,,,,,,,
9,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,36,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-03-31 13:28:25.000000,2022-03-31 13:28:23,1925.0,155.0,239.0,41.0,1604.0,513.0,1180.0,1698.0,2022-03-27 11:07:35.357,0.12.7,,504164.0,176.0,3085.0,2989.0,90.0,https://pypi.org/project/panel,BSD-3-Clause,2022-03-29 17:07:15.000,96.0,429371.0,https://anaconda.org/conda-forge/panel,2022-03-30 09:25:20.761,392605.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2022-03-29 17:13:06.201,,65218.0,,,,,,,,,,,,,,,,,
10,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,36,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-03-29 18:40:48.000000,2022-03-28 17:15:49,1860.0,39.0,172.0,22.0,232.0,103.0,201.0,303.0,2021-12-15 16:11:33.225,0.0.0,,3260177.0,39.0,103649.0,97332.0,114.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2022-03-28 17:07:14.000,6317.0,3226536.0,https://anaconda.org/conda-forge/qtconsole,2022-03-28 22:08:50.018,2354877.0,1.0,,,,,,-1.0,,,,,,,,,,,,,,,,
11,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/pandas-profiling,,widgets,35,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,2016-01-09 23:47:55.000,2022-03-31 00:35:55.000000,2022-03-01 16:07:01,939.0,8.0,1259.0,151.0,389.0,115.0,441.0,8722.0,2021-09-27 23:12:22.000,3.1.0,,1034397.0,31.0,7360.0,7210.0,86.0,https://pypi.org/project/pandas-profiling,MIT,2021-09-27 23:12:22.000,150.0,1031536.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966,191711.0,1.0,,,,,,,,,,,,,ydataai/pandas-profiling,,,,,,,,,
12,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,35,True,voila,voila-dashboards/voila,conda-forge/voila,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000,2022-03-30 12:38:14.000000,2022-03-30 12:38:14,1246.0,102.0,388.0,77.0,549.0,265.0,350.0,4004.0,2022-03-29 17:16:03.000,0.3.5,232.0,66663.0,75.0,6396.0,6340.0,57.0,https://pypi.org/project/voila,BSD-3-Clause,2022-03-29 17:15:53.000,56.0,59445.0,https://anaconda.org/conda-forge/voila,2022-03-29 20:27:37.534,166249.0,1.0,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555,,3126.0,,,,,,,,,,,,,,,,,
13,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,35,True,jupyter-client,jupyter/jupyter_client,conda-forge/jupyter_client,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000,2022-03-31 11:12:44.000000,2022-03-30 15:38:47,2248.0,82.0,223.0,32.0,457.0,147.0,170.0,267.0,2022-03-30 15:39:43.000,7.2.1,182.0,11040635.0,55.0,2159.0,,114.0,https://pypi.org/project/jupyter-client,BSD-3-Clause,2022-03-30 15:39:35.000,2159.0,10943322.0,https://anaconda.org/conda-forge/jupyter_client,2022-03-30 18:27:34.643,6907418.0,1.0,,,,,,,,,,,,,,,,,,,,,,
