,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,45,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-05-16 01:35:05.000000,2022-05-03 10:27:06,25961.0,110.0,4340.0,774.0,6675.0,1537.0,5462.0,15351.0,2022-04-29 12:31:53.000,8.3.0,318805.0,19700434.0,149.0,310739.0,275909.0,882.0,https://pypi.org/project/ipython,BSD-3-Clause,2022-04-29 12:31:53.000,34830.0,19540788.0,https://anaconda.org/conda-forge/ipython,2022-04-29 14:22:58.344,11432566.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,44,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-05-19 14:42:43.283000,2022-05-15 20:49:38,19546.0,54.0,3933.0,458.0,5153.0,709.0,6200.0,16291.0,2022-05-18 19:00:14.000,2.4.3,,3341657.0,125.0,54794.0,51254.0,604.0,https://pypi.org/project/bokeh,BSD-3-Clause,2022-05-18 19:00:14.000,3536.0,3207461.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 14:42:43.283,7244454.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-05-18 19:00:05.978,4.0,15435.0,1.0,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,44,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000,2022-05-19 09:18:28.000000,2022-05-17 07:27:34,12954.0,205.0,3775.0,317.0,1999.0,2088.0,2367.0,9975.0,2022-04-19 03:09:11.000,6.4.11,7433.0,11877787.0,92.0,8677.0,8.0,609.0,https://pypi.org/project/notebook,BSD-3-Clause,2022-04-27 07:33:46.000,8669.0,11529230.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,1988258.0,1.0,,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-05-13 18:52:04.368215,917.0,26977075.0,,,,,,,,,,,
4,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000,2022-05-19 13:02:54.000000,2022-05-13 09:56:58,5675.0,161.0,1704.0,271.0,1744.0,205.0,1916.0,6986.0,2022-05-06 14:11:49.000,2.3.0,,1844273.0,63.0,2098.0,1730.0,276.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2022-05-06 14:11:49.000,368.0,1809566.0,https://anaconda.org/conda-forge/jupyterhub,2022-05-06 14:23:27.212,546081.0,1.0,,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-05-13 10:09:34.430416,310.0,2576751.0,,,,,,,,,,,
5,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/pandas-profiling,,widgets,38,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,2016-01-09 23:47:55.000,2022-05-18 15:49:11.000000,2022-05-15 16:38:43,1001.0,58.0,1306.0,150.0,406.0,107.0,462.0,8953.0,2022-05-02 02:53:44.000,3.2.0,,1069251.0,32.0,7979.0,7821.0,88.0,https://pypi.org/project/pandas-profiling,MIT,2021-09-27 23:12:22.000,158.0,1066300.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,203680.0,1.0,,,,,,,,,,,,ydataai/pandas-profiling,,,,,,,,,,
6,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-05-17 21:19:38.000000,2022-05-10 16:36:15,7398.0,35.0,808.0,69.0,1693.0,591.0,1197.0,2492.0,2022-03-16 07:31:49.000,7.7.0,,8976251.0,134.0,12648.0,3965.0,194.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2022-03-16 07:31:49.000,8606.0,8804166.0,https://anaconda.org/conda-forge/ipywidgets,2022-04-05 23:43:26.701,4935083.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-03-16 07:13:18.887,77.0,104482.0,-1.0,,,,,,,,,,,,,,,,
7,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,37,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-05-19 12:08:59.000000,2022-05-19 12:08:58,2092.0,221.0,257.0,39.0,1746.0,513.0,1280.0,1851.0,2022-04-15 15:33:58.431,0.13.0,,570113.0,195.0,3393.0,3285.0,95.0,https://pypi.org/project/panel,BSD-3-Clause,2022-05-16 23:39:15.000,108.0,466369.0,https://anaconda.org/conda-forge/panel,2022-05-09 13:41:54.182,443610.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2022-05-16 23:43:24.689,,93428.0,,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,37,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000,2022-05-18 02:08:19.000000,2022-05-18 02:08:19,2657.0,118.0,305.0,32.0,527.0,220.0,196.0,484.0,2022-04-11 13:39:17.000,6.13.0,408.0,13195366.0,86.0,9561.0,,154.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2022-04-11 09:22:15.000,9531.0,13191646.0,https://anaconda.org/anaconda/ipykernel,2022-05-02 20:19:38.840,287564.0,1.0,,,,,,,,,,,,,30.0,,,,,,,,,
9,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-05-06 03:16:24.000000,2022-05-06 03:16:24,1873.0,46.0,174.0,22.0,236.0,102.0,206.0,309.0,2021-12-15 16:11:33.225,0.0.0,,2897301.0,39.0,106725.0,100408.0,115.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2022-03-28 17:07:14.000,6317.0,2862689.0,https://anaconda.org/conda-forge/qtconsole,2022-03-28 22:08:50.018,2492072.0,1.0,,,,,,,,,,,,,,,,,,,,,,
