,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,trending,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,45,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-06-30 11:27:50.000000,2022-06-27 09:20:00,25989.0,60.0,4346.0,773.0,6690.0,1549.0,5496.0,15411.0,2022-05-28 12:34:24.000,8.4.0,318958.0,21234162.0,151.0,321663.0,286761.0,889.0,https://pypi.org/project/ipython,2022-05-28 12:34:24.000,34902.0,21063366.0,https://anaconda.org/conda-forge/ipython,2022-05-28 16:47:29.603,12416274.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-06-29 02:39:10.000000,2022-06-29 01:28:42,19575.0,50.0,3956.0,454.0,5179.0,709.0,6233.0,16435.0,2022-05-18 19:00:14.000,2.4.3,,3013340.0,127.0,56788.0,53233.0,607.0,https://pypi.org/project/bokeh,2022-06-24 23:39:00.000,3551.0,2876678.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7687396.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-06-24 23:38:55.465,4.0,12672.0,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2022-06-27 21:39:55.000000,2022-06-27 21:39:34,12985.0,121.0,3807.0,317.0,2013.0,2102.0,2393.0,10094.0,2022-06-15 01:21:43.000,6.4.12,8318.0,11754019.0,95.0,8692.0,9.0,611.0,https://pypi.org/project/notebook,2022-06-14 16:08:46.000,8683.0,11406028.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,2106829.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-06-27 07:43:03.965262,927.0,27128974.0,,,,,,,,,,,,
4,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2022-06-28 07:47:30.000000,2022-06-21 07:58:36,5762.0,134.0,1716.0,270.0,1788.0,133.0,1997.0,7029.0,2022-06-06 14:27:26.000,2.3.1,,1171539.0,64.0,2165.0,1796.0,280.0,https://pypi.org/project/jupyterhub,2022-06-06 14:27:26.000,369.0,1136131.0,https://anaconda.org/conda-forge/jupyterhub,2022-06-06 18:07:49.815,590464.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-06-21 08:17:11.441361,312.0,2622749.0,,,,,,,,,,,,
5,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-06-24 20:02:51.000000,2022-06-24 16:37:47,7452.0,60.0,837.0,70.0,1721.0,614.0,1215.0,2516.0,2022-06-22 17:40:24.000,7.7.1,,8644848.0,135.0,13093.0,4314.0,197.0,https://pypi.org/project/ipywidgets,2022-06-22 17:40:24.000,8702.0,8459478.0,https://anaconda.org/conda-forge/ipywidgets,2022-06-23 08:47:23.441,5275104.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-06-22 17:35:36.698,77.0,114085.0,,,,,,,,,,,,,,,,,
6,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/pandas-profiling,,widgets,38,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-06-24 09:11:47.000000,2022-06-03 15:43:48,1006.0,58.0,1306.0,154.0,415.0,111.0,465.0,9171.0,2022-05-02 02:53:44.000,3.2.0,,1229672.0,32.0,8467.0,8309.0,88.0,https://pypi.org/project/pandas-profiling,2021-09-27 23:12:22.000,158.0,1226558.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,218033.0,1.0,,,,,,,,,,,ydataai/pandas-profiling,,,,,,,,,,,
7,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,37,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-06-30 07:48:14.000000,2022-06-29 20:51:47,2147.0,207.0,265.0,39.0,1799.0,540.0,1301.0,1985.0,2022-05-24 10:28:39.753,0.13.1,,536479.0,201.0,3693.0,3582.0,96.0,https://pypi.org/project/panel,2022-06-13 17:21:41.000,111.0,414929.0,https://anaconda.org/conda-forge/panel,2022-05-24 21:55:47.367,504867.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2022-06-13 17:26:01.429,,110076.0,,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,37,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2022-06-27 21:24:09.000000,2022-06-27 21:24:07,2712.0,109.0,310.0,31.0,550.0,229.0,200.0,494.0,2022-06-16 08:51:53.000,6.15.0,448.0,12934402.0,89.0,9610.0,,154.0,https://pypi.org/project/ipykernel,2022-06-15 16:50:11.000,9580.0,12930277.0,https://anaconda.org/anaconda/ipykernel,2022-05-02 20:19:38.840,323228.0,1.0,,,,,,,,,,,,30.0,,,,,,,,,,
9,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-06-27 01:14:14.000000,2022-06-19 17:26:07,1887.0,27.0,178.0,22.0,240.0,100.0,213.0,317.0,2022-03-28 17:07:14.000,5.3.0,,4814756.0,40.0,110067.0,103747.0,116.0,https://pypi.org/project/qtconsole,2022-06-05 17:30:57.000,6320.0,4778611.0,https://anaconda.org/conda-forge/qtconsole,2022-06-05 21:52:17.510,2638639.0,1.0,,,,,,,,,,,,,,,,,,,,,,
