,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,conda_dependent_project_count,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,cran_id,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,45,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-07-14 10:23:26.000000,2022-06-27 09:20:00,25989.0,49.0,4346.0,774.0,6691.0,1549.0,5496.0,15428.0,2022-05-28 12:34:24.000,8.4.0,319014.0,18913511.0,151.0,324844.0,289942.0,889.0,https://pypi.org/project/ipython,2022-05-28 12:34:24.000,34902.0,18741024.0,https://anaconda.org/conda-forge/ipython,2022-05-28 16:47:29.603,12712962.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-07-14 02:18:22.000000,2022-07-12 19:45:10,19594.0,68.0,3956.0,455.0,5197.0,715.0,6244.0,16482.0,2022-05-18 19:00:14.000,2.4.3,,3025368.0,129.0,57247.0,53690.0,607.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,2889099.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7821074.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-07-05 19:06:20.010,4.0,12125.0,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2022-07-12 22:51:52.000000,2022-07-12 07:18:11,12992.0,106.0,3807.0,317.0,2020.0,2102.0,2437.0,10127.0,2022-06-15 01:21:43.000,6.4.12,8552.0,11126549.0,95.0,8692.0,9.0,611.0,https://pypi.org/project/notebook,2022-06-14 16:08:46.000,8683.0,10781378.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,2148383.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-07-11 19:12:47.406627,930.0,27186952.0,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-07-12 18:04:09.000000,2022-07-12 18:04:01,7519.0,122.0,845.0,70.0,1729.0,621.0,1219.0,2531.0,2022-06-22 17:40:24.000,7.7.1,,7677271.0,136.0,13207.0,4411.0,197.0,https://pypi.org/project/ipywidgets,2022-07-06 21:32:24.000,8719.0,7492392.0,https://anaconda.org/conda-forge/ipywidgets,2022-06-23 08:47:23.441,5395378.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-07-06 21:23:04.374,77.0,112941.0,,,,,,,,,,,,,,,,,
5,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/pandas-profiling,,widgets,38,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-07-14 07:26:57.000000,2022-07-08 09:49:41,1014.0,54.0,1313.0,153.0,420.0,112.0,465.0,9226.0,2022-05-02 02:53:44.000,3.2.0,,1296392.0,32.0,8596.0,8438.0,88.0,https://pypi.org/project/pandas-profiling,2021-09-27 23:12:22.000,158.0,1293125.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,232000.0,1.0,,,,,,,,,,,ydataai/pandas-profiling,,,,,,,,,,,
6,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2022-07-14 10:23:14.000000,2022-07-14 03:38:36,5780.0,131.0,1716.0,268.0,1797.0,133.0,1999.0,7046.0,2022-06-06 14:27:26.000,2.3.1,,167542.0,64.0,2173.0,1804.0,280.0,https://pypi.org/project/jupyterhub,2022-06-06 14:27:26.000,369.0,132169.0,https://anaconda.org/conda-forge/jupyterhub,2022-06-06 18:07:49.815,605088.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-07-14 03:53:46.828550,312.0,2638128.0,,-1.0,,,,,,,,,,
7,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,37,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2022-07-11 22:37:26.000000,2022-07-11 22:37:24,2717.0,74.0,314.0,31.0,554.0,229.0,201.0,495.0,2022-07-08 10:58:07.000,6.15.1,469.0,12300596.0,90.0,9629.0,,154.0,https://pypi.org/project/ipykernel,2022-06-15 16:50:11.000,9599.0,12296383.0,https://anaconda.org/anaconda/ipykernel,2022-05-02 20:19:38.840,334444.0,1.0,,,,,,,,,,,,,30.0,,,,,,,,,
8,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-06-27 01:14:14.000000,2022-06-19 17:26:07,1887.0,27.0,178.0,22.0,240.0,100.0,216.0,318.0,2022-03-28 17:07:14.000,5.3.0,,4879116.0,40.0,111046.0,104726.0,116.0,https://pypi.org/project/qtconsole,2022-06-05 17:30:57.000,6320.0,4842783.0,https://anaconda.org/conda-forge/qtconsole,2022-06-05 21:52:17.510,2688665.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,36,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-07-14 12:14:13.000000,2022-07-14 11:59:16,2154.0,132.0,268.0,41.0,1808.0,570.0,1309.0,2009.0,2022-05-24 10:28:39.753,0.13.1,,528307.0,203.0,3800.0,3688.0,97.0,https://pypi.org/project/panel,2022-07-05 13:31:06.000,112.0,408405.0,https://anaconda.org/conda-forge/panel,2022-05-24 21:55:47.367,524330.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2022-07-05 13:35:02.394,,108251.0,,,,,,,,,,,,,,,,,
