,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,cran_id,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,44,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-07-24 23:57:20.000000,2022-07-18 15:03:32,25990.0,31.0,4346.0,774.0,6696.0,1549.0,5498.0,15447.0,2022-05-28 12:34:24.000,8.4.0,319074.0,17036450.0,151.0,328194.0,293292.0,891.0,https://pypi.org/project/ipython,2022-05-28 12:34:24.000,34902.0,16860717.0,https://anaconda.org/conda-forge/ipython,2022-05-28 16:47:29.603,12956376.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-07-28 14:45:51.000000,2022-07-27 21:54:20,19614.0,76.0,3956.0,455.0,5216.0,715.0,6254.0,16515.0,2022-05-18 19:00:14.000,2.4.3,,3214307.0,129.0,57682.0,54125.0,609.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,3076481.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7950894.0,1.0,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-07-05 19:06:20.010,4.0,11622.0,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2022-07-28 13:39:08.000000,2022-07-25 07:48:28,13009.0,65.0,3853.0,319.0,2035.0,2044.0,2444.0,10177.0,2022-06-15 01:21:43.000,6.4.12,8671.0,11202651.0,96.0,8703.0,9.0,612.0,https://pypi.org/project/notebook,2022-06-14 16:08:46.000,8694.0,10856186.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,2191545.0,1.0,,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-07-27 20:52:50.739750,935.0,27242442.0,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-07-28 14:20:53.000000,2022-07-24 06:59:47,7534.0,133.0,845.0,70.0,1735.0,621.0,1223.0,2542.0,2022-07-27 10:28:11.000,7.7.1,,7720935.0,136.0,13311.0,4515.0,197.0,https://pypi.org/project/ipywidgets,2022-07-06 21:32:24.000,8719.0,7551609.0,https://anaconda.org/conda-forge/ipywidgets,2022-06-23 08:47:23.441,5514825.0,1.0,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-07-06 21:23:04.374,77.0,95795.0,,,,,,,,,,,,,,,,
5,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/pandas-profiling,,widgets,38,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-07-27 14:23:52.000000,2022-07-08 09:49:41,1014.0,54.0,1316.0,153.0,420.0,114.0,465.0,9294.0,2022-05-02 02:53:44.000,3.2.0,,1320036.0,32.0,8730.0,8572.0,88.0,https://pypi.org/project/pandas-profiling,2021-09-27 23:12:22.000,158.0,1316599.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,244031.0,1.0,,,,,,,,,,,,ydataai/pandas-profiling,,,,,,,,,,
6,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2022-07-28 13:42:41.000000,2022-07-27 18:38:42,5798.0,142.0,1716.0,268.0,1807.0,133.0,2002.0,7060.0,2022-06-06 14:27:26.000,2.3.1,,175983.0,64.0,2188.0,1819.0,280.0,https://pypi.org/project/jupyterhub,2022-06-06 14:27:26.000,369.0,140339.0,https://anaconda.org/conda-forge/jupyterhub,2022-06-06 18:07:49.815,615683.0,1.0,,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-07-27 18:53:06.268791,312.0,2650478.0,,,,,,,,,,,
7,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,37,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-07-28 06:19:13.000000,2022-07-26 12:13:51,2165.0,110.0,268.0,42.0,1825.0,570.0,1314.0,2025.0,2022-05-24 10:28:39.753,0.13.1,,526411.0,203.0,3894.0,3782.0,100.0,https://pypi.org/project/panel,2022-07-05 13:31:06.000,112.0,405348.0,https://anaconda.org/conda-forge/panel,2022-05-24 21:55:47.367,544182.0,1.0,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2022-07-05 13:35:02.394,,108971.0,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,37,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2022-07-25 22:39:52.000000,2022-07-25 22:39:51,2719.0,70.0,314.0,31.0,556.0,229.0,201.0,497.0,2022-07-08 10:58:07.000,6.15.1,485.0,10652142.0,90.0,9629.0,,154.0,https://pypi.org/project/ipykernel,2022-06-15 16:50:11.000,9599.0,10647783.0,https://anaconda.org/anaconda/ipykernel,2022-05-02 20:19:38.840,346075.0,1.0,,,,,,,,,,,,,30.0,,,,,,,,,
9,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,36,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2022-07-28 13:27:26.000000,2022-07-14 15:50:37,3838.0,26.0,491.0,47.0,812.0,424.0,585.0,1341.0,2022-04-11 09:11:31.000,6.5,,11024766.0,55.0,8324.0,,246.0,https://pypi.org/project/nbconvert,2022-06-15 13:14:05.000,8324.0,10924566.0,https://anaconda.org/conda-forge/nbconvert,2022-04-11 11:35:00.503,7515034.0,1.0,,,,,,,,,,,,,,,,,,,,,,
