,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,trending,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,44,True,bokeh,bokeh/bokeh,conda-forge/bokeh,@bokeh/bokehjs,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-08-18 09:10:56.000000,2022-08-17 22:48:58,19650.0,103.0,3968.0,453.0,5246.0,700.0,6271.0,16594.0,58335.0,54777.0,612.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,2022-05-18 19:00:14.000,2.4.3,130.0,3553.0,3367098.0,3506101.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8169912.0,https://www.npmjs.com/package/@bokeh/bokehjs,2022-08-06 18:43:26.120,5.0,11349.0,1.0,,,,,,,,,,,,,,,,,,
2,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,44,True,ipython,ipython/ipython,conda-forge/ipython,,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-08-18 05:42:59.000000,2022-08-16 08:15:38,25997.0,36.0,4355.0,773.0,6704.0,1537.0,5510.0,15468.0,333105.0,298105.0,893.0,https://pypi.org/project/ipython,2022-05-28 12:34:24.000,2022-05-28 12:34:24.000,8.4.0,151.0,35000.0,17035229.0,17213703.0,https://anaconda.org/conda-forge/ipython,2022-05-28 16:47:29.603,13339518.0,,,,,1.0,319170.0,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2022-08-17 13:35:13.000000,2022-08-10 06:01:42,13023.0,56.0,3862.0,318.0,2045.0,2037.0,2463.0,10230.0,8703.0,9.0,614.0,https://pypi.org/project/notebook,2022-06-14 16:08:46.000,2022-06-15 01:21:43.000,6.4.12,98.0,8694.0,11074754.0,11418925.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,2254119.0,,,,,1.0,8784.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-08-15 04:57:09.056527,939.0,27315197.0,,,,,,,,,,,,
4,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2022-08-18 14:01:53.000000,2022-08-16 12:13:49,5869.0,194.0,1741.0,268.0,1823.0,138.0,2013.0,7085.0,2216.0,1846.0,280.0,https://pypi.org/project/jupyterhub,2022-06-06 14:27:26.000,2022-06-06 14:27:26.000,2.3.1,65.0,370.0,143782.0,179515.0,https://anaconda.org/conda-forge/jupyterhub,2022-06-06 18:07:49.815,636819.0,,,,,1.0,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-08-16 12:22:34.476262,313.0,2669833.0,,,,,,,,,,,,
5,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,@jupyter-widgets/jupyterlab-manager,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-08-18 12:00:46.876000,2022-08-18 09:36:07,7573.0,146.0,856.0,70.0,1746.0,606.0,1228.0,2556.0,13464.0,4663.0,197.0,https://pypi.org/project/ipywidgets,2022-07-06 21:32:24.000,2022-08-18 10:08:44.000,8.0.0,139.0,8720.0,7856997.0,8005314.0,https://anaconda.org/conda-forge/ipywidgets,2022-08-18 12:00:46.876,5711531.0,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-08-18 09:20:08.873,81.0,73166.0,1.0,,,,,,,,,,,,,,,,,,
6,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,38,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2022-08-16 13:56:09.000000,2022-08-16 13:56:09,3878.0,56.0,492.0,47.0,824.0,441.0,588.0,1363.0,8324.0,,247.0,https://pypi.org/project/nbconvert,2022-06-15 13:14:05.000,2022-08-11 11:55:23.519,6.5.3,58.0,8324.0,11651963.0,11754582.0,https://anaconda.org/conda-forge/nbconvert,2022-08-11 13:00:48.998,7799113.0,,,,,1.0,,,,,,,,,,,,,,,,,,
7,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/pandas-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-08-03 13:54:35.000000,2022-08-03 13:54:31,1023.0,17.0,1330.0,153.0,421.0,118.0,465.0,9382.0,8922.0,8764.0,89.0,https://pypi.org/project/pandas-profiling,2021-09-27 23:12:22.000,2022-05-02 02:53:44.000,3.2.0,32.0,158.0,1192023.0,1195708.0,https://anaconda.org/conda-forge/pandas-profiling,2022-05-02 10:58:37.618,265326.0,,,,,1.0,,,,,,,ydataai/pandas-profiling,,,,,,,,,,,
8,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,37,True,panel,holoviz/panel,conda-forge/panel,@holoviz/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-08-18 13:20:58.000000,2022-08-16 17:48:10,2192.0,92.0,274.0,41.0,1846.0,570.0,1342.0,2060.0,4035.0,3923.0,101.0,https://pypi.org/project/panel,2022-07-05 13:31:06.000,2022-05-24 10:28:39.753,0.13.1,203.0,112.0,431889.0,553498.0,https://anaconda.org/conda-forge/panel,2022-05-24 21:55:47.367,577432.0,https://www.npmjs.com/package/@holoviz/panel,2022-07-05 13:35:02.394,,109057.0,1.0,,,,,,,,,,,,,,,,,,
9,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,37,True,ipykernel,ipython/ipykernel,ipykernel,,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2022-08-15 23:31:48.000000,2022-08-15 23:31:45,2723.0,60.0,314.0,31.0,560.0,229.0,202.0,499.0,9629.0,,155.0,https://pypi.org/project/ipykernel,2022-06-15 16:50:11.000,2022-07-08 10:58:07.000,6.15.1,90.0,9599.0,10407005.0,10411543.0,https://anaconda.org/anaconda/ipykernel,2022-05-02 20:19:38.840,364850.0,,,,,1.0,512.0,,,,,,,30.0,,,,,,,,,,
10,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,36,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-08-09 16:17:44.000000,2022-06-19 17:26:07,1887.0,14.0,178.0,22.0,242.0,101.0,216.0,324.0,113423.0,107103.0,116.0,https://pypi.org/project/qtconsole,2022-06-05 17:30:57.000,2022-03-28 17:07:14.000,5.3.0,40.0,6320.0,3089673.0,3127153.0,https://anaconda.org/conda-forge/qtconsole,2022-06-05 21:52:17.510,2811025.0,,,,,1.0,,,,,,,,,,,,,,,,,,
