,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,conda_dependent_project_count,trending,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,cran_id,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,45,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-09-28 16:51:33.000000,2022-09-09 12:17:42,26073.0,80.0,4380.0,775.0,6726.0,1528.0,5516.0,15530.0,2022-09-06 09:05:48.169,8.5.0,319366.0,17034869.0,152.0,343372.0,308372.0,907.0,https://pypi.org/project/ipython,2022-09-06 09:05:48.169,35000.0,16846803.0,https://anaconda.org/conda-forge/ipython,2022-09-06 16:42:49.564,14255565.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2022-09-29 13:48:29.000000,2022-09-26 13:24:46,13046.0,61.0,3901.0,321.0,2064.0,2041.0,2472.0,10369.0,2022-08-24 20:39:04.980,5.7.15,9158.0,10333861.0,101.0,8704.0,10.0,614.0,https://pypi.org/project/notebook,2022-06-14 16:08:46.000,8694.0,9988577.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,2394345.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-09-29 09:28:09.790916,946.0,27584873.0,,,,,,,,,,,,,,,,,
3,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,42,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-09-29 14:12:04.000000,2022-09-29 14:09:49,19750.0,170.0,3979.0,451.0,5324.0,688.0,6329.0,16727.0,2022-05-18 19:00:14.000,2.4.3,,3587581.0,136.0,3713.0,155.0,617.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,3440957.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8628993.0,1.0,,,,,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-09-17 18:30:27.804,5.0,13871.0,,,,,,,,,,,,
4,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/pandas-profiling,,widgets,39,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-09-29 11:59:26.000000,2022-09-25 21:26:18,1112.0,101.0,1371.0,155.0,463.0,121.0,476.0,9658.0,2022-09-07 14:35:41.482,3.3.0,,1175636.0,33.0,9304.0,9140.0,95.0,https://pypi.org/project/pandas-profiling,2021-09-27 23:12:22.000,164.0,1171709.0,https://anaconda.org/conda-forge/pandas-profiling,2022-09-13 12:49:40.455,286671.0,1.0,,,,,,,,,,,ydataai/pandas-profiling,,,,,,,,,,,
5,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-09-29 11:17:53.000000,2022-09-27 09:40:04,7635.0,172.0,862.0,71.0,1776.0,616.0,1248.0,2597.0,2022-09-02 18:36:45.441,5.0.3,,7726503.0,142.0,13762.0,4960.0,198.0,https://pypi.org/project/ipywidgets,2022-07-06 21:32:24.000,8720.0,7565003.0,https://anaconda.org/conda-forge/ipywidgets,2022-09-06 16:41:24.351,6244032.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-09-02 18:36:45.441,82.0,80409.0,,,,,,,,,,,,
6,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2022-09-26 23:31:55.000000,2022-09-23 11:32:50,5900.0,133.0,1764.0,269.0,1841.0,149.0,2028.0,7118.0,2022-09-09 06:35:44.241,3.0.0,,168111.0,66.0,2270.0,1900.0,283.0,https://pypi.org/project/jupyterhub,2022-06-06 14:27:26.000,370.0,131610.0,https://anaconda.org/conda-forge/jupyterhub,2022-09-12 12:49:07.730,692665.0,1.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-09-23 09:08:15.248253,313.0,2711339.0,,,,,,,,,,,,,,,,,
7,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,38,False,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2022-09-26 23:57:57.000000,2022-09-12 13:17:29,3890.0,54.0,499.0,49.0,839.0,456.0,593.0,1385.0,2022-09-26 14:40:14.627,6.5.4,,11269779.0,61.0,174786.0,166462.0,251.0,https://pypi.org/project/nbconvert,2022-08-11 11:55:23.519,8324.0,11160321.0,https://anaconda.org/conda-forge/nbconvert,2022-08-23 07:15:28.466,8428297.0,1.0,,,,,,,,,,,,,,,,,,,,,,
8,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,37,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-09-29 14:07:00.000000,2022-09-29 13:43:18,2322.0,175.0,296.0,44.0,1928.0,586.0,1386.0,2191.0,2022-05-24 10:28:39.753,0.13.1,,640459.0,232.0,4279.0,4167.0,102.0,https://pypi.org/project/panel,2022-07-05 13:31:06.000,112.0,504309.0,https://anaconda.org/conda-forge/panel,2022-05-24 21:55:47.367,636595.0,1.0,,,,,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2022-09-27 18:59:48.722,,122606.0,,,,,,,,,,,,
9,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,36,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2022-09-27 01:26:23.000000,2022-09-27 01:26:21,2741.0,29.0,324.0,32.0,576.0,236.0,207.0,512.0,2022-09-26 17:53:39.000,6.16.0,586.0,11083844.0,93.0,9633.0,,156.0,https://pypi.org/project/ipykernel,2022-06-15 16:50:11.000,9599.0,11078679.0,https://anaconda.org/anaconda/ipykernel,2022-09-06 16:04:23.662,420595.0,1.0,,,,,,,,,,,,34.0,,,,,,,,,,
