,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,trending,conda_dependent_project_count,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-11-02 03:34:38.000000,2022-10-30 09:32:00,26153.0,150.0,4392.0,774.0,6748.0,1530.0,5530.0,15568.0,2022-10-30 14:28:25.306,8.6.0,319552.0,18074672.0,153.0,353217.0,318217.0,920.0,https://pypi.org/project/ipython,2022-09-06 09:05:48.169,35000.0,17881294.0,https://anaconda.org/conda-forge/ipython,2022-10-30 14:54:55.127,15049545.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,44,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2022-11-02 01:22:02.000000,2022-10-25 07:55:28,13219.0,198.0,3951.0,319.0,2096.0,2041.0,2492.0,10472.0,2022-10-30 06:48:28.000,6.5.2,9431.0,11251783.0,107.0,8705.0,11.0,618.0,https://pypi.org/project/notebook,2022-06-14 16:08:46.000,8694.0,10909425.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,2522130.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-11-01 13:14:58.403039,952.0,27863926.0,,,,,,,,,,,,,,,,,
3,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-11-03 11:44:08.000000,2022-11-03 11:44:04,19839.0,206.0,4002.0,449.0,5388.0,683.0,6371.0,16853.0,2022-10-31 14:22:37.961,3.0.0,,3297777.0,145.0,3723.0,165.0,622.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,3150079.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,9077070.0,1.0,,,,,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-10-31 14:21:04.693,5.0,12220.0,,,,,,,,,,,,
4,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/pandas-profiling,,widgets,39,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-11-02 11:25:06.000000,2022-10-20 19:10:48,1141.0,116.0,1389.0,151.0,506.0,124.0,487.0,9780.0,2022-10-20 17:20:10.567,3.4.0,,1026346.0,34.0,9616.0,9452.0,101.0,https://pypi.org/project/pandas-profiling,2021-09-27 23:12:22.000,164.0,1022322.0,https://anaconda.org/conda-forge/pandas-profiling,2022-10-21 13:45:24.192,301852.0,1.0,,,,,,,,,,,ydataai/pandas-profiling,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2022-11-02 14:22:59.000000,2022-11-01 08:05:17,6203.0,350.0,1840.0,268.0,1964.0,172.0,2040.0,7294.0,2022-09-09 06:35:44.241,3.0.0,,184944.0,66.0,2326.0,1956.0,313.0,https://pypi.org/project/jupyterhub,2022-06-06 14:27:26.000,370.0,147861.0,https://anaconda.org/conda-forge/jupyterhub,2022-10-28 12:26:53.110,769018.0,1.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-11-01 08:25:03.003568,316.0,2749663.0,,,,,,,,,,,,,,,,,
6,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-11-01 16:59:18.000000,2022-11-01 16:59:11,7650.0,101.0,867.0,71.0,1786.0,638.0,1255.0,2622.0,2022-09-02 18:36:45.441,5.0.3,,8128633.0,142.0,13978.0,5175.0,198.0,https://pypi.org/project/ipywidgets,2022-07-06 21:32:24.000,8720.0,7971156.0,https://anaconda.org/conda-forge/ipywidgets,2022-09-06 16:41:24.351,6761888.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-09-02 18:36:45.441,83.0,71884.0,,,,,,,,,,,,
7,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-11-03 09:18:18.725000,2022-10-29 10:04:01,2417.0,247.0,302.0,45.0,2002.0,631.0,1440.0,2359.0,2022-11-01 09:58:10.000,0.14.1,,563085.0,243.0,4490.0,4378.0,106.0,https://pypi.org/project/panel,2022-07-05 13:31:06.000,112.0,446491.0,https://anaconda.org/conda-forge/panel,2022-11-03 09:18:18.725,693827.0,1.0,,,,,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2022-10-29 10:17:18.939,,102435.0,,,,,,,,,,,,
8,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,38,False,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2022-11-03 00:57:19.000000,2022-11-03 00:57:19,3909.0,50.0,506.0,49.0,853.0,465.0,597.0,1400.0,2022-10-27 19:43:52.000,7.2.3,48.0,14979962.0,65.0,179769.0,171445.0,252.0,https://pypi.org/project/nbconvert,2022-08-11 11:55:23.519,8324.0,14865726.0,https://anaconda.org/conda-forge/nbconvert,2022-10-28 01:12:27.435,9024621.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-11-02 15:52:35.711000,2022-11-02 01:13:43,1909.0,18.0,185.0,22.0,246.0,101.0,217.0,337.0,2022-08-28 01:45:40.594,5.3.2,,3399270.0,42.0,119921.0,113599.0,118.0,https://pypi.org/project/qtconsole,2022-06-05 17:30:57.000,6322.0,3359071.0,https://anaconda.org/conda-forge/qtconsole,2022-11-02 15:52:35.711,3135533.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
