,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,updated_github_id,conda_dependent_project_count,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-12-07 17:23:59.000000,2022-11-28 13:51:08,26177.0,89.0,4400.0,775.0,6767.0,1544.0,5546.0,15602.0,2022-11-28 13:58:15.275,8.7.0,319644.0,18552953.0,154.0,365200.0,330203.0,924.0,https://pypi.org/project/ipython,2022-09-06 09:05:48.169,34997.0,18352756.0,https://anaconda.org/conda-forge/ipython,2022-12-01 15:03:49.150,15787598.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,44,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2022-12-07 07:10:25.000000,2022-12-06 08:00:53,13279.0,240.0,3976.0,319.0,2118.0,2035.0,2511.0,10570.0,2022-10-30 06:49:13.880,6.5.2,9807.0,10957890.0,109.0,8705.0,12.0,622.0,https://pypi.org/project/notebook,2022-06-14 16:08:46.000,8693.0,10614832.0,https://anaconda.org/conda-forge/jupyter,2022-12-05 14:25:36.477,2650451.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-12-05 18:44:27.832194,964.0,28114479.0,,,,,,,,,,,,,,,,,
3,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,42,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-12-07 08:04:28.000000,2022-12-07 00:25:24,19887.0,185.0,4007.0,452.0,5444.0,695.0,6409.0,16968.0,2022-11-14 19:55:38.548,3.0.2,,3821571.0,150.0,3732.0,175.0,623.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3552.0,3670979.0,https://anaconda.org/conda-forge/bokeh,2022-11-15 00:21:46.763,9449349.0,1.0,,,,,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-12-07 04:49:27.997,5.0,11631.0,-1.0,,,,,,,,,,,
4,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/pandas-profiling,,widgets,39,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-12-08 13:37:00.000000,2022-12-07 14:39:43,1165.0,93.0,1405.0,151.0,560.0,128.0,496.0,9895.0,2022-11-22 16:08:00.781,3.5.0,,1043976.0,35.0,10098.0,9934.0,104.0,https://pypi.org/project/pandas-profiling,2021-09-27 23:12:22.000,164.0,1039826.0,https://anaconda.org/conda-forge/pandas-profiling,2022-11-23 13:57:11.205,315457.0,1.0,,,,,,,,,,,,ydataai/pandas-profiling,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2022-12-08 13:53:12.000000,2022-12-08 08:21:57,6354.0,461.0,1858.0,270.0,2002.0,165.0,2050.0,7324.0,2022-12-05 13:51:00.821,3.1.0,,205013.0,68.0,2373.0,2003.0,319.0,https://pypi.org/project/jupyterhub,2022-06-06 14:27:26.000,370.0,167535.0,https://anaconda.org/conda-forge/jupyterhub,2022-12-05 14:39:56.585,801504.0,1.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-12-07 14:58:34.656927,318.0,2788052.0,,,,,,,,,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,39,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2022-12-08 12:30:25.000000,2022-12-08 12:30:22,2789.0,60.0,327.0,33.0,616.0,237.0,214.0,528.0,2022-12-08 12:30:45.000,6.19.1,812.0,12034447.0,103.0,218272.0,208639.0,160.0,https://pypi.org/project/ipykernel,2022-06-15 16:50:11.000,9598.0,12028087.0,https://anaconda.org/anaconda/ipykernel,2022-09-06 16:04:23.662,537096.0,1.0,,,,,,,,,,,2.0,,35.0,,,,,,,,,
7,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-12-07 16:20:59.990000,2022-12-07 13:03:16,7672.0,36.0,869.0,72.0,1794.0,644.0,1261.0,2651.0,2022-12-07 12:16:20.308,5.0.4,,7990474.0,143.0,14250.0,5447.0,198.0,https://pypi.org/project/ipywidgets,2022-07-06 21:32:24.000,8718.0,7833377.0,https://anaconda.org/conda-forge/ipywidgets,2022-12-07 16:20:59.990,7160451.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-12-07 12:16:20.308,85.0,67592.0,,,,,,,,,,,,
8,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-12-07 16:09:34.000000,2022-12-06 17:10:28,2460.0,220.0,312.0,47.0,2050.0,661.0,1469.0,2421.0,2022-11-01 09:58:10.000,0.14.1,,500512.0,246.0,4809.0,4697.0,108.0,https://pypi.org/project/panel,2022-07-05 13:31:06.000,112.0,392141.0,https://anaconda.org/conda-forge/panel,2022-11-03 09:18:18.725,749873.0,1.0,,,,,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2022-11-29 18:46:07.344,,93374.0,,,,,,,,,,,,
9,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,37,False,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2022-12-07 23:14:58.000000,2022-12-06 12:26:54,3922.0,34.0,509.0,50.0,866.0,473.0,598.0,1418.0,2022-12-05 11:26:56.961,7.2.6,121.0,18002742.0,68.0,186074.0,177750.0,254.0,https://pypi.org/project/nbconvert,2022-08-11 11:55:23.519,8324.0,17884029.0,https://anaconda.org/conda-forge/nbconvert,2022-12-05 15:24:23.831,9496899.0,1.0,,,,,,,,,,,,,,,,,,,,,,
