,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-03-15 03:56:49.000000,2023-03-14 10:05:05,26461.0,206.0,4418.0,767.0,6831.0,1581.0,5572.0,15735.0,2023-02-28 12:18:18.756,8.11.0,319901.0,21738042.0,158.0,411380.0,375585.0,940.0,https://pypi.org/project/ipython,2023-02-28 12:18:18.756,35795.0,21521183.0,https://anaconda.org/conda-forge/ipython,2023-02-28 21:01:39.229,17768516.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-03-16 10:57:57.000000,2023-03-16 01:29:08,20031.0,139.0,4074.0,447.0,5605.0,698.0,6542.0,17363.0,2023-03-10 15:54:05.466,3.1.0,,3641825.0,160.0,3882.0,202.0,641.0,https://pypi.org/project/bokeh,2022-12-20 09:06:57.840,3673.0,3479755.0,https://anaconda.org/conda-forge/bokeh,2023-03-14 12:50:41.968,10398141.0,1.0,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2023-03-10 15:53:07.531,7.0,15618.0,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-03-16 07:58:59.000000,2023-03-16 07:58:58,13334.0,54.0,4025.0,323.0,2182.0,2035.0,2556.0,10837.0,2023-03-06 07:21:22.622,6.5.3,11226.0,12249608.0,117.0,8888.0,19.0,624.0,https://pypi.org/project/notebook,2023-03-06 07:21:22.622,8869.0,11902205.0,https://anaconda.org/conda-forge/jupyter,2022-12-05 14:25:36.477,3028242.0,1.0,,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-03-13 04:39:48.827682,982.0,29101595.0,,,,,,,,,,,
4,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-03-15 11:18:53.864727,2023-03-15 10:58:54,6716.0,233.0,1888.0,271.0,2085.0,181.0,2087.0,7428.0,2023-01-27 11:55:53.156,3.1.1,,265857.0,71.0,2579.0,2197.0,329.0,https://pypi.org/project/jupyterhub,2023-01-27 11:55:53.156,382.0,221849.0,https://anaconda.org/conda-forge/jupyterhub,2023-01-27 19:38:01.989,867652.0,1.0,,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-03-15 11:18:53.864727,324.0,3509897.0,,,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-03-16 12:00:01.000000,2023-03-16 12:00:01,3945.0,23.0,513.0,51.0,887.0,492.0,601.0,1457.0,2023-03-14 13:49:06.351,7.2.10,312.0,18335341.0,73.0,203680.0,195211.0,256.0,https://pypi.org/project/nbconvert,2023-01-24 15:54:06.595,8469.0,18204339.0,https://anaconda.org/conda-forge/nbconvert,2023-01-24 20:04:10.828,10872727.0,1.0,,,,,,,,,,,,,,,,,,,,,,
6,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-03-14 10:24:08.000000,2023-02-03 16:41:22,7711.0,28.0,896.0,74.0,1822.0,673.0,1278.0,2739.0,2023-02-09 15:26:52.301,7.7.3,,9196276.0,145.0,15431.0,6273.0,201.0,https://pypi.org/project/ipywidgets,2023-02-09 15:26:52.301,9066.0,9030412.0,https://anaconda.org/conda-forge/ipywidgets,2023-02-10 14:31:42.099,8274278.0,1.0,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2023-02-09 15:17:27.305,92.0,66174.0,,,,,,,,,,,,,,,,
7,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-03-16 13:54:46.000000,2023-03-16 10:44:26,2672.0,191.0,323.0,48.0,2223.0,677.0,1633.0,2630.0,2023-03-04 22:12:04.000,0.14.4,,586489.0,266.0,6168.0,6025.0,116.0,https://pypi.org/project/panel,2023-01-31 16:11:18.711,141.0,474166.0,https://anaconda.org/conda-forge/panel,2023-03-04 01:00:48.930,886721.0,1.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2023-03-15 19:11:46.450,2.0,95593.0,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-03-16 14:07:27.803000,2023-03-07 17:10:00,2826.0,33.0,337.0,35.0,650.0,252.0,223.0,540.0,2023-03-06 14:15:18.391,6.21.3,1249.0,15082351.0,114.0,245209.0,235232.0,166.0,https://pypi.org/project/ipykernel,2023-03-06 14:15:18.391,9941.0,15075190.0,https://anaconda.org/anaconda/ipykernel,2023-03-16 14:07:27.803,625326.0,1.0,,,,,,,,,,,,36.0,,,,,,,,,,
9,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-03-16 10:35:51.000000,2023-03-08 13:29:58,1267.0,100.0,1451.0,150.0,624.0,131.0,511.0,10351.0,2023-03-08 13:30:46.000,4.1.0,,1143668.0,41.0,317.0,133.0,108.0,https://pypi.org/project/pandas-profiling,2023-01-31 11:20:01.127,184.0,1139300.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,345115.0,1.0,,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,
