,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,conda_dependent_project_count,updated_github_id,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-03-30 14:21:35.600000,2023-03-30 11:12:20,26498.0,225.0,4418.0,766.0,6841.0,1586.0,5577.0,15752.0,2023-03-30 12:06:25.403,8.12.0,319944.0,22231196.0,159.0,415880.0,380017.0,942.0,https://pypi.org/project/ipython,2023-02-28 12:18:18.756,35863.0,22009791.0,https://anaconda.org/conda-forge/ipython,2023-03-30 14:21:35.600,18145775.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-03-30 10:16:23.000000,2023-03-29 16:23:21,20066.0,166.0,4080.0,447.0,5651.0,700.0,6558.0,17418.0,2023-03-10 15:54:05.466,3.1.0,,3670717.0,160.0,3890.0,204.0,649.0,https://pypi.org/project/bokeh,2022-12-20 09:06:57.840,3679.0,3505729.0,https://anaconda.org/conda-forge/bokeh,2023-03-14 12:50:41.968,10583461.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2023-03-10 15:53:07.531,7.0,15926.0,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-03-30 06:11:54.000000,2023-03-30 06:11:53,13342.0,60.0,4043.0,323.0,2189.0,2051.0,2563.0,10905.0,2023-03-06 07:21:22.622,6.5.3,11414.0,12079574.0,119.0,8890.0,19.0,626.0,https://pypi.org/project/notebook,2023-03-06 07:21:22.622,8871.0,11730737.0,https://anaconda.org/conda-forge/jupyter,2022-12-05 14:25:36.477,3086348.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-03-27 04:43:04.236346,991.0,29162980.0,,,,,,,,,,,,
4,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-03-30 10:31:49.000000,2023-03-30 07:38:55,6738.0,249.0,1888.0,270.0,2089.0,181.0,2087.0,7441.0,2023-01-27 11:55:53.156,3.1.1,,236236.0,71.0,2598.0,2216.0,330.0,https://pypi.org/project/jupyterhub,2023-01-27 11:55:53.156,382.0,189886.0,https://anaconda.org/conda-forge/jupyterhub,2023-01-27 19:38:01.989,879153.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-03-30 07:52:55.876582,324.0,3741047.0,,,,,,,,,,,,
5,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-03-28 23:13:54.549000,2023-03-28 15:25:44,7737.0,48.0,905.0,74.0,1841.0,683.0,1282.0,2756.0,2023-03-28 15:12:19.903,5.0.7,,9079772.0,149.0,15600.0,6409.0,203.0,https://pypi.org/project/ipywidgets,2023-02-09 15:26:52.301,9099.0,8906867.0,https://anaconda.org/conda-forge/ipywidgets,2023-03-28 23:13:54.549,8497399.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2023-03-28 15:12:19.903,92.0,70527.0,,,,,,1.0,,,,,,,,,,,
6,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-03-28 20:43:08.000000,2023-03-16 12:00:01,3945.0,15.0,513.0,51.0,889.0,492.0,602.0,1467.0,2023-03-14 13:49:06.351,7.2.10,322.0,16603714.0,73.0,205772.0,197303.0,256.0,https://pypi.org/project/nbconvert,2023-01-24 15:54:06.595,8469.0,16469754.0,https://anaconda.org/conda-forge/nbconvert,2023-03-28 20:15:14.471,11118141.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-03-29 21:36:13.000000,2023-03-27 22:16:22,2700.0,212.0,330.0,48.0,2242.0,670.0,1640.0,2655.0,2023-03-04 22:12:04.000,0.14.4,,550455.0,271.0,6320.0,6175.0,116.0,https://pypi.org/project/panel,2023-01-31 16:11:18.711,143.0,441240.0,https://anaconda.org/conda-forge/panel,2023-03-04 01:00:48.930,907158.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2023-03-27 22:45:02.229,2.0,92099.0,,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-03-25 14:28:29.000000,2023-03-20 14:41:33,2828.0,28.0,337.0,35.0,651.0,252.0,226.0,542.0,2023-03-20 14:41:55.000,6.22.0,1285.0,15094582.0,115.0,248430.0,238430.0,166.0,https://pypi.org/project/ipykernel,2023-03-06 14:15:18.391,9964.0,15087261.0,https://anaconda.org/anaconda/ipykernel,2023-03-16 14:07:27.803,639218.0,1.0,,,,,,,,,,,,36.0,,,,,,,,,,
9,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-03-29 16:54:24.000000,2023-03-28 21:51:41,1926.0,17.0,188.0,22.0,250.0,103.0,220.0,356.0,2022-11-02 01:13:03.378,5.4.0,,3559033.0,43.0,134368.0,128017.0,120.0,https://pypi.org/project/qtconsole,2022-11-02 01:13:03.378,6351.0,3513543.0,https://anaconda.org/conda-forge/qtconsole,2023-03-13 05:58:34.307,3730185.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/ydata-profiling,,widgets,36,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-03-28 08:18:35.000000,2023-03-28 07:48:22,1275.0,66.0,1458.0,148.0,629.0,141.0,511.0,10416.0,2023-03-28 08:01:52.000,4.1.2,,1136140.0,43.0,372.0,187.0,108.0,https://pypi.org/project/pandas-profiling,2023-01-31 11:20:01.127,185.0,1131706.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,350316.0,1.0,,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,
11,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,36,True,jupyter_server,jupyter-server/jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,BSD-3-Clause,2016-09-21 19:18:45.000,2023-03-30 05:00:10.000000,2023-03-27 20:51:18,12598.0,60.0,219.0,40.0,859.0,132.0,261.0,381.0,2023-03-16 15:24:01.432,2.5.0,1320.0,13994837.0,127.0,279.0,,501.0,https://pypi.org/project/jupyter_server,2023-03-06 18:06:03.654,279.0,13911510.0,https://anaconda.org/conda-forge/jupyter_server,2023-03-17 17:33:31.186,4497903.0,3.0,,,,,,,,,,,,,,,,,,,,,,
12,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,35,True,jupytext,mwouts/jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2023-03-27 00:14:46.000000,2023-03-27 00:14:44,2304.0,30.0,378.0,68.0,484.0,92.0,479.0,5890.0,2023-02-25 15:06:05.899,1.14.5,,445554.0,116.0,4967.0,4751.0,78.0,https://pypi.org/project/jupytext,2022-12-11 17:54:31.517,214.0,427122.0,https://anaconda.org/conda-forge/jupytext,2023-02-25 18:09:00.417,534666.0,1.0,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,2021-12-04 13:07:28.249,2.0,8150.0,,,,,,,,,,,,,,,,,
13,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,34,True,voila,voila-dashboards/voila,conda-forge/voila,https://github.com/voila-dashboards/voila,BSD-3-Clause,2018-08-21 14:21:42.000,2023-03-30 11:39:45.000000,2023-03-27 07:41:02,1372.0,22.0,460.0,77.0,654.0,291.0,383.0,4647.0,2022-10-26 15:14:01.592,0.4.0,559.0,176589.0,87.0,9573.0,9497.0,64.0,https://pypi.org/project/voila,2022-10-28 10:17:00.860,74.0,170864.0,https://anaconda.org/conda-forge/voila,2022-10-27 07:53:02.986,254196.0,1.0,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555,2.0,898.0,,,,,,,,,,,,,,,,,
