,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,pypi_latest_release_published_at,pypi_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,45,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-05-04 12:44:02.000000,2023-05-04 12:43:46,26550.0,184.0,4249.0,765.0,6881.0,1529.0,5590.0,15805.0,2021-01-30 02:36:56.000,7.18.1,320033.0,21197685.0,83.0,393440.0,393440.0,946.0,https://pypi.org/project/ipython,20968770.0,https://anaconda.org/conda-forge/ipython,2023-04-29 16:05:23.786,19225379.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-05-04 08:56:34.000000,2023-04-27 18:13:38,20093.0,157.0,4100.0,448.0,5689.0,709.0,6578.0,17546.0,2023-03-10 15:54:05.466,3.1.0,,3594336.0,161.0,3918.0,215.0,652.0,https://pypi.org/project/bokeh,3433191.0,https://anaconda.org/conda-forge/bokeh,2023-03-14 12:50:41.968,11009131.0,1.0,@bokeh/bokehjs,2022-12-20 09:06:57.840,3696.0,https://www.npmjs.com/package/@bokeh/bokehjs,2023-04-17 12:57:05.492,7.0,10335.0,4.0,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-05-04 12:47:30.000000,2023-05-04 12:47:30,13358.0,59.0,4078.0,324.0,2213.0,2072.0,2577.0,11055.0,2023-04-06 15:10:11.599,6.5.4,12125.0,11932104.0,122.0,8927.0,22.0,630.0,https://pypi.org/project/notebook,11587115.0,https://anaconda.org/conda-forge/jupyter,2022-12-05 14:25:36.477,3227605.0,1.0,,2023-03-06 07:21:22.622,8905.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-05-01 04:35:03.120684,1010.0,29329404.0,,,,,,,,,,,
4,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-05-04 06:37:24.000000,2023-05-04 06:37:24,6811.0,212.0,1891.0,268.0,2110.0,181.0,2099.0,7492.0,2023-04-20 10:25:40.171,4.0.0,,197064.0,72.0,2637.0,2254.0,332.0,https://pypi.org/project/jupyterhub,147567.0,https://anaconda.org/conda-forge/jupyterhub,2023-04-20 11:02:43.600,912853.0,1.0,,2023-01-27 11:55:53.156,383.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-05-02 07:33:50.883216,323.0,4133492.0,,,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-05-02 05:05:11.000000,2023-04-25 17:17:43,3955.0,17.0,519.0,50.0,900.0,497.0,607.0,1489.0,2023-04-10 14:00:05.709,7.3.1,369.0,15967796.0,75.0,211900.0,203402.0,259.0,https://pypi.org/project/nbconvert,15829294.0,https://anaconda.org/conda-forge/nbconvert,2023-04-10 14:35:54.580,11772121.0,1.0,,2023-01-24 15:54:06.595,8498.0,,,,,,,,,,,,,,,,,,,,,
6,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-05-04 12:46:21.000000,2023-03-28 15:25:44,7737.0,26.0,877.0,75.0,1844.0,632.0,1288.0,2777.0,2023-03-22 11:45:50.000,8.0.5,,8625709.0,48.0,6840.0,6840.0,203.0,https://pypi.org/project/ipywidgets,8468241.0,https://anaconda.org/conda-forge/ipywidgets,2023-03-28 23:13:54.549,9094074.0,1.0,@jupyter-widgets/jupyterlab-manager,,,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,,,50479.0,,,,,,,,,,,,,,,,,
7,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-05-04 13:36:36.000000,2023-05-04 13:36:34,2825.0,264.0,320.0,48.0,2354.0,626.0,1765.0,2737.0,2023-03-04 22:12:04.000,0.14.4,,457328.0,45.0,6608.0,6608.0,118.0,https://pypi.org/project/panel,354920.0,https://anaconda.org/conda-forge/panel,2023-03-04 01:00:48.930,960894.0,1.0,@holoviz/panel,,,https://www.npmjs.com/package/@holoviz/panel,,,84938.0,,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-05-03 10:30:11.000000,2023-04-14 20:04:39,2831.0,14.0,337.0,35.0,657.0,252.0,226.0,549.0,2023-03-20 14:43:05.161,6.22.0,1333.0,14086151.0,115.0,258026.0,247954.0,166.0,https://pypi.org/project/ipykernel,14078627.0,https://anaconda.org/anaconda/ipykernel,2023-03-16 14:07:27.803,672279.0,1.0,,2023-03-06 14:15:18.391,10036.0,,,,,,,,,,,36.0,,,,,,,,,,
9,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/ydata-profiling,,widgets,36,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-05-04 07:44:51.000000,2023-03-28 07:48:22,1275.0,23.0,1447.0,150.0,639.0,149.0,512.0,10548.0,2023-03-28 08:01:52.000,4.1.2,,970313.0,43.0,371.0,371.0,108.0,https://pypi.org/project/pandas-profiling,965855.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,361101.0,1.0,,,,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,
