,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,pypi_latest_release_published_at,pypi_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,45,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-05-23 22:04:06.000000,2023-05-22 22:20:33,26563.0,121.0,4248.0,765.0,6890.0,1537.0,5594.0,15828.0,2021-01-30 02:36:56.000,7.18.1,320109.0,22951924.0,85.0,408171.0,408171.0,947.0,https://pypi.org/project/ipython,22716120.0,https://anaconda.org/conda-forge/ipython,2023-05-05 12:30:38.748,20045955.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,44,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-06-01 12:22:36.000000,2023-05-31 12:03:41,20121.0,117.0,4105.0,448.0,5715.0,734.0,6596.0,17619.0,2023-05-05 21:55:55.730,3.1.1,,3538896.0,165.0,73491.0,69767.0,659.0,https://pypi.org/project/bokeh,3372763.0,https://anaconda.org/conda-forge/bokeh,2023-05-10 15:00:00.656,11337055.0,1.0,@bokeh/bokehjs,2022-12-20 09:06:57.840,3717.0,https://www.npmjs.com/package/@bokeh/bokehjs,2023-05-31 06:46:58.623,7.0,12930.0,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-06-01 13:36:02.360883,2023-06-01 07:11:19,13378.0,56.0,4108.0,322.0,2232.0,2056.0,2606.0,11164.0,2023-04-06 15:10:11.599,6.5.4,12668.0,12178321.0,124.0,8949.0,23.0,634.0,https://pypi.org/project/notebook,11831966.0,https://anaconda.org/conda-forge/jupyter,2022-12-05 14:25:36.477,3326476.0,1.0,,2023-03-06 07:21:22.622,8926.0,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-06-01 13:36:02.360883,1022.0,29693362.0,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-06-01 10:21:57.000000,2023-05-08 11:11:21,3961.0,20.0,521.0,49.0,902.0,495.0,619.0,1502.0,2023-05-08 11:12:10.175,7.4.0,411.0,15653662.0,76.0,218384.0,209867.0,259.0,https://pypi.org/project/nbconvert,15511295.0,https://anaconda.org/conda-forge/nbconvert,2023-05-09 12:50:12.246,12242916.0,1.0,,2023-01-24 15:54:06.595,8517.0,,,,,,,,,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-06-01 10:55:08.000000,2023-05-25 11:37:01,6841.0,145.0,1891.0,268.0,2122.0,181.0,2107.0,7533.0,2023-04-20 10:25:40.171,4.0.0,,207279.0,72.0,2690.0,2306.0,334.0,https://pypi.org/project/jupyterhub,155315.0,https://anaconda.org/conda-forge/jupyterhub,2023-04-20 11:02:43.600,930066.0,1.0,,2023-01-27 11:55:53.156,384.0,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-05-22 11:23:00.549509,325.0,4430582.0,,,,,,,,,,,
6,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-05-31 16:41:05.021000,2023-05-31 13:46:19,2976.0,345.0,334.0,52.0,2485.0,659.0,1848.0,2809.0,2023-05-31 14:25:23.904,1.0.4,,458798.0,300.0,7177.0,7019.0,123.0,https://pypi.org/project/panel,360662.0,https://anaconda.org/conda-forge/panel,2023-05-31 16:41:05.021,998636.0,1.0,@holoviz/panel,2023-01-31 16:11:18.711,156.0,https://www.npmjs.com/package/@holoviz/panel,2023-05-31 14:25:23.904,2.0,80304.0,,,,,,,,,,,,,,,,
7,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-05-28 06:56:54.000000,2023-05-28 06:51:48,7741.0,30.0,885.0,76.0,1850.0,634.0,1296.0,2803.0,2023-03-22 11:45:50.000,8.0.5,,8214812.0,48.0,7301.0,7301.0,205.0,https://pypi.org/project/ipywidgets,8057805.0,https://anaconda.org/conda-forge/ipywidgets,2023-03-28 23:13:54.549,9534113.0,1.0,@jupyter-widgets/jupyterlab-manager,,,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,,,46146.0,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-05-15 13:41:28.000000,2023-05-15 13:41:25,2837.0,14.0,327.0,35.0,660.0,229.0,227.0,554.0,2023-05-15 13:41:46.000,6.23.1,1412.0,14740496.0,61.0,257909.0,257909.0,167.0,https://pypi.org/project/ipykernel,14732774.0,https://anaconda.org/anaconda/ipykernel,2023-03-16 14:07:27.803,697652.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-05-26 17:30:02.000000,2023-05-26 17:30:00,1297.0,45.0,1452.0,150.0,655.0,154.0,520.0,10664.0,2023-05-24 08:03:57.000,4.2.0,,972792.0,44.0,546.0,546.0,110.0,https://pypi.org/project/pandas-profiling,968283.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,369738.0,1.0,,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,
