,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,cran_id,pypi,go_id,go_url,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,45,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-06-20 13:08:39.000000,2023-06-20 11:42:27,26590.0,114.0,4250.0,762.0,6894.0,1538.0,5601.0,15851.0,2021-01-30 02:36:56.000,7.18.1,320178.0,24138569.0,86.0,416282.0,416282.0,950.0,https://pypi.org/project/ipython,23895022.0,https://anaconda.org/conda-forge/ipython,2023-06-02 17:57:56.118,20711796.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,44,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-06-22 12:05:28.000000,2023-06-19 16:35:16,20145.0,87.0,4112.0,449.0,5739.0,703.0,6617.0,17686.0,2023-06-21 19:10:54.287,3.2.0,,3458290.0,102.0,71188.0,71181.0,660.0,https://pypi.org/project/bokeh,3290023.0,https://anaconda.org/conda-forge/bokeh,2023-06-16 13:23:47.229,11613042.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2023-06-21 19:10:54.287,7.0,11334.0,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-06-22 12:00:25.000000,2023-06-22 09:11:41,13402.0,63.0,4131.0,321.0,2254.0,1992.0,2689.0,11258.0,2023-04-06 15:10:11.599,6.5.4,13099.0,12546831.0,127.0,8861.0,23.0,635.0,https://pypi.org/project/notebook,12196002.0,https://anaconda.org/conda-forge/jupyter,2023-06-16 13:17:46.215,3406874.0,1.0,,,,,,jupyter/datascience-notebook,2021-05-12 18:26:55.000,8838.0,https://hub.docker.com/r/jupyter/datascience-notebook,2023-06-19 19:32:36.988324,1027.0,30028894.0,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-06-22 13:04:12.000000,2023-06-19 18:54:56,3970.0,25.0,523.0,50.0,907.0,496.0,625.0,1514.0,2023-06-19 18:56:39.083,7.6.0,481.0,16746292.0,78.0,222263.0,213847.0,260.0,https://pypi.org/project/nbconvert,16337810.0,https://anaconda.org/conda-forge/nbconvert,2023-06-19 19:22:16.371,12662688.0,1.0,,,,,,,2017-05-24 22:15:42.000,8416.0,,,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-06-21 20:56:17.000000,2023-06-14 14:28:06,6869.0,136.0,1911.0,267.0,2133.0,190.0,2115.0,7559.0,2023-06-08 08:41:01.436,4.0.1,,215598.0,73.0,2720.0,2340.0,337.0,https://pypi.org/project/jupyterhub,160672.0,https://anaconda.org/conda-forge/jupyterhub,2023-06-09 00:00:05.747,945647.0,1.0,,,,,,jupyterhub/jupyterhub,2022-06-06 14:27:26.000,380.0,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-06-14 14:35:09.238806,326.0,4730607.0,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-06-22 08:22:44.000000,2023-06-22 08:22:43,3043.0,355.0,344.0,52.0,2547.0,713.0,1897.0,2884.0,2023-06-21 14:04:15.994,1.1.1,,553129.0,304.0,7485.0,7338.0,127.0,https://pypi.org/project/panel,454139.0,https://anaconda.org/conda-forge/panel,2023-06-19 16:51:22.640,1031845.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2023-06-21 14:04:15.994,2.0,70328.0,,2022-07-05 13:31:06.000,145.0,,,,,,,,,,,,,,
7,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-06-20 08:01:47.000000,2023-06-20 05:06:07,7750.0,25.0,922.0,75.0,1851.0,698.0,1299.0,2817.0,2023-03-28 15:17:11.056,8.0.6,,8252892.0,149.0,16683.0,7508.0,206.0,https://pypi.org/project/ipywidgets,8087375.0,https://anaconda.org/conda-forge/ipywidgets,2023-06-16 13:17:27.059,9909708.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2023-03-28 15:12:19.903,93.0,50288.0,,2017-02-27 19:03:36.000,9082.0,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-06-21 06:48:57.000000,2023-06-12 20:23:25,2841.0,13.0,337.0,35.0,664.0,252.0,228.0,556.0,2023-06-12 20:24:16.330,6.23.2,1548.0,14806926.0,118.0,274059.0,264124.0,168.0,https://pypi.org/project/ipykernel,14798992.0,https://anaconda.org/anaconda/ipykernel,2023-06-16 13:05:58.237,716497.0,1.0,,,,,,,2022-03-31 10:30:02.000,9899.0,,,,,36.0,,,,,,,,,
9,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-06-21 12:55:41.000000,2023-06-21 12:32:35,1308.0,37.0,1489.0,152.0,666.0,161.0,522.0,10750.0,2023-06-21 12:39:17.000,4.3.1,,956398.0,46.0,894.0,708.0,110.0,https://pypi.org/project/pandas-profiling,951811.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,376174.0,1.0,,,,,,,2021-09-27 23:12:22.000,186.0,,,,,,ydataai/ydata-profiling,,,,,,,,
