,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-07-05 12:50:30.000000,2023-07-05 12:50:29,26595.0,91.0,4427.0,760.0,6897.0,1619.0,5601.0,15862.0,2023-06-02 14:20:01.365,8.14.0,320219.0,25363962.0,165.0,456505.0,420751.0,951.0,https://pypi.org/project/ipython,2016-01-13 14:22:57.000,35754.0,25118521.0,https://anaconda.org/conda-forge/ipython,2023-06-02 17:57:56.118,21119359.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,44,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-07-06 14:19:07.000000,2023-07-06 09:30:36,20160.0,84.0,4109.0,448.0,5743.0,744.0,6620.0,17726.0,2023-06-21 19:11:28.440,3.2.0,,3587821.0,171.0,75517.0,71834.0,660.0,https://pypi.org/project/bokeh,2022-12-20 09:06:57.840,3676.0,3260563.0,https://anaconda.org/conda-forge/bokeh,2023-06-26 09:51:49.689,11779819.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2023-06-22 16:53:46.590,7.0,8885.0,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-07-06 12:45:34.696887,2023-06-26 08:55:50,13406.0,56.0,4143.0,321.0,2257.0,1992.0,2700.0,11299.0,2023-04-06 15:10:11.599,6.5.4,13254.0,13281022.0,128.0,8873.0,24.0,635.0,https://pypi.org/project/notebook,2021-05-12 18:26:55.000,8849.0,12931868.0,https://anaconda.org/conda-forge/jupyter,2023-06-16 13:17:46.215,3456396.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-07-06 12:45:34.696887,1027.0,30162854.0,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-07-05 13:44:52.000000,2023-06-28 18:21:11,3974.0,23.0,523.0,50.0,910.0,496.0,626.0,1518.0,2023-06-19 18:56:39.083,7.6.0,502.0,16738556.0,78.0,224346.0,215900.0,261.0,https://pypi.org/project/nbconvert,2017-05-24 22:15:42.000,8446.0,16334632.0,https://anaconda.org/conda-forge/nbconvert,2023-06-19 19:22:16.371,12925266.0,1.0,,,,,,,,,,,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-07-05 15:22:18.000000,2023-07-04 07:41:10,6903.0,154.0,1911.0,268.0,2146.0,190.0,2119.0,7580.0,2023-06-08 08:41:01.436,4.0.1,,219319.0,73.0,2738.0,2358.0,339.0,https://pypi.org/project/jupyterhub,2022-06-06 14:27:26.000,380.0,164667.0,https://anaconda.org/conda-forge/jupyterhub,2023-06-09 00:00:05.747,955115.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-07-04 07:49:14.609309,327.0,4746718.0,,,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-07-06 13:04:35.000000,2023-07-06 11:23:34,3075.0,358.0,348.0,53.0,2577.0,728.0,1923.0,2940.0,2023-07-06 11:28:47.000,1.2.0,,542642.0,306.0,7665.0,7510.0,128.0,https://pypi.org/project/panel,2022-07-05 13:31:06.000,153.0,448941.0,https://anaconda.org/conda-forge/panel,2023-06-23 11:32:58.281,1052583.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2023-07-05 14:09:04.304,2.0,65253.0,,,,,,,,,,,,,,,,,
7,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-07-04 16:57:10.113000,2023-07-04 15:39:22,7760.0,22.0,925.0,75.0,1855.0,700.0,1303.0,2829.0,2023-07-04 15:19:25.000,8.0.7,,8801942.0,150.0,16877.0,7655.0,207.0,https://pypi.org/project/ipywidgets,2017-02-27 19:03:36.000,9127.0,8449654.0,https://anaconda.org/conda-forge/ipywidgets,2023-07-04 16:57:10.113,10141201.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2023-07-04 15:05:13.384,95.0,54018.0,,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-07-04 06:48:12.000000,2023-07-03 13:54:19,2846.0,17.0,337.0,35.0,667.0,252.0,229.0,560.0,2023-07-03 13:56:10.216,6.24.0,1581.0,15113466.0,120.0,277570.0,267578.0,171.0,https://pypi.org/project/ipykernel,2022-03-31 10:30:02.000,9956.0,15105496.0,https://anaconda.org/anaconda/ipykernel,2023-06-16 13:05:58.237,727743.0,1.0,,,,,,,,,,,36.0,,,,,,,,,,,
9,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-06-27 10:11:50.000000,2023-06-21 12:32:35,1308.0,33.0,1489.0,152.0,666.0,167.0,522.0,10837.0,2023-06-21 12:39:17.000,4.3.1,,951860.0,46.0,1008.0,822.0,110.0,https://pypi.org/project/pandas-profiling,2021-09-27 23:12:22.000,186.0,947280.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,380210.0,1.0,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,
