,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-07-13 11:34:57.000000,2023-07-13 11:34:56,26605.0,94.0,4427.0,760.0,6898.0,1619.0,5604.0,15864.0,2023-06-02 14:20:01.365,8.14.0,320236.0,25686901.0,165.0,458805.0,423002.0,953.0,https://pypi.org/project/ipython,2016-01-13 14:22:57.000,35803.0,25439188.0,https://anaconda.org/conda-forge/ipython,2023-06-02 17:57:56.118,21316955.0,1.0,,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-07-11 14:28:38.000000,2023-07-10 11:15:18,13407.0,56.0,4153.0,321.0,2261.0,1999.0,2701.0,11325.0,2023-04-06 15:10:11.599,6.5.4,13400.0,13609774.0,128.0,8875.0,26.0,635.0,https://pypi.org/project/notebook,2021-05-12 18:26:55.000,8849.0,13259640.0,https://anaconda.org/conda-forge/jupyter,2023-06-16 13:17:46.215,3481524.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-07-11 11:58:16.651216,1030.0,30227866.0,,,,,,,,,,,,,,,,
3,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,42,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-07-12 12:54:49.000000,2023-07-06 17:23:47,20161.0,81.0,4016.0,446.0,5746.0,715.0,6622.0,17743.0,,,,3606746.0,51.0,72114.0,72114.0,661.0,https://pypi.org/project/bokeh,,,3277836.0,https://anaconda.org/conda-forge/bokeh,2023-06-26 09:51:49.689,11862695.0,1.0,,,,,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,8297.0,,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-07-11 08:57:38.000000,2023-07-10 11:06:41,3975.0,22.0,523.0,50.0,912.0,496.0,627.0,1527.0,2023-06-19 18:56:39.083,7.6.0,520.0,16616723.0,78.0,225316.0,216870.0,261.0,https://pypi.org/project/nbconvert,2017-05-24 22:15:42.000,8446.0,16208821.0,https://anaconda.org/conda-forge/nbconvert,2023-06-19 19:22:16.371,13052574.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-07-13 08:49:40.000000,2023-07-11 12:14:38,6911.0,151.0,1911.0,267.0,2150.0,190.0,2120.0,7585.0,2023-06-08 08:41:01.436,4.0.1,,220042.0,73.0,2745.0,2365.0,341.0,https://pypi.org/project/jupyterhub,2022-06-06 14:27:26.000,380.0,165228.0,https://anaconda.org/conda-forge/jupyterhub,2023-06-09 00:00:05.747,959927.0,1.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-07-11 12:21:41.664842,327.0,4758186.0,,,,,,,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-07-13 11:15:15.000000,2023-07-11 08:05:12,3078.0,337.0,343.0,52.0,2585.0,710.0,1924.0,2957.0,2023-07-06 11:28:47.000,1.2.0,,540654.0,53.0,7574.0,7574.0,129.0,https://pypi.org/project/panel,,,446498.0,https://anaconda.org/conda-forge/panel,2023-07-06 14:29:39.669,1062183.0,1.0,,,,,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,65449.0,,,,,,,,,,,,,
7,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-07-10 10:47:34.000000,2023-07-04 15:39:22,7760.0,22.0,925.0,75.0,1858.0,700.0,1303.0,2838.0,2023-07-04 15:19:25.000,8.0.7,,9040796.0,150.0,16932.0,7710.0,207.0,https://pypi.org/project/ipywidgets,2017-02-27 19:03:36.000,9127.0,8683200.0,https://anaconda.org/conda-forge/ipywidgets,2023-07-04 16:57:10.113,10255899.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,55952.0,2023-07-04 15:05:13.384,95.0,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-07-13 11:24:38.000000,2023-07-08 18:14:08,2847.0,16.0,333.0,35.0,668.0,233.0,229.0,565.0,2023-07-03 13:54:40.000,6.24.0,1631.0,15375828.0,64.0,269254.0,269254.0,171.0,https://pypi.org/project/ipykernel,,,15367794.0,https://anaconda.org/anaconda/ipykernel,2023-06-16 13:05:58.237,733448.0,1.0,,,,,,,,,,,,,,,,,,,,,
9,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-07-11 13:09:21.000000,2023-07-11 13:08:12,1309.0,34.0,1489.0,152.0,668.0,169.0,522.0,10879.0,2023-06-21 12:39:17.000,4.3.1,,963948.0,46.0,1058.0,872.0,110.0,https://pypi.org/project/pandas-profiling,2021-09-27 23:12:22.000,186.0,959347.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,381905.0,1.0,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,
