,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,pypi_latest_release_published_at,pypi_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-07-26 19:01:22.000000,2023-07-26 09:30:35,26607.0,60.0,4259.0,760.0,6902.0,1548.0,5606.0,15875.0,2021-01-30 02:36:56.000,7.18.1,320256.0,26878725.0,86.0,427675.0,427675.0,954.0,https://pypi.org/project/ipython,26626438.0,https://anaconda.org/conda-forge/ipython,2023-06-02 17:57:56.118,21714881.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,44,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-07-27 13:27:08.000000,2023-07-27 11:38:16,20175.0,82.0,4111.0,446.0,5767.0,757.0,6635.0,17789.0,2023-07-20 10:11:25.000,3.2.1,,3524624.0,172.0,76570.0,72859.0,665.0,https://pypi.org/project/bokeh,3191168.0,https://anaconda.org/conda-forge/bokeh,2023-07-20 14:00:10.384,12029405.0,1.0,@bokeh/bokehjs,2023-07-20 10:11:25.000,3703.0,https://www.npmjs.com/package/@bokeh/bokehjs,2023-07-20 10:11:16.430,8.0,8337.0,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-07-27 07:06:18.000000,2023-07-27 07:05:55,13417.0,62.0,4159.0,320.0,2271.0,1993.0,2705.0,11369.0,2023-07-19 15:53:06.000,7.0.0,13555.0,14194489.0,129.0,8921.0,48.0,637.0,https://pypi.org/project/notebook,13842574.0,https://anaconda.org/conda-forge/jupyter,2023-06-16 13:17:46.215,3529427.0,1.0,,2023-07-19 15:52:56.000,8873.0,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-07-26 18:14:33.540638,1032.0,30343007.0,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-07-25 19:35:27.976000,2023-07-25 16:46:42,3987.0,32.0,529.0,51.0,915.0,498.0,629.0,1534.0,2023-07-25 16:47:05.000,7.7.3,585.0,17501918.0,82.0,227421.0,218942.0,263.0,https://pypi.org/project/nbconvert,17086217.0,https://anaconda.org/conda-forge/nbconvert,2023-07-25 19:35:27.976,13302080.0,1.0,,2023-07-25 16:46:56.000,8479.0,,,,,,,,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-07-19 08:44:44.000000,2023-07-14 16:38:14,6915.0,111.0,1929.0,267.0,2153.0,202.0,2123.0,7601.0,2023-06-08 08:41:01.436,4.0.1,,211839.0,73.0,2771.0,2391.0,341.0,https://pypi.org/project/jupyterhub,156706.0,https://anaconda.org/conda-forge/jupyterhub,2023-06-09 00:00:05.747,968662.0,1.0,,2023-06-08 08:41:01.436,380.0,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-07-14 16:49:06.594824,328.0,4781893.0,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-07-27 14:04:51.000000,2023-07-26 16:11:11,3118.0,319.0,351.0,52.0,2627.0,742.0,1934.0,2986.0,2023-07-25 16:39:56.000,1.2.1,,550086.0,54.0,7730.0,7730.0,133.0,https://pypi.org/project/panel,456088.0,https://anaconda.org/conda-forge/panel,2023-07-25 20:11:18.179,1081258.0,1.0,@holoviz/panel,,,https://www.npmjs.com/package/@holoviz/panel,,,64775.0,,,,,,,,,,,,,,,
7,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-07-27 14:01:15.000000,2023-07-04 15:39:22,7760.0,22.0,928.0,75.0,1862.0,710.0,1305.0,2846.0,2023-07-04 15:19:25.000,8.0.7,,10028056.0,150.0,17102.0,7846.0,207.0,https://pypi.org/project/ipywidgets,9663363.0,https://anaconda.org/conda-forge/ipywidgets,2023-07-04 16:57:10.113,10484683.0,1.0,@jupyter-widgets/jupyterlab-manager,2023-07-04 15:11:42.534,9161.0,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2023-07-04 15:05:13.384,95.0,56320.0,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-07-25 16:19:47.000000,2023-07-25 16:19:33,2851.0,20.0,351.0,35.0,670.0,258.0,229.0,566.0,2023-07-25 16:19:55.000,6.25.0,1664.0,16759746.0,121.0,282714.0,272655.0,171.0,https://pypi.org/project/ipykernel,16751593.0,https://anaconda.org/anaconda/ipykernel,2023-06-16 13:05:58.237,744262.0,1.0,,2023-07-25 16:19:47.000,10022.0,,,,,,,,,,37.0,,,,,,,,,
9,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-07-27 14:04:37.000000,2023-07-26 11:35:38,1316.0,41.0,1508.0,152.0,679.0,173.0,523.0,10935.0,2023-07-19 17:50:30.000,4.3.2,,934057.0,47.0,1174.0,988.0,111.0,https://pypi.org/project/pandas-profiling,929414.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,385424.0,1.0,,2023-02-03 17:59:40.571,186.0,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,
