,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,updated_github_id,npm_latest_release_published_at,npm_dependent_project_count,conda_dependent_project_count,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-07-31 08:14:23.000000,2023-07-31 08:14:22,26609.0,50.0,4263.0,761.0,6902.0,1546.0,5610.0,15881.0,2021-01-30 02:36:56.000,7.18.1,320269.0,27767362.0,86.0,430035.0,430035.0,955.0,https://pypi.org/project/ipython,27515818.0,https://anaconda.org/conda-forge/ipython,2023-06-02 17:57:56.118,21901168.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-08-03 13:20:05.934708,2023-08-03 05:53:18,13422.0,63.0,4172.0,320.0,2278.0,1981.0,2712.0,11392.0,2023-07-31 13:32:18.000,7.0.1,13645.0,15318403.0,131.0,8971.0,81.0,639.0,https://pypi.org/project/notebook,14968961.0,https://anaconda.org/conda-forge/jupyter,2023-06-16 13:17:46.215,3552419.0,1.0,jupyter/datascience-notebook,2023-07-31 13:32:08.000,8890.0,https://hub.docker.com/r/jupyter/datascience-notebook,2023-08-03 13:20:05.934708,1033.0,30430547.0,,,,,,,,,,,,,,,,,
3,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,42,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-08-03 10:49:03.000000,2023-08-01 09:03:02,20178.0,84.0,4016.0,446.0,5768.0,719.0,6638.0,17809.0,,,,3644981.0,52.0,73347.0,73347.0,665.0,https://pypi.org/project/bokeh,3317993.0,https://anaconda.org/conda-forge/bokeh,2023-07-20 14:00:10.384,12109942.0,1.0,,,,,,,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,8306.0,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-08-03 09:02:32.000000,2023-08-03 09:02:32,7791.0,53.0,890.0,75.0,1868.0,638.0,1310.0,2853.0,2023-08-01 07:41:33.000,8.1.0,,10839667.0,51.0,7923.0,7923.0,210.0,https://pypi.org/project/ipywidgets,10476943.0,https://anaconda.org/conda-forge/ipywidgets,2023-08-01 08:08:00.042,10597521.0,1.0,,,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,59938.0,,,,,,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-08-01 12:27:09.000000,2023-08-01 12:27:06,3988.0,33.0,530.0,51.0,916.0,499.0,629.0,1534.0,2023-07-25 16:47:05.000,7.7.3,588.0,18776684.0,82.0,228559.0,220065.0,263.0,https://pypi.org/project/nbconvert,18370153.0,https://anaconda.org/conda-forge/nbconvert,2023-07-25 19:35:27.976,13415167.0,1.0,,2023-07-25 16:46:56.000,8494.0,,,,,,,,,,,,,,,,,,,,,
6,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,38,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-08-03 08:24:18.000000,2023-08-01 10:01:01,1320.0,45.0,1487.0,151.0,690.0,175.0,524.0,10958.0,2023-08-01 08:57:19.000,4.4.0,,941704.0,48.0,1028.0,1028.0,111.0,https://pypi.org/project/pandas-profiling,937101.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,386694.0,1.0,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,,,,
7,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-08-03 13:32:35.000000,2023-08-01 12:44:01,6926.0,110.0,1929.0,267.0,2157.0,202.0,2124.0,7610.0,2023-06-08 08:41:01.436,4.0.1,,214201.0,73.0,2779.0,2399.0,341.0,https://pypi.org/project/jupyterhub,159468.0,https://anaconda.org/conda-forge/jupyterhub,2023-06-09 00:00:05.747,971712.0,1.0,jupyterhub/jupyterhub,2023-06-08 08:41:01.436,380.0,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-08-01 12:52:10.180599,328.0,4792050.0,,,,,,,,,,,,,,,,,
8,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-08-03 11:11:11.289000,2023-08-03 10:28:09,3125.0,291.0,360.0,52.0,2637.0,789.0,1940.0,3002.0,2023-07-25 17:26:40.721,1.2.1,,572921.0,311.0,7971.0,7802.0,133.0,https://pypi.org/project/panel,478944.0,https://anaconda.org/conda-forge/panel,2023-07-25 20:11:18.179,1089434.0,1.0,,2023-08-03 10:56:48.000,167.0,,,,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,65308.0,,2023-08-03 11:11:11.289,2.0,,,,,,,,,,,
9,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-08-01 09:48:34.000000,2023-08-01 09:48:32,2852.0,19.0,351.0,35.0,672.0,258.0,229.0,566.0,2023-07-25 16:19:55.000,6.25.0,1669.0,17837778.0,121.0,284540.0,274447.0,171.0,https://pypi.org/project/ipykernel,17829655.0,https://anaconda.org/anaconda/ipykernel,2023-06-16 13:05:58.237,749835.0,1.0,,2023-07-25 16:19:47.000,10056.0,,,,,,,,,,,37.0,,,,,,,,,,
