,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,conda_dependent_project_count,updated_github_id,new_addition,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-10-03 10:56:55.000000,2023-10-02 08:48:39,26704.0,107.0,4466.0,756.0,6949.0,1636.0,5631.0,15958.0,2023-10-02 08:30:32.000,8.16.1,320422.0,31288186.0,173.0,490075.0,453680.0,965.0,https://pypi.org/project/ipython,2023-10-02 08:30:32.000,36395.0,30606632.0,https://anaconda.org/conda-forge/ipython,2023-10-02 16:43:35.440,23762491.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-10-05 14:51:32.000000,2023-10-05 09:02:00,20233.0,72.0,4122.0,450.0,5822.0,771.0,6677.0,18028.0,2023-08-14 02:42:48.000,3.2.2,,3782878.0,177.0,80689.0,76928.0,670.0,https://pypi.org/project/bokeh,2023-10-05 09:19:55.000,3752.0,3449366.0,https://anaconda.org/conda-forge/bokeh,2023-08-14 08:47:36.698,12755732.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2023-10-05 09:19:40.741,9.0,14619.0,,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-10-05 08:47:51.000000,2023-10-04 06:54:18,13454.0,48.0,4195.0,320.0,2314.0,1980.0,2745.0,11588.0,2023-09-20 07:14:53.000,7.0.4,14812.0,18895757.0,136.0,9294.0,320.0,641.0,https://pypi.org/project/notebook,2023-09-20 07:14:43.000,8974.0,18475804.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,3787313.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-02 04:42:08.602874,1044.0,31110618.0,,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-10-05 02:36:15.855000,2023-10-05 01:15:43,4006.0,32.0,536.0,51.0,931.0,507.0,636.0,1560.0,2023-10-05 01:15:59.000,7.9.2,713.0,20798072.0,87.0,240318.0,231719.0,265.0,https://pypi.org/project/nbconvert,2023-10-05 01:15:52.000,8599.0,20376019.0,https://anaconda.org/conda-forge/nbconvert,2023-10-05 02:36:15.855,14771433.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-10-04 09:07:47.000000,2023-10-04 08:48:08,7105.0,156.0,1933.0,268.0,2207.0,200.0,2162.0,7680.0,2023-08-10 09:30:00.000,4.0.2,,246414.0,74.0,2882.0,2497.0,347.0,https://pypi.org/project/jupyterhub,2023-08-10 09:30:00.000,385.0,177120.0,https://anaconda.org/conda-forge/jupyterhub,2023-08-10 13:04:08.285,1003183.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-10-04 08:57:52.608836,328.0,4880071.0,,,,,,,,,,,,,
6,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-09-27 20:43:33.000000,2023-09-22 07:25:13,7805.0,34.0,930.0,75.0,1874.0,702.0,1313.0,2903.0,2023-09-13 09:49:35.000,8.1.1,,13246523.0,154.0,9449.0,2.0,212.0,https://pypi.org/project/ipywidgets,2023-09-13 09:43:29.000,9352.0,12878903.0,https://anaconda.org/conda-forge/ipywidgets,2023-09-13 12:15:46.781,11658635.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2023-09-13 09:33:59.145,95.0,52522.0,,,,,,5.0,,,,,,,,,,,,
7,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-10-04 00:37:45.000000,2023-10-04 00:37:45,2865.0,19.0,352.0,35.0,682.0,262.0,230.0,581.0,2023-09-04 16:37:34.000,6.25.2,1821.0,19013280.0,123.0,302776.0,292476.0,173.0,https://pypi.org/project/ipykernel,2023-09-04 16:37:28.000,10262.0,19004865.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,793549.0,1.0,,,,,,,,,,,,38.0,,,,,,,,,,,
8,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-10-04 15:47:08.000000,2023-10-04 15:45:49,1349.0,40.0,1537.0,150.0,722.0,177.0,545.0,11206.0,2023-08-11 15:54:46.000,4.5.1,,719715.0,50.0,1649.0,1457.0,115.0,https://pypi.org/project/pandas-profiling,2023-02-03 17:59:40.571,192.0,715055.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,400763.0,1.0,,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,
9,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,37,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-10-05 10:16:06.000000,2023-10-05 10:15:30,3239.0,162.0,362.0,54.0,2744.0,821.0,1995.0,3142.0,2023-09-18 10:07:30.000,1.2.3,,704955.0,322.0,8601.0,8424.0,143.0,https://pypi.org/project/panel,2023-09-25 20:19:38.000,175.0,615501.0,https://anaconda.org/conda-forge/panel,2023-09-18 13:22:20.670,1168783.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2023-09-25 20:35:23.142,2.0,60235.0,,,,,,,,,,,,,,,,,,
