,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,npm_latest_release_published_at,npm_dependent_project_count,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,docs_url,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-11-01 14:10:05.674000,2023-10-31 10:22:08,26753.0,140.0,4476.0,756.0,6967.0,1642.0,5636.0,15985.0,2023-10-31 10:23:52.000,8.17.2,320471.0,32510179.0,176.0,500655.0,464119.0,971.0,https://pypi.org/project/ipython,2023-10-31 10:23:52.000,36536.0,31824720.0,https://anaconda.org/conda-forge/ipython,2023-11-01 14:10:05.674,24582747.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-02 05:35:29.000000,2023-10-31 16:42:00,20290.0,112.0,4038.0,447.0,5868.0,739.0,6721.0,18255.0,,,,3853678.0,54.0,78497.0,78497.0,673.0,https://pypi.org/project/bokeh,,,3512753.0,https://anaconda.org/conda-forge/bokeh,2023-10-11 08:08:05.962,12993056.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,24022.0,,,,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-10-29 20:48:33.000000,2023-10-29 20:48:32,13472.0,45.0,4195.0,319.0,2334.0,1980.0,2765.0,11683.0,2023-10-17 12:42:06.000,7.0.6,15314.0,17575926.0,139.0,9455.0,457.0,643.0,https://pypi.org/project/notebook,2023-10-27 15:11:54.000,8998.0,17155921.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,3896608.0,1.0,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1053.0,31437204.0,,,,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-10-31 17:25:40.000000,2023-10-31 17:25:40,4013.0,25.0,538.0,51.0,937.0,508.0,637.0,1577.0,2023-10-30 12:34:59.000,7.10.0,767.0,20845844.0,88.0,245151.0,236529.0,267.0,https://pypi.org/project/nbconvert,2023-10-30 12:34:50.000,8622.0,20420513.0,https://anaconda.org/conda-forge/nbconvert,2023-10-30 15:16:59.589,15311413.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-11-01 10:22:33.138710,2023-11-01 10:14:02,7121.0,148.0,1933.0,267.0,2219.0,200.0,2169.0,7720.0,2023-08-10 09:30:00.000,4.0.2,,273050.0,74.0,2928.0,2541.0,349.0,https://pypi.org/project/jupyterhub,2023-08-10 09:30:00.000,387.0,203918.0,https://anaconda.org/conda-forge/jupyterhub,2023-08-10 13:04:08.285,1020332.0,1.0,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-11-01 10:22:33.138710,329.0,4929579.0,,,,,,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-11-01 19:39:23.000000,2023-11-01 13:56:43,3358.0,232.0,375.0,53.0,2859.0,852.0,2060.0,3223.0,2023-10-31 16:50:44.000,1.3.1,,669645.0,58.0,8768.0,8768.0,146.0,https://pypi.org/project/panel,,,579490.0,https://anaconda.org/conda-forge/panel,2023-11-01 10:33:06.060,1209453.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,60657.0,,,,,,,,,,,,,,,,,,,,
7,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-11-02 01:30:31.000000,2023-11-02 01:30:31,2870.0,17.0,352.0,36.0,688.0,262.0,231.0,586.0,2023-10-24 23:55:26.000,6.26.0,1881.0,17441847.0,124.0,310985.0,300609.0,173.0,https://pypi.org/project/ipykernel,2023-10-24 23:55:18.000,10338.0,17433240.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,820413.0,1.0,,,,,,,,,38.0,,,,,,,,,,,,,,
8,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-11-02 08:03:34.000000,2023-11-02 08:01:34,1354.0,34.0,1531.0,150.0,729.0,187.0,547.0,11320.0,2023-10-24 11:33:51.000,4.6.1,,740965.0,52.0,1668.0,1668.0,115.0,https://pypi.org/project/pandas-profiling,,,736285.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,407198.0,1.0,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,,,,
9,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,35,True,jupytext,mwouts/jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2023-10-24 20:04:06.000000,2023-10-24 20:04:05,2378.0,42.0,384.0,69.0,525.0,121.0,511.0,6185.0,2023-10-22 19:32:53.859,1.3.11,,540991.0,123.0,6330.0,6068.0,83.0,https://pypi.org/project/jupytext,2023-09-16 21:41:00.000,260.0,515702.0,https://anaconda.org/conda-forge/jupytext,2023-09-17 11:30:21.079,711180.0,1.0,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,7944.0,,,,,,,,2023-10-22 19:32:53.859,2.0,,,,,,,,,,,
