,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,docs_url,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-11-09 12:52:57.000000,2023-11-06 09:31:50,26755.0,130.0,4280.0,756.0,6968.0,1565.0,5636.0,15991.0,2021-01-30 02:36:56.000,7.18.1,320487.0,32742604.0,90.0,466910.0,466910.0,971.0,https://pypi.org/project/ipython,32051484.0,https://anaconda.org/conda-forge/ipython,2023-11-01 14:10:05.674,24786560.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-09 08:27:57.000000,2023-11-08 23:32:52,20299.0,113.0,4122.0,446.0,5872.0,737.0,6732.0,18271.0,2023-08-14 02:42:40.781,3.2.2,,3876479.0,115.0,78838.0,78829.0,675.0,https://pypi.org/project/bokeh,3536386.0,https://anaconda.org/conda-forge/bokeh,2023-10-11 08:08:05.962,13052868.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2023-11-06 16:56:46.896,9.0,21731.0,,,,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-11-06 20:40:56.000000,2023-11-05 03:37:46,13473.0,45.0,4198.0,320.0,2336.0,1980.0,2768.0,11709.0,2023-10-17 12:42:06.000,7.0.6,15379.0,17732198.0,139.0,9500.0,492.0,643.0,https://pypi.org/project/notebook,17310826.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,3922696.0,1.0,,,,,,jupyter/datascience-notebook,2023-10-27 15:11:54.000,9008.0,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1053.0,31498906.0,,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-11-08 12:59:15.000000,2023-11-08 12:59:15,4016.0,28.0,540.0,51.0,940.0,509.0,637.0,1580.0,2023-11-06 12:38:32.000,7.11.0,778.0,21115592.0,89.0,246466.0,237836.0,267.0,https://pypi.org/project/nbconvert,20686658.0,https://anaconda.org/conda-forge/nbconvert,2023-11-06 16:05:13.867,15441126.0,1.0,,,,,,,2023-11-06 12:38:24.000,8630.0,,,,,,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-11-09 08:27:05.000000,2023-11-07 13:36:00,7132.0,119.0,1933.0,267.0,2223.0,200.0,2169.0,7719.0,2023-08-10 09:30:00.000,4.0.2,,270706.0,74.0,2944.0,2555.0,349.0,https://pypi.org/project/jupyterhub,201354.0,https://anaconda.org/conda-forge/jupyterhub,2023-08-10 13:04:08.285,1025140.0,1.0,,,,,,jupyterhub/jupyterhub,2023-08-10 09:30:00.000,389.0,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-11-01 10:22:33.138710,329.0,4940818.0,,,,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-11-08 17:46:00.000000,2023-11-08 17:45:38,3371.0,245.0,378.0,52.0,2876.0,865.0,2067.0,3232.0,2023-10-31 16:50:44.000,1.3.1,,654905.0,58.0,8867.0,8867.0,146.0,https://pypi.org/project/panel,570080.0,https://anaconda.org/conda-forge/panel,2023-11-01 10:33:06.060,1219675.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,,,55077.0,,,,,,,,,,,,,,,,,,,,
7,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-11-09 13:11:17.000000,2023-11-09 13:11:17,2873.0,19.0,352.0,36.0,691.0,262.0,231.0,587.0,2023-10-24 23:55:26.000,6.26.0,1891.0,17681190.0,124.0,313187.0,302791.0,173.0,https://pypi.org/project/ipykernel,17672512.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,827060.0,1.0,,,,,,,2023-10-24 23:55:18.000,10358.0,,,,,38.0,,,,,,,,,,,,
8,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-11-03 00:50:04.000000,2023-11-02 08:01:34,1354.0,24.0,1566.0,150.0,730.0,188.0,547.0,11351.0,2023-10-24 11:33:51.000,4.6.1,,735360.0,52.0,1905.0,1712.0,115.0,https://pypi.org/project/pandas-profiling,730659.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,409010.0,1.0,,,,,,,2023-02-03 17:59:40.571,193.0,,,,,,ydataai/ydata-profiling,,,,,,,,,,,
9,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,36,True,jupytext,mwouts/jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2023-11-09 00:33:11.000000,2023-11-05 16:56:04,2380.0,44.0,384.0,69.0,530.0,121.0,512.0,6191.0,2023-10-22 19:32:53.859,1.3.11,,570308.0,123.0,6374.0,6112.0,83.0,https://pypi.org/project/jupytext,545327.0,https://anaconda.org/conda-forge/jupytext,2023-09-17 11:30:21.079,717193.0,1.0,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,2023-10-22 19:32:53.859,2.0,7489.0,,2023-09-16 21:41:00.000,260.0,,,,,,,,,,,,,,,,,
