,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-01-16 10:17:48.000000,2024-01-15 09:12:17,26837.0,121.0,4487.0,755.0,6998.0,1659.0,5650.0,16054.0,2024-01-08 10:11:36.000,8.20.0,320729.0,29848622.0,180.0,531015.0,494158.0,979.0,https://pypi.org/project/ipython,2024-01-08 10:11:36.000,36857.0,29175608.0,https://anaconda.org/conda-forge/ipython,2024-01-08 13:16:04.705,25477082.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-01-18 11:07:00.000000,2024-01-18 11:06:54,20360.0,84.0,4202.0,443.0,5948.0,721.0,6800.0,18495.0,2024-01-08 19:07:44.000,3.3.3,,3641132.0,190.0,85749.0,81934.0,680.0,https://pypi.org/project/bokeh,2024-01-08 19:07:44.000,3805.0,3325025.0,https://anaconda.org/conda-forge/bokeh,2024-01-08 21:10:28.843,13276498.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2024-01-08 19:07:35.508,10.0,7352.0,,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,42,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-01-11 08:12:53.000000,2024-01-02 08:27:32,13496.0,31.0,4464.0,321.0,2367.0,2008.0,2794.0,11932.0,2023-10-17 12:42:06.000,7.0.6,16102.0,15791968.0,141.0,9913.0,838.0,645.0,https://pypi.org/project/notebook,2023-12-27 09:48:58.000,9075.0,15376233.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4004449.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1065.0,31952764.0,,,,,,,,,,,,,
4,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,39,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-01-18 13:49:21.000000,2024-01-18 12:56:11,3566.0,256.0,423.0,53.0,3077.0,950.0,2204.0,3692.0,2023-12-20 18:22:28.571,1.3.6,,618664.0,351.0,9963.0,9761.0,156.0,https://pypi.org/project/panel,2024-01-18 13:49:21.000,199.0,540904.0,https://anaconda.org/conda-forge/panel,2023-12-22 13:29:20.614,1257673.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2024-01-15 21:02:55.190,3.0,48512.0,,,,,,,,,,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-01-16 15:32:14.796000,2024-01-16 15:00:49,4037.0,30.0,524.0,51.0,955.0,499.0,642.0,1612.0,2024-01-16 15:01:05.000,7.14.2,942.0,19364224.0,67.0,249825.0,249825.0,270.0,https://pypi.org/project/nbconvert,,,18946903.0,https://anaconda.org/conda-forge/nbconvert,2024-01-16 15:32:14.796,15857614.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
6,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2024-01-15 11:54:53.000000,2024-01-11 23:29:57,7196.0,84.0,1974.0,267.0,2248.0,180.0,2183.0,7803.0,2023-08-10 09:30:00.000,4.0.2,,201569.0,74.0,3067.0,2674.0,354.0,https://pypi.org/project/jupyterhub,2023-08-10 09:30:00.000,393.0,132938.0,https://anaconda.org/conda-forge/jupyterhub,2023-08-10 13:04:08.285,1040350.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-01-11 09:26:42.083666,330.0,5044020.0,,,,,,,,,,,,,
7,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-01-16 14:44:39.000000,2024-01-16 14:44:29,2892.0,27.0,352.0,37.0,708.0,262.0,237.0,596.0,2024-01-16 14:44:47.000,6.29.0,2076.0,15917719.0,128.0,334718.0,324132.0,177.0,https://pypi.org/project/ipykernel,2024-01-16 14:44:39.000,10547.0,15908996.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,848640.0,1.0,,,,,,,,,,,39.0,,,,,,,,,,,,
8,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-01-18 02:27:39.000000,2024-01-18 02:26:18,1371.0,20.0,1607.0,151.0,742.0,200.0,552.0,11687.0,2024-01-08 15:03:46.000,4.6.4,35.0,543461.0,55.0,2440.0,2244.0,117.0,https://pypi.org/project/pandas-profiling,2023-02-03 17:59:40.571,196.0,538791.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,415697.0,1.0,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,,
9,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-11-25 20:30:31.000000,2023-11-25 20:30:31,1971.0,17.0,198.0,23.0,261.0,108.0,230.0,384.0,2023-11-15 22:59:37.000,5.5.1,,3966279.0,48.0,167238.0,160853.0,122.0,https://pypi.org/project/qtconsole,2023-11-15 22:59:37.000,6385.0,3859177.0,https://anaconda.org/conda-forge/qtconsole,2023-11-16 21:13:55.750,4605401.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
