,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,pypi_latest_release_published_at,pypi_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-01-24 20:20:52.000000,2024-01-19 14:54:13,26843.0,108.0,4287.0,756.0,7002.0,1587.0,5650.0,16062.0,2021-01-30 02:36:56.000,7.18.1,320733.0,31439621.0,94.0,496637.0,496637.0,979.0,https://pypi.org/project/ipython,30764595.0,https://anaconda.org/conda-forge/ipython,2024-01-08 13:16:04.705,25553548.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-01-25 10:03:49.000000,2024-01-24 06:01:29,20368.0,84.0,4205.0,443.0,5955.0,760.0,6806.0,18519.0,2024-01-08 19:07:44.000,3.3.3,,3651577.0,192.0,86108.0,82290.0,680.0,https://pypi.org/project/bokeh,3333891.0,https://anaconda.org/conda-forge/bokeh,2024-01-08 21:10:28.843,13297951.0,1.0,@bokeh/bokehjs,2024-01-25 04:23:23.000,3808.0,https://www.npmjs.com/package/@bokeh/bokehjs,2024-01-23 21:30:30.945,10.0,8432.0,,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,44,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-01-25 09:11:50.000000,2024-01-22 09:39:01,13498.0,27.0,4482.0,321.0,2374.0,2010.0,2795.0,11966.0,2024-01-19 16:50:06.000,7.0.7,16202.0,16124825.0,142.0,269626.0,260540.0,645.0,https://pypi.org/project/notebook,15708361.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4013702.0,1.0,,2024-01-19 16:49:56.000,9086.0,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1067.0,32002215.0,,,,,,,,,,,,,
4,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,39,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-01-25 12:32:11.000000,2024-01-24 17:08:52,3582.0,246.0,424.0,53.0,3094.0,960.0,2213.0,3727.0,2024-01-24 17:43:48.928,1.3.8,,650967.0,358.0,10032.0,9824.0,157.0,https://pypi.org/project/panel,567805.0,https://anaconda.org/conda-forge/panel,2024-01-24 10:29:18.791,1262967.0,1.0,@holoviz/panel,2024-01-24 17:41:24.000,205.0,https://www.npmjs.com/package/@holoviz/panel,2024-01-24 17:43:48.928,3.0,53791.0,,,,,,,,,,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-01-16 15:32:14.796000,2024-01-16 15:00:49,4037.0,30.0,547.0,51.0,955.0,519.0,642.0,1615.0,2024-01-16 15:01:05.000,7.14.2,945.0,19815748.0,95.0,259676.0,250961.0,270.0,https://pypi.org/project/nbconvert,19397205.0,https://anaconda.org/conda-forge/nbconvert,2024-01-16 15:32:14.796,15904057.0,1.0,,2024-01-16 15:00:58.000,8715.0,,,,,,,,,,,,,,,,,,,,,,
6,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2024-01-25 09:33:18.295092,2024-01-25 09:28:01,7222.0,92.0,1974.0,267.0,2252.0,180.0,2186.0,7812.0,2023-08-10 09:30:00.000,4.0.2,,244239.0,74.0,3075.0,2682.0,354.0,https://pypi.org/project/jupyterhub,175476.0,https://anaconda.org/conda-forge/jupyterhub,2023-08-10 13:04:08.285,1042026.0,1.0,,2023-08-10 09:30:00.000,393.0,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-01-25 09:33:18.295092,331.0,5054667.0,,,,,,,,,,,,,
7,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-01-22 22:57:58.000000,2024-01-16 14:44:29,2892.0,24.0,362.0,38.0,708.0,270.0,237.0,598.0,2024-01-22 14:37:37.000,6.28.0,2081.0,16642609.0,128.0,336726.0,326123.0,177.0,https://pypi.org/project/ipykernel,16633862.0,https://anaconda.org/anaconda/ipykernel,2024-01-22 15:02:52.448,850869.0,1.0,,2024-01-16 14:44:39.000,10564.0,,,,,,,,,,39.0,,,,,,,,,,,,
8,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-01-22 02:16:22.000000,2024-01-18 02:26:18,1371.0,18.0,1574.0,151.0,743.0,201.0,552.0,11736.0,2024-01-08 15:03:46.000,4.6.4,35.0,534847.0,55.0,2286.0,2286.0,117.0,https://pypi.org/project/pandas-profiling,530169.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,416403.0,1.0,,,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,,
9,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,36,True,jupytext,mwouts/jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2024-01-13 18:58:26.560000,2024-01-13 17:13:08,2445.0,67.0,387.0,69.0,561.0,123.0,533.0,6318.0,2024-01-13 17:42:20.000,1.16.1,,529348.0,126.0,6920.0,6627.0,85.0,https://pypi.org/project/jupytext,507229.0,https://anaconda.org/conda-forge/jupytext,2024-01-13 18:58:26.560,740355.0,1.0,jupyterlab-jupytext,2024-01-13 17:42:20.000,290.0,https://www.npmjs.com/package/jupyterlab-jupytext,2024-01-13 17:12:47.276,3.0,4902.0,,,,,,,,,,,,,,,,,,
