,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,conda_dependent_project_count,updated_github_id,trending,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-02-14 14:15:59.000000,2024-02-08 09:32:35,26879.0,122.0,4285.0,755.0,7018.0,1593.0,5657.0,16085.0,2021-01-30 02:36:56.000,7.18.1,320759.0,38013520.0,95.0,504823.0,504823.0,980.0,https://pypi.org/project/ipython,37349306.0,https://anaconda.org/conda-forge/ipython,2024-02-01 14:09:19.226,25805111.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,44,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-02-14 19:40:46.000000,2024-02-13 15:24:16,13516.0,41.0,4547.0,322.0,2391.0,2010.0,2813.0,12017.0,2024-02-13 15:25:48.000,7.1.0,16625.0,20438500.0,147.0,273910.0,264800.0,645.0,https://pypi.org/project/notebook,20025441.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4043963.0,1.0,jupyter/datascience-notebook,2024-02-13 15:25:37.000,9110.0,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1067.0,32178481.0,,,,,,,,,,,,,,,,,,
3,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-02-15 13:01:33.000000,2024-02-15 13:01:32,20386.0,84.0,4091.0,444.0,5969.0,720.0,6821.0,18579.0,,,,4384534.0,58.0,83431.0,83431.0,682.0,https://pypi.org/project/bokeh,4071328.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13373451.0,1.0,,,,,,,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,9264.0,,,,,,,,,,,,,,,
4,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,39,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-02-15 13:45:19.000000,2024-02-15 13:45:19,3611.0,217.0,422.0,53.0,3128.0,961.0,2230.0,3830.0,2024-01-24 17:32:42.000,1.3.8,,761037.0,64.0,10103.0,10103.0,159.0,https://pypi.org/project/panel,673220.0,https://anaconda.org/conda-forge/panel,2024-01-27 09:14:49.749,1279785.0,1.0,,,,,,,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,58731.0,,,,,,,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-02-09 01:49:53.000000,2024-02-09 01:49:51,4045.0,28.0,524.0,52.0,961.0,503.0,644.0,1630.0,2024-02-07 13:42:05.000,7.16.0,992.0,24057485.0,69.0,254657.0,254657.0,271.0,https://pypi.org/project/nbconvert,23645792.0,https://anaconda.org/conda-forge/nbconvert,2024-02-07 17:28:28.248,16055400.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2024-02-08 21:24:52.939000,2024-02-08 15:35:20,7825.0,10.0,944.0,77.0,1885.0,742.0,1321.0,2995.0,2024-02-08 15:31:21.000,8.1.2,,14092161.0,155.0,9723.0,3.0,212.0,https://pypi.org/project/ipywidgets,13708492.0,https://anaconda.org/conda-forge/ipywidgets,2024-02-08 21:24:52.939,12729676.0,1.0,,2024-02-08 15:31:21.000,9622.0,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,73190.0,2024-02-08 15:12:36.059,98.0,,,,,,,,,,,,,
7,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-02-15 10:50:27.000000,2024-02-15 02:26:07,2904.0,31.0,362.0,38.0,720.0,270.0,238.0,601.0,2024-02-07 13:43:16.000,6.29.2,2118.0,21621708.0,130.0,343503.0,332854.0,181.0,https://pypi.org/project/ipykernel,21612986.0,https://anaconda.org/anaconda/ipykernel,2024-01-22 15:02:52.448,857222.0,1.0,,2024-02-07 13:43:09.000,10610.0,,,,,,,,,,39.0,,,,,,,,,,,,
8,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-02-13 19:21:14.000000,2024-02-13 09:33:32,1373.0,19.0,1616.0,151.0,753.0,203.0,556.0,11820.0,2024-01-08 15:03:46.000,4.6.4,45.0,545624.0,55.0,2629.0,2433.0,118.0,https://pypi.org/project/pandas-profiling,540977.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,418313.0,1.0,,2023-02-03 17:59:40.571,196.0,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,,
9,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,37,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2024-02-14 20:20:57.000000,2024-02-13 11:51:33,7245.0,86.0,1974.0,266.0,2278.0,180.0,2188.0,7841.0,2023-08-10 09:30:00.000,4.0.2,,388086.0,74.0,3113.0,2719.0,354.0,https://pypi.org/project/jupyterhub,319913.0,https://anaconda.org/conda-forge/jupyterhub,2023-08-10 13:04:08.285,1047027.0,1.0,jupyterhub/jupyterhub,2023-08-10 09:30:00.000,394.0,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-02-13 11:56:58.146183,331.0,5083663.0,,,,,,,,,,,,,,,,,,
10,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,36,True,jupytext,mwouts/jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2024-02-14 23:37:17.000000,2024-01-13 17:13:08,2445.0,44.0,374.0,71.0,563.0,116.0,534.0,6340.0,2024-01-13 17:14:35.000,1.16.1,,657663.0,100.0,6754.0,6754.0,85.0,https://pypi.org/project/jupytext,635109.0,https://anaconda.org/conda-forge/jupytext,2024-01-13 18:58:26.560,749103.0,1.0,,,,,,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,5529.0,,,,,,,,,,,,,,,
