,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,conda_dependent_project_count,npm_latest_release_published_at,npm_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-03-11 10:40:44.000000,2024-03-07 10:45:12,26937.0,149.0,4402.0,752.0,7036.0,1676.0,5668.0,16108.0,2024-03-04 10:32:50.000,8.22.2,320802.0,42876372.0,184.0,553740.0,516644.0,984.0,https://pypi.org/project/ipython,2024-03-04 10:32:50.000,37096.0,42219145.0,https://anaconda.org/conda-forge/ipython,2024-03-04 14:01:19.927,26188071.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,45,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-03-13 15:27:18.000000,2024-03-13 15:27:16,13527.0,39.0,4492.0,322.0,2405.0,1928.0,2917.0,12107.0,2024-02-26 14:30:19.000,7.1.1,16896.0,24302246.0,148.0,279805.0,270678.0,646.0,https://pypi.org/project/notebook,2024-02-26 14:30:10.000,9127.0,23891795.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4084100.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1069.0,32397577.0,,,,,,,,,,,,,,,,,,
3,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-03-14 07:49:41.000000,2024-03-14 07:49:40,20426.0,90.0,4097.0,443.0,6006.0,719.0,6847.0,18665.0,,,,5012082.0,58.0,84893.0,84893.0,688.0,https://pypi.org/project/bokeh,,,4702275.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13468004.0,1.0,,,,,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,10519.0,,,,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,40,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-03-10 17:59:47.000000,2024-03-10 15:55:59,4051.0,30.0,538.0,52.0,966.0,529.0,646.0,1646.0,2024-03-04 16:20:06.000,7.16.2,1058.0,25598547.0,99.0,268772.0,260012.0,271.0,https://pypi.org/project/nbconvert,2024-03-04 16:19:57.000,8760.0,25191806.0,https://anaconda.org/conda-forge/nbconvert,2024-03-04 19:54:11.460,16268941.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,40,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-03-13 16:02:56.000000,2024-03-12 12:17:52,2911.0,28.0,369.0,39.0,726.0,269.0,240.0,604.0,2024-02-26 20:27:01.000,6.29.3,2154.0,25825841.0,131.0,353174.0,342438.0,182.0,https://pypi.org/project/ipykernel,2024-02-26 20:26:54.000,10697.0,25817120.0,https://anaconda.org/anaconda/ipykernel,2024-01-22 15:02:52.448,865840.0,1.0,,,,,,,,,39.0,,,,,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,39,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-03-14 14:25:58.000000,2024-03-14 12:47:14,3706.0,231.0,442.0,54.0,3211.0,994.0,2289.0,3961.0,2024-01-24 17:43:48.928,1.3.8,,848743.0,363.0,10683.0,10464.0,166.0,https://pypi.org/project/panel,2024-03-13 17:07:12.000,216.0,766615.0,https://anaconda.org/conda-forge/panel,2024-01-27 09:14:49.749,1303215.0,1.0,,,,,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,53168.0,,2024-03-13 17:24:15.531,3.0,,,,,,,,,,,,
7,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2024-03-14 08:52:27.000000,2024-02-08 15:35:20,7825.0,10.0,928.0,78.0,1887.0,746.0,1324.0,3018.0,2024-02-22 16:47:17.000,8.1.2,,17008698.0,155.0,9769.0,3.0,212.0,https://pypi.org/project/ipywidgets,2024-02-08 15:31:21.000,9668.0,16621774.0,https://anaconda.org/conda-forge/ipywidgets,2024-02-08 21:24:52.939,12896444.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,79866.0,,2024-02-08 15:12:36.059,98.0,,,,,,,,,,,,
8,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-03-14 14:00:12.000000,2024-03-13 11:22:27,1380.0,12.0,1608.0,151.0,758.0,210.0,557.0,11897.0,2024-02-26 14:50:43.000,4.6.5,68.0,527449.0,56.0,2839.0,2643.0,119.0,https://pypi.org/project/pandas-profiling,2023-02-03 17:59:40.571,196.0,522828.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,420519.0,1.0,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,,
9,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,37,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2024-03-13 11:42:36.000000,2024-03-13 10:15:51,7316.0,130.0,1963.0,267.0,2290.0,183.0,2197.0,7865.0,2023-08-10 09:30:00.000,4.0.2,,211488.0,74.0,3151.0,2755.0,356.0,https://pypi.org/project/jupyterhub,2023-08-10 09:30:00.000,396.0,143754.0,https://anaconda.org/conda-forge/jupyterhub,2023-08-10 13:04:08.285,1053106.0,1.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-03-13 10:21:32.780137,333.0,5124629.0,,,,,,,,,,,,,,,,,,
