,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,gem_id,hex_id,docs_url,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-03-19 13:26:08.000000,2024-03-17 08:11:05,26939.0,136.0,4402.0,751.0,7037.0,1676.0,5668.0,16116.0,2024-03-04 10:32:50.000,8.22.2,320828.0,44255916.0,184.0,559664.0,522496.0,984.0,https://pypi.org/project/ipython,2024-03-04 10:32:50.000,37168.0,43592581.0,https://anaconda.org/conda-forge/ipython,2024-03-04 14:01:19.927,26432392.0,1.0,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-03-28 08:20:05.000000,2024-03-26 11:51:39,20443.0,96.0,4154.0,444.0,6015.0,751.0,6857.0,18718.0,2024-03-14 16:38:08.000,3.4.0,,5187774.0,199.0,89232.0,85383.0,689.0,https://pypi.org/project/bokeh,2024-03-18 16:22:43.000,3839.0,4876386.0,https://anaconda.org/conda-forge/bokeh,2024-03-15 07:03:52.633,13536927.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2024-03-18 16:22:31.959,10.0,10568.0,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,45,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-03-22 00:58:59.000000,2024-03-14 18:46:38,13529.0,35.0,4521.0,323.0,2407.0,1925.0,2921.0,12150.0,2024-03-14 18:48:01.000,7.1.2,17339.0,24916821.0,149.0,282499.0,273361.0,646.0,https://pypi.org/project/notebook,2024-03-14 18:47:51.000,9138.0,24504754.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4107513.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1070.0,32504136.0,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,40,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-03-22 01:27:22.277000,2024-03-21 17:59:09,4054.0,25.0,540.0,52.0,968.0,532.0,648.0,1654.0,2024-03-21 17:59:32.000,7.16.3,1086.0,26107358.0,100.0,271195.0,262430.0,271.0,https://pypi.org/project/nbconvert,2024-03-21 17:59:23.000,8765.0,25697283.0,https://anaconda.org/conda-forge/nbconvert,2024-03-22 01:27:22.277,16402316.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,40,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-03-27 22:25:41.000000,2024-03-25 16:47:36,2913.0,27.0,369.0,39.0,728.0,269.0,241.0,604.0,2024-03-27 22:25:50.000,6.29.4,2178.0,26566728.0,132.0,357761.0,346980.0,182.0,https://pypi.org/project/ipykernel,2024-03-27 22:25:41.000,10742.0,26557958.0,https://anaconda.org/anaconda/ipykernel,2024-01-22 15:02:52.448,870617.0,1.0,,,,,,,,,,,39.0,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,39,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-03-28 13:56:35.000000,2024-03-27 16:15:43,3786.0,268.0,449.0,54.0,3279.0,992.0,2327.0,4006.0,2024-03-27 15:58:45.000,1.4.0,,770397.0,65.0,10626.0,10626.0,166.0,https://pypi.org/project/panel,,,697291.0,https://anaconda.org/conda-forge/panel,2024-01-27 09:14:49.749,1321225.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,,,43746.0,,,,,,,,,,,,,,,,
7,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2024-03-26 18:55:54.000000,2024-03-26 16:35:46,7355.0,163.0,1967.0,266.0,2311.0,179.0,2205.0,7882.0,2024-03-26 09:08:58.000,4.1.3,,232183.0,78.0,3174.0,2777.0,357.0,https://pypi.org/project/jupyterhub,2024-03-26 09:08:58.000,397.0,164192.0,https://anaconda.org/conda-forge/jupyterhub,2024-03-26 09:51:28.622,1057044.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-03-26 16:41:43.599667,333.0,5144356.0,,,,,,,,,,,
8,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-03-26 17:10:33.000000,2024-03-19 14:28:58,1383.0,15.0,1616.0,152.0,763.0,212.0,557.0,11938.0,2024-03-18 18:22:40.000,4.7.0,74.0,565935.0,57.0,2924.0,2728.0,119.0,https://pypi.org/project/pandas-profiling,2023-02-03 17:59:40.571,196.0,561300.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,421804.0,1.0,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,
9,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,37,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2024-03-20 10:11:34.000000,2024-02-08 15:35:20,7825.0,9.0,931.0,78.0,1888.0,750.0,1324.0,3031.0,2024-02-22 16:47:17.000,8.1.2,,17466830.0,155.0,9809.0,3.0,212.0,https://pypi.org/project/ipywidgets,2024-02-08 15:31:21.000,9705.0,17080421.0,https://anaconda.org/conda-forge/ipywidgets,2024-02-08 21:24:52.939,13001933.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2024-02-08 15:12:36.059,101.0,76840.0,,,,,,,,,,,,,,,,
