,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-04-25 13:33:38.000000,2024-04-17 18:45:47,26978.0,133.0,4410.0,750.0,7052.0,1685.0,5682.0,16136.0,2024-03-31 13:01:52.000,8.23.0,320874.0,44188617.0,185.0,572814.0,535498.0,986.0,https://pypi.org/project/ipython,2024-03-31 13:01:52.000,37316.0,43524779.0,https://anaconda.org/conda-forge/ipython,2024-03-04 14:01:19.927,27114636.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-04-25 14:29:00.000000,2024-04-22 21:44:20,20465.0,92.0,4158.0,442.0,6040.0,759.0,6874.0,18836.0,2024-04-11 21:02:24.000,3.4.1,,5601564.0,200.0,90504.0,86637.0,691.0,https://pypi.org/project/bokeh,2024-04-11 21:02:24.000,3857.0,5294700.0,https://anaconda.org/conda-forge/bokeh,2024-04-12 05:55:15.282,13731205.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2024-04-11 21:02:14.826,10.0,8360.0,,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,45,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-04-24 12:34:32.000000,2024-04-22 16:23:35,13540.0,39.0,4596.0,323.0,2424.0,1940.0,2932.0,12224.0,2024-04-17 16:24:29.000,7.1.3,17651.0,24455901.0,153.0,288481.0,279327.0,646.0,https://pypi.org/project/notebook,2024-04-19 17:39:21.000,9154.0,24045651.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4174798.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1071.0,32724507.0,,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,40,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-04-10 16:50:06.799000,2024-04-08 11:09:18,4057.0,20.0,540.0,50.0,973.0,532.0,651.0,1663.0,2024-03-21 17:59:32.000,7.16.3,1101.0,25681042.0,100.0,276875.0,268095.0,271.0,https://pypi.org/project/nbconvert,2024-03-21 17:59:23.000,8780.0,25271910.0,https://anaconda.org/conda-forge/nbconvert,2024-04-10 16:50:06.799,16773710.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,40,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-04-22 17:44:40.000000,2024-04-08 12:32:26,2916.0,24.0,369.0,38.0,733.0,269.0,242.0,613.0,2024-03-27 22:25:50.000,6.29.4,2333.0,26702344.0,132.0,368115.0,357291.0,182.0,https://pypi.org/project/ipykernel,2024-03-27 22:25:41.000,10785.0,26693543.0,https://anaconda.org/anaconda/ipykernel,2024-01-22 15:02:52.448,882247.0,1.0,,,,,,,,,,,39.0,,,,,,,,,,,,
6,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2024-04-24 21:11:17.000000,2024-04-24 17:24:13,7507.0,267.0,1967.0,266.0,2335.0,175.0,2223.0,7909.0,2024-04-04 20:15:43.000,4.1.5,,226340.0,81.0,3213.0,2816.0,357.0,https://pypi.org/project/jupyterhub,2024-04-22 06:42:38.000,397.0,158622.0,https://anaconda.org/conda-forge/jupyterhub,2024-04-05 00:18:51.452,1071714.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-04-24 17:30:00.494765,333.0,5180622.0,,,,,,,,,,,,,
7,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,39,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-04-25 12:26:33.000000,2024-04-24 10:11:06,3873.0,291.0,456.0,55.0,3369.0,1050.0,2371.0,4200.0,2024-04-23 09:51:51.000,1.4.2,,589902.0,378.0,11264.0,11041.0,170.0,https://pypi.org/project/panel,2024-04-23 09:51:51.000,220.0,530801.0,https://anaconda.org/conda-forge/panel,2024-04-09 14:44:10.039,1378046.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2024-04-23 09:51:36.535,3.0,29144.0,,,,,,,,,,,,,,,,,,
8,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-04-23 19:13:44.000000,2024-04-09 16:00:51,1390.0,19.0,1616.0,151.0,770.0,215.0,558.0,12044.0,2024-03-18 18:22:40.000,4.7.0,82.0,657627.0,57.0,3158.0,2962.0,120.0,https://pypi.org/project/pandas-profiling,2023-02-03 17:59:40.571,196.0,652991.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,426534.0,1.0,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,,
9,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,37,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2024-04-18 08:55:47.000000,2024-02-08 15:35:20,7825.0,8.0,931.0,78.0,1893.0,750.0,1325.0,3051.0,2024-02-22 16:47:17.000,8.1.2,,17787025.0,155.0,9870.0,3.0,212.0,https://pypi.org/project/ipywidgets,2024-02-08 15:31:21.000,9766.0,17412369.0,https://anaconda.org/conda-forge/ipywidgets,2024-02-08 21:24:52.939,13297986.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2024-02-08 15:12:36.059,101.0,65401.0,,,,,,,,,,,,,,,,,,
10,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,36,True,jupyter_server,jupyter-server/jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,BSD-3-Clause,2016-09-21 19:18:45.000,2024-04-24 18:19:33.000000,2024-04-11 15:34:02,12742.0,23.0,265.0,38.0,975.0,169.0,280.0,449.0,2024-04-11 15:34:20.000,2.14.0,2823.0,25924636.0,150.0,474.0,,522.0,https://pypi.org/project/jupyter_server,2024-04-11 15:34:12.000,474.0,25675108.0,https://anaconda.org/conda-forge/jupyter_server,2024-04-12 01:22:33.105,10726564.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
