,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,gem_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,hex_id,docs_url,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-10-10 07:25:31.000000,2024-10-10 07:25:31,27139.0,78.0,4432.0,743.0,7116.0,1695.0,5727.0,16281.0,2024-10-02 11:30:06.000,8.28.0,321937.0,54540938.0,190.0,619840.0,609774.0,1006.0,https://pypi.org/project/ipython,2024-10-02 11:30:06.000,10066.0,53854253.0,https://anaconda.org/conda-forge/ipython,2024-10-03 08:54:48.239,32161311.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-10-17 08:46:13.000000,2024-10-17 08:34:42,20618.0,65.0,4178.0,442.0,6180.0,760.0,6985.0,19291.0,2024-09-26 16:27:00.000,3.6.0,,4668255.0,218.0,95228.0,93465.0,702.0,https://pypi.org/project/bokeh,2024-09-26 16:55:03.000,1744.0,4359606.0,https://anaconda.org/conda-forge/bokeh,2024-10-14 19:05:13.977,15118589.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2024-09-26 16:54:55.286,19.0,17907.0,,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,44,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-10-15 19:32:14.000000,2024-10-15 19:32:14,13569.0,6.0,4912.0,325.0,2462.0,1957.0,3000.0,12737.0,2024-08-27 15:44:36.000,7.2.2,21028.0,26686732.0,162.0,314459.0,312323.0,650.0,https://pypi.org/project/notebook,2024-10-15 06:08:08.000,2136.0,26282829.0,https://anaconda.org/conda-forge/jupyter,2024-08-30 17:07:37.079,4671648.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1080.0,34184835.0,,,,,,,,,,,,,
4,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,39,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-10-17 12:47:42.815000,2024-10-17 12:39:51,4261.0,262.0,514.0,59.0,3741.0,1076.0,2584.0,4722.0,2024-10-03 21:51:16.000,1.5.2,,1263210.0,418.0,14007.0,13609.0,182.0,https://pypi.org/project/panel,2024-10-17 12:46:43.000,393.0,1200625.0,https://anaconda.org/conda-forge/panel,2024-10-04 06:23:26.454,1739798.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2024-10-17 12:47:42.815,5.0,29128.0,,,,,,,,,,,,,,,,,,
5,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2024-10-15 18:04:13.000000,2024-08-22 12:30:46,7855.0,22.0,949.0,78.0,1917.0,750.0,1342.0,3148.0,2024-09-03 11:32:39.000,7.8.4,,26000720.0,161.0,4340.0,3.0,222.0,https://pypi.org/project/ipywidgets,2024-09-03 11:26:58.000,4225.0,25639384.0,https://anaconda.org/conda-forge/ipywidgets,2024-09-03 13:22:20.737,15551736.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2024-09-03 11:11:45.084,112.0,43954.0,,,,,,,,,,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,39,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-10-15 09:25:38.000000,2024-10-15 09:25:38,2929.0,7.0,365.0,38.0,755.0,281.0,252.0,644.0,2024-10-11 16:57:38.000,6.29.5,2939.0,36872883.0,133.0,422328.0,418486.0,185.0,https://pypi.org/project/ipykernel,2024-07-01 14:07:19.000,3769.0,36863984.0,https://anaconda.org/anaconda/ipykernel,2024-10-11 17:35:07.429,944615.0,1.0,,,,,,,,,,,73.0,,,,,,,,,,,,
7,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2024-10-05 15:18:35.147915,2024-10-05 15:12:56,7725.0,110.0,2007.0,267.0,2416.0,168.0,2263.0,8101.0,2024-10-01 12:15:21.000,5.2.0,,402854.0,86.0,3317.0,3096.0,367.0,https://pypi.org/project/jupyterhub,2024-10-01 12:15:21.000,221.0,335196.0,https://anaconda.org/conda-forge/jupyterhub,2024-10-02 10:59:06.836,1207708.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-10-05 15:18:35.147915,339.0,5453298.0,,,,,,,,,,,,,
8,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,38,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-09-02 22:37:52.000000,2024-08-28 12:53:06,4065.0,5.0,566.0,50.0,990.0,567.0,656.0,1732.0,2024-04-29 14:54:15.000,7.16.4,1462.0,31858671.0,101.0,308958.0,306953.0,275.0,https://pypi.org/project/nbconvert,2024-04-29 14:54:06.000,2005.0,31451023.0,https://anaconda.org/conda-forge/nbconvert,2024-06-11 19:58:36.429,19158459.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-10-16 08:57:35.000000,2024-10-15 18:37:08,1491.0,17.0,1678.0,153.0,814.0,234.0,574.0,12465.0,2024-10-16 08:45:18.000,4.11.0,194.0,342392.0,64.0,4571.0,4388.0,132.0,https://pypi.org/project/pandas-profiling,2023-02-03 17:59:40.571,183.0,337626.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,467028.0,1.0,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,,
