,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,conda_dependent_project_count,updated_github_id,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,docs_url,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-10-30 08:43:08.000000,2024-10-30 08:43:08,27183.0,118.0,4440.0,743.0,7131.0,1696.0,5871.0,16305.0,2024-10-25 09:16:04.000,8.29.0,321959.0,57599818.0,191.0,626084.0,615880.0,1015.0,https://pypi.org/project/ipython,2024-10-25 09:16:04.000,10204.0,56905086.0,https://anaconda.org/conda-forge/ipython,2024-10-25 14:39:18.969,32539550.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-10-31 10:04:09.000000,2024-10-30 19:19:51,20635.0,73.0,4183.0,437.0,6196.0,765.0,6991.0,19328.0,2024-09-26 16:27:00.000,3.6.0,,4397219.0,220.0,95796.0,94002.0,702.0,https://pypi.org/project/bokeh,2024-10-30 19:23:16.000,1773.0,4087084.0,https://anaconda.org/conda-forge/bokeh,2024-10-14 19:05:13.977,15228001.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2024-10-30 19:23:06.366,21.0,17289.0,,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,45,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-10-31 11:23:28.000000,2024-10-31 11:23:27,13576.0,13.0,4930.0,325.0,2471.0,1960.0,3010.0,12789.0,2024-08-27 15:44:36.000,7.2.2,21428.0,28563246.0,163.0,317068.0,314918.0,651.0,https://pypi.org/project/notebook,2024-10-24 16:27:54.000,2150.0,28157828.0,https://anaconda.org/conda-forge/jupyter,2024-08-30 17:07:37.079,4711917.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1080.0,34255029.0,1.0,,,,,,,,,,,,
4,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,40,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2024-10-28 13:33:33.225492,2024-10-28 13:27:36,7741.0,115.0,2009.0,266.0,2423.0,171.0,2267.0,8121.0,2024-10-21 09:37:07.000,5.2.1,,445782.0,87.0,3337.0,3116.0,367.0,https://pypi.org/project/jupyterhub,2024-10-21 09:37:07.000,221.0,377693.0,https://anaconda.org/conda-forge/jupyterhub,2024-10-21 15:37:17.409,1218395.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-10-28 13:33:33.225492,339.0,5480724.0,1.0,,,,,,,,,,,,
5,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,40,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-10-28 11:00:48.000000,2024-10-28 11:00:48,2944.0,22.0,365.0,37.0,766.0,278.0,254.0,646.0,2024-10-11 16:57:38.000,6.29.5,2964.0,37744285.0,134.0,427692.0,423660.0,185.0,https://pypi.org/project/ipykernel,2024-10-22 08:26:22.000,3959.0,37735335.0,https://anaconda.org/anaconda/ipykernel,2024-10-11 17:35:07.429,950015.0,1.0,,,,,,,,,,,,73.0,,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,39,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-10-31 13:48:41.000000,2024-10-31 13:48:38,4281.0,251.0,516.0,60.0,3758.0,1079.0,2594.0,4753.0,2024-10-23 10:58:35.000,1.5.3,,1059600.0,420.0,14238.0,13833.0,182.0,https://pypi.org/project/panel,2024-10-23 10:58:35.000,400.0,997799.0,https://anaconda.org/conda-forge/panel,2024-10-28 11:01:45.471,1762791.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2024-10-23 10:58:14.847,5.0,27902.0,,,,,,,,,,,,,,,,,,
7,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2024-10-22 12:19:53.194000,2024-10-22 09:21:35,7856.0,21.0,949.0,78.0,1921.0,761.0,1342.0,3155.0,2024-10-22 08:26:06.000,7.8.5,,26932470.0,162.0,4495.0,3.0,222.0,https://pypi.org/project/ipywidgets,2024-10-22 08:18:24.000,4375.0,26567421.0,https://anaconda.org/conda-forge/ipywidgets,2024-10-22 12:19:53.194,15713781.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2024-10-22 07:54:56.054,117.0,44360.0,,,,,,,,,,,,,,,,,,
8,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,38,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-09-02 22:37:52.000000,2024-08-28 12:53:06,4065.0,3.0,566.0,50.0,991.0,567.0,656.0,1735.0,2024-04-29 14:54:15.000,7.16.4,1470.0,33430382.0,101.0,312295.0,310290.0,275.0,https://pypi.org/project/nbconvert,2024-04-29 14:54:06.000,2005.0,33019966.0,https://anaconda.org/conda-forge/nbconvert,2024-06-11 19:58:36.429,19288534.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-10-30 03:48:33.000000,2024-10-30 03:47:29,1503.0,29.0,1681.0,152.0,821.0,234.0,576.0,12502.0,2024-10-29 15:15:14.000,4.12.0,200.0,337967.0,65.0,4666.0,4483.0,133.0,https://pypi.org/project/pandas-profiling,2023-02-03 17:59:40.571,183.0,333170.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,470099.0,1.0,,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,
10,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2024-10-29 07:39:29.086000,2024-10-28 23:57:13,2075.0,52.0,199.0,23.0,278.0,114.0,234.0,418.0,2024-08-28 18:22:07.000,5.6.0,,2771686.0,51.0,187047.0,186679.0,126.0,https://pypi.org/project/qtconsole,2024-10-28 23:59:24.000,368.0,2677967.0,https://anaconda.org/conda-forge/qtconsole,2024-10-29 07:39:29.086,4873402.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11,xonsh,Python-powered shell. Full-featured and cross-platform.,https://github.com/xonsh/xonsh,,kernels,36,False,xonsh,xonsh/xonsh,,https://github.com/xonsh/xonsh,https://github.com/xonsh/xonsh/blob/main/license,2015-01-21 22:05:27.000,2024-10-31 09:33:45.000000,2024-10-31 09:33:45,10807.0,29.0,634.0,104.0,2854.0,256.0,2375.0,8404.0,2024-08-20 13:12:37.000,0.18.3,11953.0,61111.0,133.0,890.0,745.0,335.0,https://pypi.org/project/xonsh,2024-08-20 13:12:37.000,145.0,60980.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,evidently,"Evidently is an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or..",https://github.com/evidentlyai/evidently,,widgets,36,True,evidently,evidentlyai/evidently,conda-forge/evidently,https://github.com/evidentlyai/evidently,Apache-2.0,2020-11-25 15:20:08.000,2024-10-31 12:38:11.000000,2024-10-29 20:37:25,2380.0,177.0,594.0,49.0,966.0,177.0,226.0,5313.0,2024-10-29 20:42:57.000,0.4.39,219.0,598943.0,119.0,4766.0,4752.0,78.0,https://pypi.org/project/evidently,2024-10-29 20:42:39.000,14.0,597686.0,https://anaconda.org/conda-forge/evidently,2024-09-27 21:47:20.184,47605.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,35,True,jupyter_server,jupyter-server/jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,BSD-3-Clause,2016-09-21 19:18:45.000,2024-10-07 21:55:38.000000,2024-08-01 14:54:29,12760.0,,302.0,38.0,1003.0,189.0,287.0,487.0,2024-07-12 18:31:51.000,2.14.2,3592.0,30955629.0,152.0,831.0,,523.0,https://pypi.org/project/jupyter_server,2024-07-12 18:31:39.000,831.0,30674472.0,https://anaconda.org/conda-forge/jupyter_server,2024-07-12 20:47:32.339,13772654.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,
14,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,35,True,jupyter-client,jupyter/jupyter_client,conda-forge/jupyter_client,https://github.com/jupyter/jupyter_client,BSD-3-Clause,2015-04-09 06:57:29.000,2024-10-10 08:15:42.000000,2024-10-10 08:15:42,2611.0,11.0,281.0,35.0,658.0,198.0,204.0,387.0,2024-09-17 10:44:21.000,8.6.3,2011.0,36178653.0,96.0,1233.0,,135.0,https://pypi.org/project/jupyter-client,2024-09-17 10:44:15.000,1233.0,35681070.0,https://anaconda.org/conda-forge/jupyter_client,2024-09-17 22:11:57.756,25374103.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
