,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,gem_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,docs_url,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-11-15 13:35:19.000000,2024-11-15 13:35:19,27206.0,123.0,4448.0,744.0,7142.0,1547.0,5874.0,16316.0,2024-10-25 09:16:04.000,8.29.0,322012.0,63736527.0,191.0,638661.0,628457.0,1017.0,https://pypi.org/project/ipython,2024-10-25 09:16:04.000,10204.0,63039237.0,https://anaconda.org/conda-forge/ipython,2024-10-25 14:39:18.969,33355450.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-11-27 12:21:10.000000,2024-11-25 20:02:13,20641.0,61.0,4191.0,438.0,6212.0,782.0,6999.0,19395.0,2024-11-06 19:51:28.000,3.6.1,,4841443.0,221.0,96784.0,94984.0,702.0,https://pypi.org/project/bokeh,2024-11-06 19:51:28.000,1779.0,4531967.0,https://anaconda.org/conda-forge/bokeh,2024-11-07 07:28:52.498,15423818.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2024-11-06 19:51:18.683,21.0,18461.0,,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,45,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-11-18 09:48:39.000000,2024-11-18 09:47:41,13581.0,18.0,4987.0,326.0,2476.0,1964.0,3021.0,12864.0,2024-08-27 15:44:36.000,7.2.2,21974.0,31751248.0,165.0,322552.0,320361.0,651.0,https://pypi.org/project/notebook,2024-11-18 09:48:39.000,2191.0,31348544.0,https://anaconda.org/conda-forge/jupyter,2024-08-30 17:07:37.079,4783364.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1081.0,34325530.0,,,,,,,,,,,,,
4,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,40,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-11-21 12:16:35.000000,2024-11-21 12:16:35,2948.0,22.0,367.0,37.0,775.0,283.0,254.0,654.0,2024-10-11 16:57:38.000,6.29.5,3029.0,41742700.0,134.0,438856.0,434824.0,185.0,https://pypi.org/project/ipykernel,2024-10-22 08:26:22.000,3959.0,41733735.0,https://anaconda.org/anaconda/ipykernel,2024-10-11 17:35:07.429,960532.0,1.0,,,,,,,,,,,73.0,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2024-11-25 15:53:53.072632,2024-11-25 15:47:59,7755.0,73.0,2020.0,266.0,2433.0,174.0,2269.0,8164.0,2024-10-21 09:37:07.000,5.2.1,,428575.0,87.0,3382.0,3161.0,368.0,https://pypi.org/project/jupyterhub,2024-10-21 09:37:07.000,221.0,360776.0,https://anaconda.org/conda-forge/jupyterhub,2024-10-21 15:37:17.409,1238003.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-11-25 15:53:53.072632,340.0,5499037.0,,,,,,,,,,,,,
6,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,38,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-11-13 02:29:49.000000,2024-11-13 02:28:45,1507.0,30.0,1688.0,152.0,827.0,235.0,577.0,12568.0,2024-10-29 15:15:14.000,4.12.0,208.0,451530.0,65.0,4911.0,4728.0,133.0,https://pypi.org/project/pandas-profiling,2023-02-03 17:59:40.571,183.0,446725.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,475638.0,1.0,,,,,,,,,,,,ydataai/ydata-profiling,1.0,,,,,,,,,,
7,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-11-27 14:43:27.000000,2024-11-27 14:43:25,4310.0,184.0,521.0,61.0,3792.0,1123.0,2605.0,4821.0,2024-11-12 22:58:48.000,1.5.4,,1292158.0,423.0,14761.0,14340.0,183.0,https://pypi.org/project/panel,2024-11-12 22:58:48.000,416.0,1230534.0,https://anaconda.org/conda-forge/panel,2024-11-13 11:38:27.349,1809050.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2024-11-12 22:58:45.573,5.0,27491.0,,,,,,,,-1.0,,,,,,,,,,
8,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,37,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2024-10-22 12:19:53.194000,2024-10-22 09:21:35,7856.0,1.0,949.0,79.0,1922.0,769.0,1342.0,3171.0,2024-10-22 08:26:06.000,7.8.5,,28586560.0,162.0,4495.0,3.0,222.0,https://pypi.org/project/ipywidgets,2024-10-22 08:18:24.000,4375.0,28232807.0,https://anaconda.org/conda-forge/ipywidgets,2024-10-22 12:19:53.194,16058955.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2024-10-22 07:54:56.054,117.0,32574.0,,,,,,,,,,,,,,,,,,
9,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,37,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-11-07 12:25:20.000000,2024-11-07 12:25:20,4066.0,1.0,568.0,50.0,994.0,574.0,657.0,1754.0,2024-04-29 14:54:15.000,7.16.4,1511.0,36376031.0,101.0,319041.0,317036.0,275.0,https://pypi.org/project/nbconvert,2024-04-29 14:54:06.000,2005.0,35968645.0,https://anaconda.org/conda-forge/nbconvert,2024-06-11 19:58:36.429,19553482.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
