,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,updated_github_id,pypi,cran_id,gem_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,hex_id,docs_url,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,48,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2025-04-02 14:19:57.000000,2025-04-02 14:19:57,27737.0,440.0,4449.0,737.0,7337.0,1531.0,5929.0,16439.0,2025-03-08 15:04:50.000,9.0.2,322279.0,58164752.0,201.0,699144.0,687758.0,1033.0,https://pypi.org/project/ipython,2025-03-08 15:04:50.000,11386.0,57466449.0,https://anaconda.org/conda-forge/ipython,2025-03-25 16:00:03.676,36888138.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,46,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2025-04-03 06:50:39.000000,2025-04-03 06:49:38,13631.0,30.0,5168.0,327.0,2537.0,1968.0,3048.0,13258.0,2025-03-14 13:41:04.000,7.3.3,24771.0,32871066.0,179.0,349541.0,347090.0,654.0,https://pypi.org/project/notebook,2025-04-03 06:50:39.000,2451.0,32481445.0,https://anaconda.org/conda-forge/jupyter,2025-03-25 16:00:14.973,5129584.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1088.0,34627807.0,,,,,,,,,,,,,,,,,,
3,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-04-03 08:36:54.000000,2025-04-02 16:17:50,20752.0,95.0,4214.0,434.0,6319.0,807.0,7134.0,19750.0,2025-03-28 08:06:33.000,3.7.2,,4367184.0,237.0,101808.0,99873.0,710.0,https://pypi.org/project/bokeh,2025-03-28 08:06:33.000,1914.0,4060860.0,https://anaconda.org/conda-forge/bokeh,2025-04-01 14:09:20.444,16219241.0,1.0,,,,,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2025-03-28 08:06:23.766,21.0,26682.0,,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,40,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2025-03-25 16:00:03.763000,2025-01-28 09:29:03,4074.0,6.0,578.0,50.0,1002.0,573.0,664.0,1807.0,2025-01-28 09:29:18.000,7.16.6,1722.0,33190851.0,103.0,350211.0,348025.0,279.0,https://pypi.org/project/nbconvert,2025-01-28 09:29:12.000,2186.0,32803821.0,https://anaconda.org/conda-forge/nbconvert,2025-03-25 16:00:03.763,20511349.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,40,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2025-04-01 07:00:15.000000,2025-04-01 07:00:11,3003.0,53.0,377.0,35.0,841.0,296.0,264.0,672.0,2024-10-11 16:57:38.000,6.29.5,3337.0,35699815.0,135.0,495670.0,490837.0,187.0,https://pypi.org/project/ipykernel,2025-03-07 08:36:07.000,4756.0,35690862.0,https://anaconda.org/anaconda/ipykernel,2025-03-25 16:22:13.577,1003758.0,1.0,,,,,,,,,,,77.0,-1.0,,,,,,,,,,,
6,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,38,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2025-04-01 08:50:20.000000,2025-03-26 00:32:10,1575.0,56.0,1700.0,149.0,875.0,248.0,586.0,12824.0,2025-03-26 00:41:27.000,4.16.1,296.0,375146.0,73.0,6119.0,5936.0,137.0,https://pypi.org/project/pandas-profiling,2023-02-03 17:59:40.571,183.0,370327.0,https://anaconda.org/conda-forge/pandas-profiling,2025-03-25 16:00:09.875,501067.0,1.0,,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,
7,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2025-04-01 18:40:22.000000,2025-04-01 18:40:20,7913.0,134.0,2036.0,268.0,2498.0,187.0,2285.0,8309.0,2024-10-21 09:37:07.000,5.2.1,,252226.0,87.0,3561.0,3340.0,377.0,https://pypi.org/project/jupyterhub,2024-10-21 09:37:07.000,221.0,186272.0,https://anaconda.org/conda-forge/jupyterhub,2025-03-25 16:00:05.060,1315995.0,1.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2025-02-11 07:44:19.613797,346.0,5572829.0,,,,,,,-1.0,,,,,,,,,,,
8,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2025-04-03 13:52:27.000000,2025-04-03 13:42:01,4521.0,190.0,539.0,62.0,3973.0,1134.0,2692.0,5133.0,2025-03-28 13:17:49.000,1.6.2,,1116957.0,442.0,17099.0,16622.0,189.0,https://pypi.org/project/panel,2025-04-03 13:52:27.000,472.0,1069198.0,https://anaconda.org/conda-forge/panel,2025-03-30 17:55:38.757,1989871.0,1.0,,,,,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2025-04-03 13:52:22.073,5.0,13451.0,,,,,,,,,,,,,
9,xonsh,Python-powered shell. Full-featured and cross-platform.,https://github.com/xonsh/xonsh,,kernels,37,False,xonsh,xonsh/xonsh,,https://github.com/xonsh/xonsh,https://github.com/xonsh/xonsh/blob/main/license,2015-01-21 22:05:27.000,2025-03-28 10:40:20.000000,2025-03-28 10:08:14,10873.0,43.0,663.0,101.0,2890.0,284.0,2406.0,8703.0,2025-03-26 18:50:00.000,0.19.4,13031.0,65728.0,138.0,995.0,826.0,343.0,https://pypi.org/project/xonsh,2025-03-19 15:33:08.000,169.0,65591.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
