,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,gem_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,hex_id,docs_url,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2025-07-19 09:31:46.000000,2025-07-19 09:31:46,27854.0,79.0,4446.0,735.0,7382.0,1551.0,5949.0,16530.0,2025-07-01 11:11:27.000,9.4.0,322511.0,76362405.0,208.0,742706.0,730156.0,1035.0,https://pypi.org/project/ipython,2025-07-01 11:11:27.000,12550.0,75631522.0,https://anaconda.org/conda-forge/ipython,2025-07-02 15:42:24.768,40803220.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,45,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2025-07-22 05:32:21.000000,2025-06-30 12:49:09,13649.0,9.0,5316.0,333.0,2572.0,1970.0,3072.0,13553.0,2025-06-30 13:04:22.000,7.4.4,27215.0,51541223.0,185.0,369671.0,366944.0,657.0,https://pypi.org/project/notebook,2025-06-30 13:04:14.000,2727.0,51154274.0,https://anaconda.org/conda-forge/jupyter,2025-04-22 14:56:31.386,5496693.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1091.0,35003348.0,,,,,,,,,,,,,,,,,,
3,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,44,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-07-31 13:41:14.000000,2025-07-31 12:13:44,20804.0,40.0,4222.0,434.0,6373.0,838.0,7190.0,19997.0,2025-05-12 12:13:27.000,3.7.3,,4584067.0,242.0,105748.0,103681.0,712.0,https://pypi.org/project/bokeh,2025-07-25 09:59:13.000,2046.0,4280142.0,https://anaconda.org/conda-forge/bokeh,2025-05-12 23:15:08.842,17077009.0,1.0,,,,,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2025-07-25 09:59:06.194,21.0,23975.0,,,,,,,,,,,,,
4,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,40,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2025-07-28 15:05:24.000000,2025-07-28 15:05:24,8033.0,55.0,2087.0,269.0,2547.0,204.0,2293.0,8427.0,2025-04-15 12:56:11.000,5.3.0,,563784.0,89.0,3707.0,3475.0,382.0,https://pypi.org/project/jupyterhub,2025-04-15 12:56:11.000,232.0,497719.0,https://anaconda.org/conda-forge/jupyterhub,2025-04-22 14:56:22.854,1401259.0,1.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2025-06-19 08:48:47.005406,349.0,5680600.0,,,,,,,,,,,,,,,,,,
5,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,40,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2025-07-28 20:21:53.000000,2025-07-24 07:13:44,2925.0,10.0,385.0,35.0,861.0,306.0,267.0,685.0,2025-07-21 10:36:12.000,6.30.0,3848.0,43806403.0,137.0,537084.0,531310.0,184.0,https://pypi.org/project/ipykernel,2025-07-21 10:36:06.000,5697.0,43797377.0,https://anaconda.org/anaconda/ipykernel,2025-04-22 15:32:18.472,1038243.0,1.0,,,,,,,,,,,77.0,,,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,39,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2025-07-28 11:11:05.000000,2025-07-28 09:16:12,4699.0,147.0,551.0,61.0,4132.0,1181.0,2766.0,5337.0,2025-07-22 12:53:13.000,1.7.5,,1556272.0,463.0,18872.0,18347.0,194.0,https://pypi.org/project/panel,2025-07-28 09:23:58.000,520.0,1518589.0,https://anaconda.org/conda-forge/panel,2025-07-22 17:17:43.589,2163082.0,1.0,,,,,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2025-07-28 09:24:11.686,5.0,2223.0,,,,,,,,,,,,,
7,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2025-07-18 13:24:38.000000,2025-07-18 13:24:28,4078.0,4.0,578.0,50.0,1014.0,573.0,665.0,1861.0,2025-01-28 09:29:18.000,7.16.6,2031.0,39781910.0,103.0,370850.0,368442.0,280.0,https://pypi.org/project/nbconvert,2025-01-28 09:29:12.000,2408.0,39398154.0,https://anaconda.org/conda-forge/nbconvert,2025-04-22 14:56:21.692,21488850.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2025-05-05 14:19:42.531000,2025-05-05 12:42:52,7870.0,4.0,950.0,79.0,1931.0,776.0,1350.0,3252.0,2025-05-05 12:44:24.000,8.1.7,,28401220.0,164.0,5305.0,3.0,226.0,https://pypi.org/project/ipywidgets,2025-05-05 12:41:56.000,5175.0,28032313.0,https://anaconda.org/conda-forge/ipywidgets,2025-05-05 14:19:42.531,19381038.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2025-05-05 12:29:18.478,127.0,34752.0,,,,,,,,,,,,,
9,xonsh,Python-powered shell. Full-featured and cross-platform.,https://github.com/xonsh/xonsh,,kernels,37,False,xonsh,xonsh/xonsh,,https://github.com/xonsh/xonsh,https://github.com/xonsh/xonsh/blob/main/license,2015-01-21 22:05:27.000,2025-07-28 17:29:18.000000,2025-07-24 04:32:31,10942.0,64.0,668.0,101.0,2929.0,285.0,2417.0,8911.0,2025-06-24 19:59:46.000,0.19.9,13633.0,156622.0,140.0,1033.0,860.0,347.0,https://pypi.org/project/xonsh,2025-06-24 19:59:46.000,173.0,156466.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
